Date,ATR
2010-01-04,28.771848678588867
2010-01-05,28.74009895324707
2010-01-06,29.1767578125
2010-01-07,29.1767578125
2010-01-08,29.200565338134766
2010-01-11,29.224380493164062
2010-01-12,29.24026870727539
2010-01-13,29.28790855407715
2010-01-14,29.200565338134766
2010-01-15,28.771848678588867
2010-01-19,29.28790855407715
2010-01-20,28.91474723815918
2010-01-21,28.636884689331055
2010-01-22,28.628936767578125
2010-01-25,28.628936767578125
2010-01-26,28.581310272216797
2010-01-27,28.748031616210938
2010-01-28,28.517797470092773
2010-01-29,28.168472290039062
2010-02-01,28.351844787597656
2010-02-02,28.766437530517578
2010-02-03,28.70265007019043
2010-02-04,27.98509407043457
2010-02-05,27.929275512695312
2010-02-08,28.024953842163086
2010-02-09,28.24022102355957
2010-02-10,27.969139099121094
2010-02-11,30.21752166748047
2010-02-12,30.329139709472656
2010-02-16,30.113861083984375
2010-02-17,29.866710662841797
2010-02-18,30.21752166748047
2010-02-19,30.392921447753906
2010-02-22,30.472646713256836
2010-02-23,30.34507942199707
2010-02-24,30.656044006347656
2010-02-25,30.584278106689453
2010-02-26,30.719799041748047
2010-03-01,31.102510452270508
2010-03-02,31.341707229614258
2010-03-03,31.60482406616211
2010-03-04,31.60482406616211
2010-03-05,32.1708869934082
2010-03-08,32.25859832763672
2010-03-09,32.035343170166016
2010-03-10,32.123050689697266
2010-03-11,32.17887496948242
2010-03-12,32.210758209228516
2010-03-15,31.891830444335938
2010-03-16,32.16290283203125
2010-03-17,32.290496826171875
2010-03-18,32.07520294189453
2010-03-19,31.740354537963867
2010-03-22,31.6446590423584
2010-03-23,31.851972579956055
2010-03-24,31.214130401611328
2010-03-25,30.966957092285156
2010-03-26,31.190221786499023
2010-03-29,31.54900550842285
2010-03-30,31.68454933166504
2010-03-31,31.373592376708984
2010-04-01,31.49319076538086
2010-04-05,31.620763778686523
2010-04-06,31.68454933166504
2010-04-07,31.812116622924805
2010-04-08,32.04332733154297
2010-04-09,32.62534713745117
2010-04-12,32.69710922241211
2010-04-13,32.80873107910156
2010-04-14,33.31101989746094
2010-04-15,33.76548385620117
2010-04-16,34.16411590576172
2010-04-19,34.21994400024414
2010-04-20,34.108314514160156
2010-04-21,34.20399856567383
2010-04-22,34.36345291137695
2010-04-23,34.475074768066406
2010-04-26,34.48307800292969
2010-04-27,34.16304397583008
2010-04-28,34.36307907104492
2010-04-29,34.9791374206543
2010-04-30,34.4350700378418
2010-05-03,34.939117431640625
2010-05-04,34.81911849975586
2010-05-05,34.0030403137207
2010-05-06,33.09093475341797
2010-05-07,32.27486801147461
2010-05-10,33.731014251708984
2010-05-11,33.75501251220703
2010-05-12,34.147064208984375
2010-05-13,33.81900405883789
2010-05-14,32.65090560913086
2010-05-17,32.986942291259766
2010-05-18,32.258880615234375
2010-05-19,32.21088409423828
2010-05-20,31.12278175354004
2010-05-21,30.97076416015625
2010-05-24,30.85874366760254
2010-05-25,30.586746215820312
2010-05-26,30.85874366760254
2010-05-27,31.962852478027344
2010-05-28,31.89084243774414
2010-06-01,31.250789642333984
2010-06-02,31.88286781311035
2010-06-03,31.834848403930664
2010-06-04,30.770732879638672
2010-06-07,30.418725967407227
2010-06-08,30.40271759033203
2010-06-09,30.09868621826172
2010-06-10,30.882755279541016
2010-06-11,31.30678939819336
2010-06-14,31.19480323791504
2010-06-15,32.1308708190918
2010-06-16,32.52290725708008
2010-06-17,32.39488983154297
2010-06-18,32.41889572143555
2010-06-21,32.082855224609375
2010-06-22,31.20277976989746
2010-06-23,30.874767303466797
2010-06-24,30.706729888916016
2010-06-25,30.994770050048828
2010-06-28,31.394805908203125
2010-06-29,30.57074546813965
2010-06-30,30.258691787719727
2010-07-01,30.09868621826172
2010-07-02,30.426713943481445
2010-07-06,29.874664306640625
2010-07-07,30.810754776000977
2010-07-08,31.234790802001953
2010-07-09,31.38680076599121
2010-07-12,31.27479362487793
2010-07-13,32.60291290283203
2010-07-14,32.54692077636719
2010-07-15,32.53089141845703
2010-07-16,31.866851806640625
2010-07-19,31.77882957458496
2010-07-20,32.21088409423828
2010-07-21,32.19487762451172
2010-07-22,33.635009765625
2010-07-23,34.16304397583008
2010-07-26,34.77910614013672
2010-07-27,34.659080505371094
2010-07-28,34.5950813293457
2010-07-29,34.39506912231445
2010-07-30,34.60396957397461
2010-08-02,34.973548889160156
2010-08-03,34.90122985839844
2010-08-04,35.029762268066406
2010-08-05,35.06996154785156
2010-08-06,35.166378021240234
2010-08-09,35.166378021240234
2010-08-10,34.692344665527344
2010-08-11,33.63984298706055
2010-08-12,33.72822189331055
2010-08-13,33.62377166748047
2010-08-16,33.63984298706055
2010-08-17,34.25847625732422
2010-08-18,34.186187744140625
2010-08-19,33.6639404296875
2010-08-20,33.7924690246582
2010-08-23,33.47914505004883
2010-08-24,32.93281173706055
2010-08-25,32.99708557128906
2010-08-26,32.90068435668945
2010-08-27,33.7523078918457
2010-08-30,32.93281173706055
2010-08-31,33.463096618652344
2010-09-01,34.354888916015625
2010-09-02,34.71644973754883
2010-09-03,35.23064041137695
2010-09-07,35.01370620727539
2010-09-08,35.246707916259766
2010-09-09,35.33509063720703
2010-09-10,35.35920333862305
2010-09-13,35.897499084472656
2010-09-14,36.122440338134766
2010-09-15,36.73307800292969
2010-09-16,36.67683029174805
2010-09-17,36.37152099609375
2010-09-20,36.38759231567383
2010-09-21,35.9055290222168
2010-09-22,35.712711334228516
2010-09-23,35.46363830566406
2010-09-24,36.01801681518555
2010-09-27,35.833229064941406
2010-09-28,36.50007247924805
