Date,NGNE
2014-03-07,239.0
2014-03-10,249.0
2014-03-11,259.79998779296875
2014-03-12,280.0
2014-03-13,275.0
2014-03-14,269.79998779296875
2014-03-17,260.3999938964844
2014-03-18,259.79998779296875
2014-03-19,257.0
2014-03-20,255.60000610351562
2014-03-21,244.60000610351562
2014-03-24,241.0
2014-03-25,246.0
2014-03-26,258.6000061035156
2014-03-27,262.3999938964844
2014-03-28,257.3999938964844
2014-03-31,254.60000610351562
2014-04-01,247.60000610351562
2014-04-02,244.0
2014-04-03,239.39999389648438
2014-04-04,233.8000030517578
2014-04-07,198.0
2014-04-08,186.39999389648438
2014-04-09,187.1999969482422
2014-04-10,181.39999389648438
2014-04-11,181.39999389648438
2014-04-14,185.0
2014-04-15,180.8000030517578
2014-04-16,177.0
2014-04-17,174.39999389648438
2014-04-21,175.1999969482422
2014-04-22,185.0
2014-04-23,178.0
2014-04-24,178.0
2014-04-25,172.0
2014-04-28,168.8000030517578
2014-04-29,168.39999389648438
2014-04-30,182.60000610351562
2014-05-01,188.0
2014-05-02,192.1999969482422
2014-05-05,202.60000610351562
2014-05-06,211.1999969482422
2014-05-07,207.0
2014-05-08,202.0
2014-05-09,199.39999389648438
2014-05-12,200.0
2014-05-13,199.0
2014-05-14,194.60000610351562
2014-05-15,194.60000610351562
2014-05-16,204.60000610351562
2014-05-19,204.39999389648438
2014-05-20,203.0
2014-05-21,197.60000610351562
2014-05-22,183.0
2014-05-23,178.1999969482422
2014-05-27,178.8000030517578
2014-05-28,179.8000030517578
2014-05-29,179.8000030517578
2014-05-30,177.8000030517578
2014-06-02,194.8000030517578
2014-06-03,194.0
2014-06-04,191.8000030517578
2014-06-05,193.39999389648438
2014-06-06,189.1999969482422
2014-06-09,187.60000610351562
2014-06-10,188.1999969482422
2014-06-11,193.39999389648438
2014-06-12,192.60000610351562
2014-06-13,194.39999389648438
2014-06-16,203.8000030517578
2014-06-17,210.1999969482422
2014-06-18,218.0
2014-06-19,214.60000610351562
2014-06-20,182.1999969482422
2014-06-23,180.8000030517578
2014-06-24,181.60000610351562
2014-06-25,185.1999969482422
2014-06-26,184.0
2014-06-27,183.39999389648438
2014-06-30,188.60000610351562
2014-07-01,180.60000610351562
2014-07-02,182.0
2014-07-03,182.0
2014-07-07,183.8000030517578
2014-07-08,182.0
2014-07-09,182.0
2014-07-10,177.8000030517578
2014-07-11,177.8000030517578
2014-07-14,177.8000030517578
2014-07-15,169.39999389648438
2014-07-16,169.0
2014-07-17,163.0
2014-07-18,166.0
2014-07-21,162.1999969482422
2014-07-22,161.39999389648438
2014-07-23,160.1999969482422
2014-07-24,160.0
2014-07-25,160.0
2014-07-28,157.0
2014-07-29,158.0
2014-07-30,155.1999969482422
2014-07-31,154.8000030517578
2014-08-01,147.39999389648438
2014-08-04,154.77999877929688
2014-08-05,154.8000030517578
2014-08-06,154.60000610351562
2014-08-07,150.0
2014-08-08,148.0
2014-08-11,151.1999969482422
2014-08-12,147.1999969482422
2014-08-13,146.39999389648438
2014-08-14,146.60000610351562
2014-08-15,137.39999389648438
2014-08-18,134.0
2014-08-19,131.60000610351562
2014-08-20,131.0
2014-08-21,130.8000030517578
2014-08-22,128.39999389648438
2014-08-25,125.80000305175781
2014-08-26,129.60000610351562
2014-08-27,141.39999389648438
2014-08-28,152.8000030517578
2014-08-29,164.1999969482422
2014-09-02,165.0
2014-09-03,162.8000030517578
2014-09-04,160.1999969482422
2014-09-05,155.0
2014-09-08,150.0
2014-09-09,148.60000610351562
2014-09-10,147.8000030517578
2014-09-11,143.1999969482422
2014-09-12,142.60000610351562
2014-09-15,144.0
2014-09-16,145.1999969482422
2014-09-17,146.0
2014-09-18,144.1999969482422
2014-09-19,142.39999389648438
2014-09-22,134.1999969482422
2014-09-23,132.39999389648438
2014-09-24,132.8000030517578
2014-09-25,133.0
2014-09-26,134.0
2014-09-29,133.1999969482422
2014-09-30,133.1999969482422
2014-10-01,132.0
2014-10-02,130.1999969482422
2014-10-03,130.1999969482422
2014-10-06,130.60000610351562
2014-10-07,131.0
2014-10-08,127.19999694824219
2014-10-09,124.19999694824219
2014-10-10,112.19999694824219
2014-10-13,114.5999984741211
2014-10-14,124.0
2014-10-15,119.80000305175781
2014-10-16,146.60000610351562
2014-10-17,144.60000610351562
2014-10-20,143.39999389648438
2014-10-21,148.39999389648438
2014-10-22,144.8000030517578
2014-10-23,138.8000030517578
2014-10-24,136.39999389648438
2014-10-27,137.39999389648438
2014-10-28,142.1999969482422
2014-10-29,142.0
2014-10-30,142.1999969482422
2014-10-31,132.60000610351562
2014-11-03,134.5800018310547
2014-11-04,135.1999969482422
2014-11-05,135.0
2014-11-06,140.1999969482422
2014-11-07,142.3000030517578
2014-11-10,143.39999389648438
2014-11-11,145.60000610351562
2014-11-12,140.1999969482422
2014-11-13,142.39999389648438
2014-11-14,144.39999389648438
2014-11-17,146.60000610351562
2014-11-18,157.8000030517578
2014-11-19,165.39999389648438
2014-11-20,164.0
2014-11-21,161.1999969482422
2014-11-24,161.0
2014-11-25,150.1999969482422
2014-11-26,150.10000610351562
2014-11-28,146.1999969482422
2014-12-01,147.0
2014-12-02,152.60000610351562
2014-12-03,155.0
2014-12-04,155.0
2014-12-05,154.1999969482422
2014-12-08,153.39999389648438
2014-12-09,154.0
2014-12-10,153.60000610351562
2014-12-11,150.0
2014-12-12,148.0
2014-12-15,163.39999389648438
2014-12-16,154.0
2014-12-17,150.60000610351562
2014-12-18,148.0
2014-12-19,132.8000030517578
2014-12-22,132.8000030517578
