Date,RBB
2017-07-26,18.926244735717773
2017-07-27,18.650665283203125
2017-07-28,19.023509979248047
2017-07-31,18.9100284576416
2017-08-01,18.804664611816406
2017-08-02,18.64255142211914
2017-08-03,18.683074951171875
2017-08-04,18.64255142211914
2017-08-07,18.64255142211914
2017-08-08,18.56960105895996
2017-08-09,18.196752548217773
2017-08-10,17.88064193725586
2017-08-11,18.018436431884766
2017-08-14,18.075164794921875
2017-08-15,17.856327056884766
2017-08-16,17.75905990600586
2017-08-17,17.750953674316406
2017-08-18,18.034639358520508
2017-08-21,18.285911560058594
2017-08-22,18.342653274536133
2017-08-23,18.36696434020996
2017-08-24,18.431808471679688
2017-08-25,18.57771110534668
2017-08-28,18.212963104248047
2017-08-29,18.375070571899414
2017-08-30,18.472339630126953
2017-08-31,18.318334579467773
2017-09-01,18.4237117767334
2017-09-05,18.707401275634766
2017-09-06,18.683074951171875
2017-09-07,18.042743682861328
2017-09-08,18.245378494262695
2017-09-11,18.237281799316406
2017-09-12,18.058961868286133
2017-09-13,18.002220153808594
2017-09-14,17.832008361816406
2017-09-15,17.442947387695312
2017-09-18,17.426729202270508
2017-09-19,17.588842391967773
2017-09-20,17.848222732543945
2017-09-21,17.88064193725586
2017-09-22,17.969799041748047
2017-09-25,18.058961868286133
2017-09-26,18.237281799316406
2017-09-27,18.63444709777832
2017-09-28,18.63444709777832
2017-09-29,18.553394317626953
2017-10-02,18.658763885498047
2017-10-03,18.6263427734375
2017-10-04,18.56149673461914
2017-10-05,18.618236541748047
2017-10-06,18.64255142211914
2017-10-09,18.59391975402832
2017-10-10,18.674976348876953
2017-10-11,18.75602912902832
2017-10-12,18.666866302490234
2017-10-13,18.820877075195312
2017-10-16,18.845190048217773
2017-10-17,18.845190048217773
2017-10-18,18.837087631225586
2017-10-19,18.942453384399414
2017-10-20,18.926244735717773
2017-10-23,19.007299423217773
2017-10-24,19.169408798217773
2017-10-25,19.363943099975586
2017-10-26,19.736787796020508
2017-10-27,19.688161849975586
2017-10-30,19.98905372619629
2017-10-31,20.387531280517578
2017-11-01,20.184223175048828
2017-11-02,20.078508377075195
2017-11-03,19.623092651367188
2017-11-06,19.79387664794922
2017-11-07,19.265277862548828
2017-11-08,18.948122024536133
2017-11-09,19.021310806274414
2017-11-10,19.175825119018555
2017-11-13,19.590572357177734
2017-11-14,19.842670440673828
2017-11-15,19.606830596923828
2017-11-16,19.753217697143555
2017-11-17,19.720685958862305
2017-11-20,19.72881507873535
2017-11-21,19.671897888183594
2017-11-22,19.58244514465332
2017-11-24,19.647497177124023
2017-11-27,20.062244415283203
2017-11-28,20.330604553222656
2017-11-29,20.485122680664062
2017-11-30,20.485122680664062
