Date,CIVI
2011-12-15,1057.96826171875
2011-12-16,1057.1907958984375
2011-12-19,1022.9874877929688
2011-12-20,1051.749267578125
2011-12-21,1071.18310546875
2011-12-22,1075.0699462890625
2011-12-23,1060.30029296875
2011-12-27,1037.75732421875
2011-12-28,1002.7767333984375
2011-12-29,972.4600830078125
2011-12-30,971.6826782226562
2012-01-03,1017.5464477539062
2012-01-04,1044.75341796875
2012-01-05,1098.390380859375
2012-01-06,1109.273193359375
2012-01-09,1117.046630859375
2012-01-10,1116.26904296875
2012-01-11,1115.491943359375
2012-01-12,1110.05029296875
2012-01-13,1101.4993896484375
2012-01-17,1109.273193359375
2012-01-18,1098.390380859375
2012-01-19,1135.7030029296875
2012-01-20,1140.366943359375
2012-01-23,1146.58544921875
2012-01-24,1170.683349609375
2012-01-25,1201.777587890625
2012-01-26,1205.6640625
2012-01-27,1247.6407470703125
2012-01-30,1237.5350341796875
2012-01-31,1268.6290283203125
2012-02-01,1284.9534912109375
2012-02-02,1311.383056640625
2012-02-03,1323.0433349609375
2012-02-06,1305.941650390625
2012-02-07,1323.8209228515625
2012-02-08,1369.684326171875
2012-02-09,1363.4654541015625
2012-02-10,1292.726806640625
2012-02-13,1309.0511474609375
2012-02-14,1323.0433349609375
2012-02-15,1313.7152099609375
2012-02-16,1318.379150390625
2012-02-17,1356.46923828125
2012-02-21,1403.8873291015625
2012-02-22,1454.414794921875
2012-02-23,1501.05517578125
2012-02-24,1502.6102294921875
2012-02-27,1509.6065673828125
2012-02-28,1480.844482421875
2012-02-29,1445.8638916015625
2012-03-01,1422.543701171875
2012-03-02,1383.6763916015625
2012-03-05,1378.23486328125
2012-03-06,1400.77783203125
2012-03-07,1462.9658203125
2012-03-08,1480.0673828125
2012-03-09,1478.5125732421875
2012-03-12,1508.0518798828125
2012-03-13,1509.6065673828125
2012-03-14,1484.731689453125
2012-03-15,1487.8408203125
2012-03-16,1515.8250732421875
2012-03-19,1498.7236328125
2012-03-20,1472.293701171875
2012-03-21,1469.9619140625
2012-03-22,1409.328857421875
2012-03-23,1491.7275390625
2012-03-26,1593.559814453125
2012-03-27,1670.5169677734375
2012-03-28,1646.41943359375
2012-03-29,1613.7708740234375
2012-03-30,1698.5015869140625
2012-04-02,1713.2713623046875
2012-04-03,1710.1619873046875
2012-04-04,1656.52490234375
2012-04-05,1675.181396484375
2012-04-09,1619.9896240234375
2012-04-10,1553.1378173828125
2012-04-11,1556.2470703125
2012-04-12,1623.09912109375
2012-04-13,1623.09912109375
2012-04-16,1618.434814453125
2012-04-17,1607.5521240234375
2012-04-18,1590.4503173828125
2012-04-19,1566.3529052734375
2012-04-20,1546.1417236328125
2012-04-23,1544.587158203125
2012-04-24,1554.6923828125
2012-04-25,1553.9150390625
2012-04-26,1626.20849609375
2012-04-27,1668.1851806640625
2012-04-30,1707.829833984375
2012-05-01,1747.474365234375
2012-05-02,1731.150390625
2012-05-03,1668.9622802734375
2012-05-04,1556.2470703125
2012-05-07,1497.9462890625
2012-05-08,1503.3873291015625
2012-05-09,1505.7197265625
2012-05-10,1495.6142578125
2012-05-11,1550.028564453125
2012-05-14,1553.1378173828125
2012-05-15,1508.0518798828125
2012-05-16,1502.6102294921875
2012-05-17,1417.879638671875
2012-05-18,1353.35986328125
2012-05-21,1435.7586669921875
2012-05-22,1445.8638916015625
2012-05-23,1441.9776611328125
2012-05-24,1414.770263671875
2012-05-25,1431.871826171875
2012-05-29,1411.660888671875
2012-05-30,1347.141357421875
2012-05-31,1326.1527099609375
2012-06-01,1198.6678466796875
2012-06-04,1202.5545654296875
2012-06-05,1241.4219970703125
2012-06-06,1301.2777099609375
2012-06-07,1248.418212890625
2012-06-08,1227.4298095703125
2012-06-11,1175.34765625
2012-06-12,1181.56640625
2012-06-13,1169.128662109375
2012-06-14,1195.55859375
2012-06-15,1183.1209716796875
2012-06-18,1132.593505859375
2012-06-19,1185.453125
2012-06-20,1168.3511962890625
2012-06-21,1163.6873779296875
2012-06-22,1200.9998779296875
2012-06-25,1181.56640625
2012-06-26,1186.230224609375
2012-06-27,1235.9803466796875
2012-06-28,1216.546875
2012-06-29,1292.726806640625
2012-07-02,1271.7386474609375
2012-07-03,1314.492431640625
2012-07-05,1312.9376220703125
2012-07-06,1267.07421875
2012-07-09,1260.078125
2012-07-10,1235.2032470703125
2012-07-11,1243.75390625
2012-07-12,1221.2110595703125
2012-07-13,1228.20703125
2012-07-16,1245.30859375
2012-07-17,1263.96484375
2012-07-18,1347.141357421875
2012-07-19,1333.148681640625
2012-07-20,1333.148681640625
2012-07-23,1309.0511474609375
2012-07-24,1292.726806640625
2012-07-25,1322.26611328125
2012-07-26,1321.488525390625
2012-07-27,1340.922119140625
2012-07-30,1390.6724853515625
2012-07-31,1362.687744140625
2012-08-01,1398.446044921875
2012-08-02,1361.91064453125
2012-08-03,1402.3326416015625
2012-08-06,1422.543701171875
2012-08-07,1437.3133544921875
2012-08-08,1458.3016357421875
2012-08-09,1453.6373291015625
2012-08-10,1439.6455078125
2012-08-13,1433.426513671875
2012-08-14,1458.3016357421875
2012-08-15,1479.289794921875
2012-08-16,1567.1300048828125
2012-08-17,1595.1141357421875
2012-08-20,1602.88818359375
2012-08-21,1616.103271484375
2012-08-22,1623.876220703125
2012-08-23,1556.2470703125
2012-08-24,1581.122314453125
2012-08-27,1548.4739990234375
2012-08-28,1559.3568115234375
2012-08-29,1560.1339111328125
2012-08-30,1532.1492919921875
2012-08-31,1564.0206298828125
2012-09-04,1613.7708740234375
2012-09-05,1649.5289306640625
