Date,GABC
2010-01-04,7.406311511993408
2010-01-05,7.2631096839904785
2010-01-06,6.967753887176514
2010-01-07,6.927474021911621
2010-01-08,6.806651592254639
2010-01-11,7.030404567718506
2010-01-12,6.802173137664795
2010-01-13,6.775323867797852
2010-01-14,7.034877777099609
2010-01-15,6.846926212310791
2010-01-19,7.146759033203125
2010-01-20,6.846926212310791
2010-01-21,6.623170375823975
2010-01-22,6.538140773773193
2010-01-25,6.533666133880615
2010-01-26,6.3815131187438965
2010-01-27,6.55604362487793
2010-01-28,6.658971786499023
2010-01-29,6.650021076202393
2010-02-01,6.538140773773193
2010-02-02,6.538140773773193
2010-02-03,6.448639392852783
2010-02-04,6.399411678314209
2010-02-05,6.547092914581299
2010-02-08,6.407023906707764
2010-02-09,6.5199809074401855
2010-02-10,6.465763568878174
2010-02-11,6.7142720222473145
2010-02-12,6.777527809143066
2010-02-16,6.768490791320801
2010-02-17,6.696197509765625
2010-02-18,6.7368645668029785
2010-02-19,6.709751129150391
2010-02-22,6.818194389343262
2010-02-23,6.867894649505615
2010-02-24,7.003443717956543
2010-02-25,7.441725254058838
2010-02-26,7.152551651000977
2010-03-01,7.342321395874023
2010-03-02,7.41461706161499
2010-03-03,7.36491584777832
2010-03-04,7.401058673858643
2010-03-05,7.581796169281006
2010-03-08,7.568240642547607
2010-03-09,7.590830326080322
2010-03-10,7.491423606872559
2010-03-11,7.559203624725342
2010-03-12,7.382987022399902
2010-03-15,7.473351955413818
2010-03-16,7.4688334465026855
2010-03-17,7.382987022399902
2010-03-18,7.328769683837891
2010-03-19,7.270025253295898
2010-03-22,7.387506008148193
2010-03-23,7.238400459289551
2010-03-24,7.080256938934326
2010-03-25,6.958263874053955
2010-03-26,7.035074710845947
2010-03-29,6.922111988067627
2010-03-30,6.958263874053955
2010-03-31,6.836267948150635
2010-04-01,6.777527809143066
2010-04-05,7.102847576141357
2010-04-06,6.9718146324157715
2010-04-07,6.895002365112305
2010-04-08,6.7910847663879395
2010-04-09,6.709751129150391
2010-04-12,6.632940769195557
2010-04-13,7.080256938934326
2010-04-14,7.188697338104248
2010-04-15,7.229363441467285
2010-04-16,7.111885070800781
2010-04-19,7.030557155609131
2010-04-20,7.098330974578857
2010-04-21,6.876934051513672
2010-04-22,7.170623302459717
2010-04-23,7.102847576141357
2010-04-26,7.292619705200195
2010-04-27,7.0621843338012695
2010-04-28,7.138996124267578
2010-04-29,7.324251174926758
2010-04-30,7.188697338104248
2010-05-03,7.387506008148193
2010-05-04,7.184179782867432
2010-05-05,6.904042720794678
2010-05-06,6.908604145050049
2010-05-07,6.954202651977539
2010-05-10,7.173089504241943
2010-05-11,7.515101909637451
2010-05-12,7.752224922180176
2010-05-13,7.765902996063232
2010-05-14,7.629103183746338
2010-05-17,7.733983516693115
2010-05-18,7.350933074951172
2010-05-19,7.405658721923828
2010-05-20,7.08644437789917
2010-05-21,7.241488933563232
2010-05-24,7.091006755828857
2010-05-25,6.940520286560059
2010-05-26,6.931404113769531
2010-05-27,7.259730339050293
2010-05-28,7.277972221374512
2010-06-01,6.840198993682861
2010-06-02,7.11380672454834
2010-06-03,7.14116907119751
2010-06-04,6.8493194580078125
2010-06-07,6.835638046264648
