Date,SDRL
2022-10-14,26.5
2022-10-17,27.399999618530273
2022-10-18,27.1200008392334
2022-10-19,27.549999237060547
2022-10-20,27.489999771118164
2022-10-21,28.600000381469727
2022-10-24,28.829999923706055
2022-10-25,28.639999389648438
2022-10-26,31.530000686645508
2022-10-27,32.79999923706055
2022-10-28,32.7400016784668
2022-10-31,31.5
2022-11-01,33.369998931884766
2022-11-02,33.060001373291016
2022-11-03,32.88999938964844
2022-11-04,32.43000030517578
2022-11-07,32.88999938964844
2022-11-08,32.380001068115234
2022-11-09,31.479999542236328
2022-11-10,31.649999618530273
2022-11-11,31.65999984741211
2022-11-14,31.940000534057617
2022-11-15,31.770000457763672
2022-11-16,31.670000076293945
2022-11-17,31.799999237060547
2022-11-18,31.239999771118164
2022-11-21,31.0
2022-11-22,31.450000762939453
2022-11-23,31.395000457763672
2022-11-25,32.0
2022-11-28,31.700000762939453
2022-11-29,31.84000015258789
2022-11-30,32.0
2022-12-01,31.809999465942383
2022-12-02,31.600000381469727
2022-12-05,30.25
2022-12-06,29.799999237060547
2022-12-07,29.200000762939453
2022-12-08,29.190000534057617
2022-12-09,28.729999542236328
2022-12-12,29.110000610351562
2022-12-13,29.530000686645508
2022-12-14,29.6200008392334
2022-12-15,28.920000076293945
2022-12-16,28.979999542236328
2022-12-19,29.049999237060547
2022-12-20,29.3700008392334
2022-12-21,30.139999389648438
2022-12-22,29.84000015258789
2022-12-23,31.15999984741211
2022-12-27,30.920000076293945
2022-12-28,32.779998779296875
2022-12-29,32.5
2022-12-30,32.63999938964844
2023-01-03,30.239999771118164
2023-01-04,31.079999923706055
2023-01-05,31.200000762939453
2023-01-06,32.060001373291016
2023-01-09,33.11000061035156
2023-01-10,33.720001220703125
2023-01-11,33.33000183105469
2023-01-12,33.560001373291016
2023-01-13,34.369998931884766
2023-01-17,35.18000030517578
2023-01-18,35.7599983215332
2023-01-19,40.04999923706055
2023-01-20,40.13999938964844
2023-01-23,40.09000015258789
2023-01-24,40.869998931884766
2023-01-25,41.040000915527344
2023-01-26,41.33000183105469
2023-01-27,43.040000915527344
2023-01-30,40.529998779296875
2023-01-31,42.5
2023-02-01,44.83000183105469
2023-02-02,42.0
2023-02-03,43.400001525878906
2023-02-06,42.70000076293945
2023-02-07,44.59000015258789
2023-02-08,42.630001068115234
2023-02-09,41.869998931884766
2023-02-10,43.290000915527344
2023-02-13,43.04999923706055
2023-02-14,41.959999084472656
2023-02-15,42.45000076293945
2023-02-16,42.81999969482422
2023-02-17,41.5
2023-02-21,41.2599983215332
2023-02-22,39.029998779296875
