Date,PLTK
2021-01-19,29.365407943725586
2021-01-20,29.00286865234375
2021-01-21,28.105594635009766
2021-01-22,27.407712936401367
2021-01-25,27.453033447265625
2021-01-26,27.96964454650879
2021-01-27,26.646387100219727
2021-01-28,26.446990966796875
2021-01-29,26.410736083984375
2021-02-01,26.283851623535156
2021-02-02,26.274789810180664
2021-02-03,26.6735782623291
2021-02-04,27.10862159729004
2021-02-05,28.096532821655273
2021-02-08,29.27477264404297
2021-02-09,31.06932258605957
2021-02-10,30.733978271484375
2021-02-11,30.543651580810547
2021-02-12,30.643348693847656
2021-02-16,30.57084083557129
2021-02-17,29.70981216430664
2021-02-18,29.51042366027832
2021-02-19,29.329153060913086
2021-02-22,28.105594635009766
2021-02-23,28.549699783325195
2021-02-24,29.011934280395508
2021-02-25,27.398649215698242
2021-02-26,26.963605880737305
2021-03-01,27.770246505737305
2021-03-02,27.181127548217773
2021-03-03,26.90922737121582
2021-03-04,26.11164665222168
2021-03-05,25.459083557128906
2021-03-08,23.882051467895508
2021-03-09,24.280839920043945
2021-03-10,24.099573135375977
2021-03-11,25.141864776611328
2021-03-12,23.655466079711914
2021-03-15,24.743074417114258
2021-03-16,24.298965454101562
2021-03-17,24.380538940429688
2021-03-18,23.727975845336914
2021-03-19,23.374500274658203
2021-03-22,23.56483268737793
2021-03-23,23.528575897216797
2021-03-24,23.06634521484375
2021-03-25,22.80350685119629
2021-03-26,22.90320587158203
2021-03-29,23.09353256225586
2021-03-30,24.30803108215332
2021-03-31,24.6614990234375
2021-04-01,24.335220336914062
2021-04-05,24.280839920043945
2021-04-06,24.362409591674805
2021-04-07,23.755163192749023
2021-04-08,23.981748580932617
2021-04-09,24.471172332763672
2021-04-12,24.398666381835938
2021-04-13,23.981748580932617
2021-04-14,23.492324829101562
2021-04-15,23.655466079711914
2021-04-16,23.501388549804688
2021-04-19,24.362409591674805
2021-04-20,24.181142807006836
2021-04-21,24.856365203857422
2021-04-22,25.196243286132812
2021-04-23,25.16905403137207
2021-04-26,25.78536605834961
2021-04-27,25.7944278717041
2021-04-28,26.084457397460938
