Date,FCNCA
2010-01-04,158.5306396484375
2010-01-05,162.5115509033203
2010-01-06,167.5366973876953
2010-01-07,166.5018768310547
2010-01-08,165.1873016357422
2010-01-11,166.5764617919922
2010-01-12,166.0264434814453
2010-01-13,166.8748016357422
2010-01-14,167.80714416503906
2010-01-15,165.01947021484375
2010-01-19,166.567138671875
2010-01-20,164.8889923095703
2010-01-21,163.1827850341797
2010-01-22,162.05482482910156
2010-01-25,164.79576110839844
2010-01-26,161.30889892578125
2010-01-27,164.19898986816406
2010-01-28,160.95462036132812
2010-01-29,156.35830688476562
2010-02-01,159.5654754638672
2010-02-02,160.6096649169922
2010-02-03,160.35792541503906
2010-02-04,156.8524169921875
2010-02-05,158.6331329345703
2010-02-08,157.75677490234375
2010-02-09,158.4932861328125
2010-02-10,160.23667907714844
2010-02-11,160.24612426757812
2010-02-12,160.5164337158203
2010-02-16,163.94737243652344
2010-02-17,163.5557403564453
2010-02-18,163.00567626953125
2010-02-19,163.7235870361328
2010-02-22,165.05677795410156
2010-02-23,168.8792724609375
2010-02-24,169.30810546875
2010-02-25,168.74876403808594
2010-02-26,170.6041259765625
2010-03-01,168.2825927734375
2010-03-02,168.53436279296875
2010-03-03,167.81643676757812
2010-03-04,168.36656188964844
2010-03-05,172.8509521484375
2010-03-08,183.34877014160156
2010-03-09,187.0220947265625
2010-03-10,186.46270751953125
2010-03-11,186.7427978515625
2010-03-12,186.3413543701172
2010-03-15,187.9286651611328
2010-03-16,187.91929626464844
2010-03-17,197.94741821289062
2010-03-18,195.5944061279297
2010-03-19,191.30868530273438
2010-03-22,192.71861267089844
2010-03-23,192.36373901367188
2010-03-24,190.47764587402344
2010-03-25,190.75787353515625
2010-03-26,187.39642333984375
2010-03-29,189.4038848876953
2010-03-30,191.3367156982422
2010-03-31,185.58505249023438
2010-04-01,187.57379150390625
2010-04-05,188.0593719482422
2010-04-06,191.1779327392578
2010-04-07,192.6345977783203
2010-04-08,190.96324157714844
2010-04-09,191.85020446777344
2010-04-12,191.99961853027344
2010-04-13,191.14060974121094
2010-04-14,193.79234313964844
2010-04-15,191.89691162109375
