Date,XENE
2014-11-05,10.5
2014-11-06,11.970000267028809
2014-11-07,13.289999961853027
2014-11-10,16.0
2014-11-11,16.469999313354492
2014-11-12,13.40999984741211
2014-11-13,13.420000076293945
2014-11-14,12.699999809265137
2014-11-17,13.449999809265137
2014-11-18,14.0
2014-11-19,13.65999984741211
2014-11-20,13.170000076293945
2014-11-21,12.649999618530273
2014-11-24,12.520000457763672
2014-11-25,12.680000305175781
2014-11-26,12.539999961853027
2014-11-28,13.199999809265137
2014-12-01,12.210000038146973
2014-12-02,13.149999618530273
2014-12-03,14.470000267028809
2014-12-04,13.739999771118164
2014-12-05,13.960000038146973
2014-12-08,14.239999771118164
2014-12-09,14.600000381469727
2014-12-10,16.06999969482422
2014-12-11,17.139999389648438
2014-12-12,17.049999237060547
2014-12-15,15.479999542236328
2014-12-16,15.390000343322754
2014-12-17,15.26200008392334
2014-12-18,16.010000228881836
2014-12-19,15.600000381469727
2014-12-22,15.239999771118164
2014-12-23,15.3100004196167
2014-12-24,15.494999885559082
2014-12-26,17.045000076293945
2014-12-29,19.90999984741211
2014-12-30,19.790000915527344
2014-12-31,19.75
2015-01-02,18.700000762939453
2015-01-05,19.149999618530273
2015-01-06,18.84000015258789
2015-01-07,20.899999618530273
2015-01-08,23.0
2015-01-09,21.8700008392334
2015-01-12,21.920000076293945
2015-01-13,21.81999969482422
2015-01-14,21.6299991607666
2015-01-15,21.979999542236328
2015-01-16,21.649999618530273
2015-01-20,17.969999313354492
2015-01-21,18.309999465942383
2015-01-22,20.600000381469727
2015-01-23,20.239999771118164
2015-01-26,19.440000534057617
2015-01-27,18.950000762939453
2015-01-28,18.25
2015-01-29,17.239999771118164
2015-01-30,17.790000915527344
2015-02-02,17.25
2015-02-03,15.8100004196167
2015-02-04,14.859999656677246
2015-02-05,15.239999771118164
2015-02-06,15.569999694824219
2015-02-09,15.65999984741211
2015-02-10,16.100000381469727
2015-02-11,16.049999237060547
2015-02-12,16.200000762939453
2015-02-13,16.3700008392334
2015-02-17,16.520000457763672
2015-02-18,17.190000534057617
2015-02-19,19.649999618530273
2015-02-20,19.3799991607666
2015-02-23,19.329999923706055
2015-02-24,19.799999237060547
2015-02-25,19.280000686645508
2015-02-26,19.049999237060547
2015-02-27,19.34000015258789
2015-03-02,19.760000228881836
2015-03-03,18.459999084472656
2015-03-04,18.700000762939453
