Date,FLG
2010-01-04,17.74199867248535
2010-01-05,17.79121971130371
2010-01-06,17.803529739379883
2010-01-07,18.28337287902832
2010-01-08,18.344890594482422
2010-01-11,18.27107048034668
2010-01-12,17.865041732788086
2010-01-13,18.086505889892578
2010-01-14,18.258760452270508
2010-01-15,17.938867568969727
2010-01-19,18.04960060119629
2010-01-20,18.0742130279541
2010-01-21,18.517148971557617
2010-01-22,18.320283889770508
2010-01-25,18.061908721923828
2010-01-26,18.443321228027344
2010-01-27,18.36949348449707
2010-01-28,18.33258819580078
2010-01-29,18.492536544799805
2010-02-01,18.615581512451172
2010-02-02,18.886253356933594
2010-02-03,18.548555374145508
2010-02-04,18.173322677612305
2010-02-05,18.798702239990234
2010-02-08,18.786197662353516
2010-02-09,18.87375259399414
2010-02-10,18.786197662353516
2010-02-11,19.27399253845215
2010-02-12,19.511634826660156
2010-02-16,19.861841201782227
2010-02-17,19.599180221557617
2010-02-18,19.636703491210938
2010-02-19,19.53664207458496
2010-02-22,19.77428436279297
2010-02-23,19.43658447265625
2010-02-24,19.47410011291504
2010-02-25,19.4240779876709
2010-02-26,19.37405014038086
2010-03-01,19.549150466918945
2010-03-02,19.674232482910156
2010-03-03,19.32402801513672
2010-03-04,19.29899787902832
2010-03-05,19.511634826660156
2010-03-08,19.76177406311035
2010-03-09,19.999420166015625
2010-03-10,20.437179565429688
2010-03-11,20.799901962280273
2010-03-12,20.4246768951416
2010-03-15,20.86243438720703
2010-03-16,21.062551498413086
2010-03-17,21.36273193359375
2010-03-18,20.974992752075195
2010-03-19,20.474702835083008
2010-03-22,20.63730239868164
2010-03-23,20.762371063232422
2010-03-24,20.499717712402344
2010-03-25,20.287090301513672
2010-03-26,20.449689865112305
2010-03-29,20.849924087524414
2010-03-30,20.812402725219727
2010-03-31,20.687326431274414
2010-04-01,20.812402725219727
2010-04-05,21.100074768066406
2010-04-06,21.20013427734375
2010-04-07,21.18763542175293
2010-04-08,21.687923431396484
2010-04-09,21.80049705505371
2010-04-12,22.088167190551758
2010-04-13,21.950584411621094
2010-04-14,22.5134220123291
2010-04-15,22.5134220123291
2010-04-16,21.963090896606445
2010-04-19,21.975587844848633
2010-04-20,22.42586898803711
2010-04-21,21.662906646728516
2010-04-22,21.425262451171875
2010-04-23,20.687326431274414
2010-04-26,20.37464714050293
2010-04-27,20.462200164794922
2010-04-28,20.64980697631836
2010-04-29,20.674823760986328
2010-04-30,20.59977912902832
2010-05-03,21.095088958740234
2010-05-04,20.282278060913086
2010-05-05,20.256872177124023
2010-05-06,19.317054748535156
2010-05-07,19.44405746459961
2010-05-10,20.485477447509766
2010-05-11,20.35848045349121
2010-05-12,20.66328239440918
2010-05-13,20.701377868652344
2010-05-14,20.30767250061035
2010-05-17,20.42197036743164
2010-05-18,20.294973373413086
2010-05-19,20.587074279785156
2010-05-20,19.44405746459961
2010-05-21,19.54566192626953
2010-05-24,19.685361862182617
2010-05-25,19.609153747558594
2010-05-26,19.8631649017334
2010-05-27,20.52357292175293
2010-05-28,20.383878707885742
2010-06-01,19.87586212158203
2010-06-02,20.612478256225586
2010-06-03,20.218778610229492
2010-06-04,19.748865127563477
2010-06-07,19.786968231201172
