Date,GMRE
2016-06-30,4.826530456542969
2016-07-01,4.845627307891846
2016-07-05,4.850401401519775
2016-07-06,4.831305027008057
2016-07-07,4.826530456542969
2016-07-08,4.917236328125
2016-07-11,4.993622779846191
2016-07-12,4.964976787567139
2016-07-13,4.922011852264404
2016-07-14,4.883820056915283
2016-07-15,4.941110134124756
2016-07-18,4.998394966125488
2016-07-19,4.979300022125244
2016-07-20,5.007943153381348
2016-07-21,5.022266864776611
2016-07-22,5.122521877288818
2016-07-25,5.151164531707764
2016-07-26,5.136843204498291
2016-07-27,5.093876361846924
2016-07-28,5.160712242126465
2016-07-29,5.213225364685059
2016-08-01,5.189356327056885
2016-08-02,5.160712242126465
2016-08-03,5.122521877288818
2016-08-04,5.136843204498291
2016-08-05,5.079554080963135
2016-08-08,5.093876361846924
2016-08-09,5.093876361846924
2016-08-10,5.127293586730957
2016-08-11,5.194129943847656
2016-08-12,5.184582233428955
2016-08-15,5.241871356964111
2016-08-16,5.246644973754883
2016-08-17,5.165486812591553
2016-08-18,5.208453178405762
2016-08-19,5.308706760406494
2016-08-22,5.198904037475586
2016-08-23,5.127293586730957
2016-08-24,5.122521877288818
2016-08-25,5.132067680358887
2016-08-26,5.117745876312256
2016-08-29,5.17503547668457
2016-08-30,5.141616344451904
2016-08-31,5.132067680358887
2016-09-01,5.055683135986328
2016-09-02,5.122521877288818
2016-09-06,5.007943153381348
2016-09-07,4.893368244171143
2016-09-08,4.888592720031738
2016-09-09,4.869497776031494
2016-09-12,4.831305027008057
2016-09-13,4.654666900634766
2016-09-14,4.774016857147217
2016-09-15,4.8360795974731445
2016-09-16,4.8217573165893555
2016-09-19,4.979300022125244
2016-09-20,4.845627307891846
2016-09-21,4.845627307891846
2016-09-22,4.950656414031982
2016-09-23,4.936051845550537
2016-09-26,4.843562126159668
2016-09-27,4.721864700317383
2016-09-28,4.848430633544922
2016-09-29,4.746203422546387
2016-09-30,4.751071929931641
2016-10-03,4.6975250244140625
2016-10-04,4.478470325469971
2016-10-05,4.58069372177124
2016-10-06,4.527148723602295
2016-10-07,4.4979400634765625
2016-10-10,4.575827121734619
2016-10-11,4.575827121734619
2016-10-12,4.483336448669434
2016-10-13,4.512547016143799
2016-10-14,4.57096004486084
2016-10-17,4.605034828186035
2016-10-18,4.595299243927002
2016-10-19,4.575827121734619
2016-10-20,4.483336448669434
2016-10-21,4.478470325469971
2016-10-24,4.507676601409912
2016-10-25,4.488206386566162
2016-10-26,4.483336448669434
2016-10-27,4.429790019989014
2016-10-28,4.478470325469971
2016-10-31,4.746203422546387
2016-11-01,4.488206386566162
2016-11-02,4.274016380310059
2016-11-03,4.108509063720703
2016-11-04,4.050092697143555
2016-11-07,4.137717247009277
2016-11-08,4.166923999786377
2016-11-09,4.142584800720215
2016-11-10,3.8067002296447754
2016-11-11,3.792095899581909
2016-11-14,3.699605941772461
2016-11-15,3.524360418319702
2016-11-16,3.5194928646087646
2016-11-17,3.5194928646087646
2016-11-18,3.529228448867798
2016-11-21,3.5194928646087646
2016-11-22,3.6606619358062744
2016-11-23,3.5827748775482178
2016-11-25,3.611982822418213
2016-11-28,3.5633034706115723
2016-11-29,3.5681710243225098
2016-11-30,3.5584359169006348
2016-12-01,3.5097568035125732
2016-12-02,3.5097568035125732
2016-12-05,3.801831007003784
2016-12-06,4.016018867492676
2016-12-07,4.040358066558838
2016-12-08,4.162055492401123
2016-12-09,4.132847309112549
2016-12-12,4.4589972496032715
