Date,SWK
2010-01-04,35.7039794921875
2010-01-05,36.22555923461914
2010-01-06,37.13323211669922
2010-01-07,38.4405403137207
2010-01-08,38.89439010620117
2010-01-11,38.65728759765625
2010-01-12,38.05445098876953
2010-01-13,38.413455963134766
2010-01-14,38.30507278442383
2010-01-15,37.75640106201172
2010-01-19,38.135719299316406
2010-01-20,37.62091827392578
2010-01-21,36.699703216552734
2010-01-22,36.123931884765625
2010-01-25,36.45585250854492
2010-01-26,36.11040496826172
2010-01-27,35.541419982910156
2010-01-28,34.809852600097656
2010-01-29,34.71501922607422
2010-02-01,35.37884521484375
2010-02-02,36.747127532958984
2010-02-03,38.162818908691406
2010-02-04,37.011295318603516
2010-02-05,36.869041442871094
2010-02-08,36.2594108581543
2010-02-09,36.726810455322266
2010-02-10,36.4219856262207
2010-02-11,36.65228271484375
2010-02-12,36.77420425415039
2010-02-16,37.16709518432617
2010-02-17,37.824134826660156
2010-02-18,38.176368713378906
2010-02-19,37.878318786621094
2010-02-22,38.0815315246582
2010-02-23,37.4177131652832
2010-02-24,38.02732849121094
2010-02-25,37.93250274658203
2010-02-26,38.77922058105469
2010-03-01,40.237205505371094
2010-03-02,40.04643630981445
2010-03-03,40.05323791503906
2010-03-04,39.814788818359375
2010-03-05,40.25762176513672
2010-03-08,40.243988037109375
2010-03-09,40.38025665283203
2010-03-10,40.45519256591797
2010-03-11,40.08049774169922
2010-03-12,39.419647216796875
2010-03-15,39.25611877441406
2010-03-16,39.35151290893555
2010-03-17,39.814788818359375
2010-03-18,39.889732360839844
2010-03-19,39.562705993652344
2010-03-22,40.196311950683594
2010-03-23,40.80948257446289
2010-03-24,40.264434814453125
2010-03-25,39.46051788330078
2010-03-26,39.93061447143555
2010-03-29,39.74665832519531
2010-03-30,39.66489028930664
2010-03-31,39.11305618286133
2010-04-01,39.5150146484375
2010-04-05,40.353004455566406
2010-04-06,40.68684387207031
2010-04-07,40.448387145996094
2010-04-08,40.366634368896484
2010-04-09,41.16373062133789
2010-04-12,41.12968444824219
2010-04-13,41.606597900390625
2010-04-14,42.172061920166016
2010-04-15,41.708770751953125
2010-04-16,41.19099807739258
2010-04-19,41.19782257080078
2010-04-20,42.06304931640625
2010-04-21,42.26062774658203
2010-04-22,42.921478271484375
2010-04-23,42.81248474121094
2010-04-26,43.12587356567383
2010-04-27,43.84804916381836
2010-04-28,44.01154327392578
2010-04-29,44.331764221191406
2010-04-30,42.34238815307617
2010-05-03,43.1326789855957
2010-05-04,41.851844787597656
2010-05-05,40.88440704345703
2010-05-06,39.801151275634766
2010-05-07,38.234195709228516
2010-05-10,41.7155876159668
2010-05-11,41.865478515625
2010-05-12,42.655784606933594
2010-05-13,42.07667922973633
2010-05-14,41.1024284362793
2010-05-17,40.95255661010742
2010-05-18,40.22355651855469
2010-05-19,39.29700469970703
2010-05-20,36.93973922729492
2010-05-21,37.730037689208984
2010-05-24,37.130496978759766
2010-05-25,37.389381408691406
2010-05-26,37.362117767333984
2010-05-27,38.895050048828125
2010-05-28,38.2303581237793
2010-06-01,37.61360549926758
2010-06-02,39.2308235168457
2010-06-03,39.47751235961914
2010-06-04,37.73696517944336
2010-06-07,36.5172119140625
2010-06-08,37.09966278076172
2010-06-09,36.22938919067383
2010-06-10,37.05855178833008
2010-06-11,37.66157913208008
2010-06-14,37.90142059326172
2010-06-15,39.26507568359375
2010-06-16,38.9361572265625
2010-06-17,38.12070846557617
2010-06-18,38.36737823486328
2010-06-21,37.8740119934082
2010-06-22,35.8182373046875
2010-06-23,35.75658416748047
2010-06-24,35.74287414550781
2010-06-25,35.67433547973633
2010-06-28,35.4619026184082
2010-06-29,34.5505256652832
2010-06-30,34.61906433105469
2010-07-01,34.34495162963867
2010-07-02,33.97491455078125
2010-07-06,34.00232696533203
2010-07-07,35.4687614440918
2010-07-08,35.22209930419922
2010-07-09,35.701759338378906
2010-07-12,35.8182373046875
2010-07-13,37.0243034362793
2010-07-14,36.811859130859375
2010-07-15,36.31847381591797
2010-07-16,34.98909378051758
2010-07-19,35.448211669921875
2010-07-20,36.05808639526367
2010-07-21,36.750213623046875
2010-07-22,38.5387077331543
2010-07-23,39.299339294433594
2010-07-26,39.96403503417969
2010-07-27,38.92929458618164
2010-07-28,38.49072265625
2010-07-29,39.217105865478516
2010-07-30,39.75844192504883
2010-08-02,40.46426773071289
2010-08-03,40.07366180419922
2010-08-04,40.0873908996582
2010-08-05,39.703651428222656
2010-08-06,39.66251754760742
2010-08-09,39.792728424072266
2010-08-10,39.55973815917969
2010-08-11,37.86030960083008
2010-08-12,37.565650939941406
2010-08-13,37.641029357910156
2010-08-16,37.771209716796875
2010-08-17,39.14857864379883
2010-08-18,39.14857864379883
2010-08-19,37.819190979003906
2010-08-20,37.723262786865234
2010-08-23,37.35322189331055
2010-08-24,36.58573913574219
2010-08-25,36.770748138427734
2010-08-26,36.39386749267578
2010-08-27,37.35322189331055
2010-08-30,36.61314010620117
2010-08-31,36.757057189941406
2010-09-01,39.136253356933594
2010-09-02,39.55002975463867
2010-09-03,40.10862731933594
2010-09-07,39.61899185180664
2010-09-08,40.39826202392578
2010-09-09,40.66032409667969
2010-09-10,40.887908935546875
2010-09-13,41.94304275512695
2010-09-14,42.04646301269531
2010-09-15,41.72234344482422
2010-09-16,40.894805908203125
2010-09-17,41.09479522705078
2010-09-20,41.825809478759766
2010-09-21,41.680965423583984
2010-09-22,41.39822769165039
2010-09-23,40.34309387207031
2010-09-24,41.729244232177734
2010-09-27,41.35685348510742
2010-09-28,42.22577667236328
