Date,GLIBK
2025-07-11,31.100000381469727
2025-07-14,30.850000381469727
2025-07-15,31.0
2025-07-16,32.900001525878906
2025-07-17,35.54999923706055
2025-07-18,36.95000076293945
2025-07-21,37.5
2025-07-22,35.650001525878906
2025-07-23,34.58000183105469
2025-07-24,34.11000061035156
2025-07-25,34.18000030517578
2025-07-28,33.70000076293945
2025-07-29,34.02000045776367
2025-07-30,34.11000061035156
2025-07-31,33.25
2025-08-01,32.560001373291016
2025-08-04,33.08000183105469
2025-08-05,32.86000061035156
2025-08-06,34.09000015258789
2025-08-07,36.0
2025-08-08,35.415000915527344
2025-08-11,34.38999938964844
2025-08-12,34.41999816894531
2025-08-13,33.90999984741211
2025-08-14,34.33000183105469
2025-08-15,34.90999984741211
2025-08-18,36.060001373291016
2025-08-19,35.91999816894531
2025-08-20,36.16999816894531
2025-08-21,37.849998474121094
2025-08-22,38.599998474121094
2025-08-25,37.79999923706055
2025-08-26,37.13999938964844
2025-08-27,37.720001220703125
2025-08-28,37.47999954223633
2025-08-29,36.63999938964844
2025-09-02,36.630001068115234
2025-09-03,36.56999969482422
2025-09-04,36.220001220703125
2025-09-05,36.400001525878906
2025-09-08,36.36000061035156
2025-09-09,36.0099983215332
2025-09-10,35.97999954223633
2025-09-11,36.41999816894531
2025-09-12,35.849998474121094
2025-09-15,35.06999969482422
2025-09-16,35.20000076293945
2025-09-17,35.0099983215332
2025-09-18,35.599998474121094
2025-09-19,35.4900016784668
