Date,TWO
2010-01-04,8.39297866821289
2010-01-05,8.384424209594727
2010-01-06,8.298871040344238
2010-01-07,8.384424209594727
2010-01-08,8.384424209594727
2010-01-11,8.341644287109375
2010-01-12,8.144869804382324
2010-01-13,8.290307998657227
2010-01-14,8.375865936279297
2010-01-15,8.298871040344238
2010-01-19,8.256089210510254
2010-01-20,8.273200988769531
2010-01-21,8.04220199584961
2010-01-22,8.007984161376953
2010-01-25,7.913870334625244
2010-01-26,7.862533092498779
2010-01-27,7.913870334625244
2010-01-28,7.913870334625244
2010-01-29,8.127756118774414
2010-02-01,7.6999831199646
2010-02-02,7.871092319488525
2010-02-03,7.871092319488525
2010-02-04,7.717090129852295
2010-02-05,7.802647590637207
2010-02-08,7.725646495819092
2010-02-09,7.665759563446045
2010-02-10,7.622981548309326
2010-02-11,7.742757320404053
2010-02-12,7.82831335067749
2010-02-16,7.794093608856201
2010-02-17,7.6999831199646
2010-02-18,7.657201766967773
2010-02-19,7.554534912109375
2010-02-22,7.734201431274414
2010-02-23,7.725646495819092
2010-02-24,7.82831335067749
2010-02-25,7.7855353355407715
2010-02-26,7.7855353355407715
2010-03-01,7.845425605773926
2010-03-02,7.7855353355407715
2010-03-03,7.7684245109558105
2010-03-04,7.913870334625244
2010-03-05,8.11920166015625
2010-03-08,8.136313438415527
2010-03-09,8.136313438415527
2010-03-10,8.04220199584961
2010-03-11,8.007984161376953
2010-03-12,8.136313438415527
2010-03-15,8.187647819519043
2010-03-16,8.19620132446289
2010-03-17,8.187647819519043
2010-03-18,8.170536041259766
2010-03-19,8.127756118774414
2010-03-22,8.09353256225586
2010-03-23,8.161979675292969
2010-03-24,8.127756118774414
2010-03-25,8.11920166015625
2010-03-26,8.127756118774414
2010-03-29,8.083296775817871
2010-03-30,8.056614875793457
2010-03-31,8.12775707244873
2010-04-01,8.092188835144043
2010-04-05,8.083296775817871
2010-04-06,8.092188835144043
2010-04-07,7.976584434509277
2010-04-08,7.86098051071167
2010-04-09,7.807628154754639
2010-04-12,7.780948638916016
2010-04-13,7.843197822570801
2010-04-14,7.869871616363525
2010-04-15,7.780948638916016
2010-04-16,8.181114196777344
2010-04-19,8.092188835144043
2010-04-20,7.985476493835449
2010-04-21,7.869871616363525
2010-04-22,7.949906349182129
2010-04-23,7.914337158203125
2010-04-26,7.905447006225586
2010-04-27,7.807628154754639
2010-04-28,7.78984260559082
2010-04-29,7.914337158203125
2010-04-30,7.896551609039307
2010-05-03,7.923229217529297
2010-05-04,7.852087020874023
2010-05-05,7.780948638916016
2010-05-06,7.620882511138916
2010-05-07,7.700915813446045
2010-05-10,7.780948638916016
2010-05-11,7.825411796569824
2010-05-12,7.73648738861084
2010-05-13,7.692025661468506
2010-05-14,7.5586371421813965
2010-05-17,7.5586371421813965
2010-05-18,7.4430341720581055
2010-05-19,7.407464027404785
2010-05-20,7.265182018280029
2010-05-21,7.318536281585693
2010-05-24,7.4252495765686035
2010-05-25,7.256291389465332
2010-05-26,7.407464027404785
2010-05-27,7.638668537139893
2010-05-28,7.611994743347168
2010-06-01,7.469710350036621
2010-06-02,7.4252495765686035
2010-06-03,7.451927661895752
2010-06-04,7.4430341720581055
2010-06-07,7.4430341720581055
2010-06-08,7.380785942077637
2010-06-09,7.354111194610596
2010-06-10,7.478604316711426
2010-06-11,7.647561550140381
2010-06-14,7.620882511138916
2010-06-15,7.78984260559082
2010-06-16,7.727594375610352
2010-06-17,7.683131694793701
2010-06-18,7.807628154754639
2010-06-21,7.754270076751709
2010-06-22,7.665346145629883
2010-06-23,7.6297783851623535
2010-06-24,7.656454086303711
2010-06-25,7.700915813446045
2010-06-28,7.700918674468994
2010-06-29,7.673183441162109
2010-06-30,7.626957416534424
2010-07-01,7.673183441162109
2010-07-02,7.663938522338867
2010-07-06,7.5622453689575195
