Date,CINF
2010-01-04,15.736324310302734
2010-01-05,15.742267608642578
2010-01-06,15.77789306640625
2010-01-07,15.837284088134766
2010-01-08,15.783834457397461
2010-01-11,15.902599334716797
2010-01-12,15.872901916503906
2010-01-13,16.015419006347656
2010-01-14,16.051050186157227
2010-01-15,15.950098991394043
2010-01-19,16.241071701049805
2010-01-20,16.05698585510254
2010-01-21,15.938228607177734
2010-01-22,15.611625671386719
2010-01-25,15.718507766723633
2010-01-26,15.575995445251465
2010-01-27,15.706637382507324
2010-01-28,15.575995445251465
2010-01-29,15.671008110046387
2010-02-01,15.623495101928711
2010-02-02,15.819459915161133
2010-02-03,15.81352710723877
2010-02-04,15.593804359436035
2010-02-05,15.623495101928711
2010-02-08,15.237516403198242
2010-02-09,15.308770179748535
2010-02-10,15.350341796875
2010-02-11,15.362220764160156
2010-02-12,15.427536964416504
2010-02-16,15.635370254516602
2010-02-17,15.742267608642578
2010-02-18,15.831336975097656
2010-02-19,15.86102294921875
2010-02-22,15.938228607177734
2010-02-23,15.795706748962402
2010-02-24,15.985732078552246
2010-02-25,16.009477615356445
2010-02-26,15.967924118041992
2010-03-01,16.258893966674805
2010-03-02,16.466718673706055
2010-03-03,16.437036514282227
2010-03-04,16.520172119140625
2010-03-05,16.66269302368164
2010-03-08,16.823026657104492
2010-03-09,16.876466751098633
2010-03-10,16.85271453857422
2010-03-11,16.91803741455078
2010-03-12,16.923967361450195
2010-03-15,17.036800384521484
2010-03-16,17.07242202758789
2010-03-17,17.286205291748047
2010-03-18,17.38715171813965
2010-03-19,17.45246696472168
2010-03-22,17.26287078857422
2010-03-23,17.425386428833008
2010-03-24,17.32908821105957
2010-03-25,17.3712158203125
2010-03-26,17.45548439025879
2010-03-29,17.642080307006836
2010-03-30,17.563827514648438
2010-03-31,17.40131950378418
2010-04-01,17.503639221191406
2010-04-05,17.617998123168945
2010-04-06,17.678197860717773
2010-04-07,17.593923568725586
2010-04-08,17.65411376953125
2010-04-09,17.630035400390625
2010-04-12,17.58188819885254
2010-04-13,17.708290100097656
2010-04-14,17.973133087158203
2010-04-15,17.949054718017578
2010-04-16,17.605960845947266
2010-04-19,17.792556762695312
2010-04-20,17.924972534179688
2010-04-21,17.894882202148438
2010-04-22,17.96710968017578
2010-04-23,18.183801651000977
2010-04-26,18.069435119628906
2010-04-27,17.3892765045166
2010-04-28,17.55781364440918
2010-04-29,17.533727645874023
2010-04-30,17.1184139251709
2010-05-03,17.280933380126953
2010-05-04,16.853572845458984
2010-05-05,16.793378829956055
2010-05-06,16.245637893676758
2010-05-07,15.998849868774414
2010-05-10,16.6308650970459
2010-05-11,16.528532028198242
2010-05-12,16.751243591308594
2010-05-13,16.685041427612305
2010-05-14,16.492420196533203
2010-05-17,16.727170944213867
2010-05-18,16.576692581176758
2010-05-19,16.648923873901367
2010-05-20,16.028953552246094
2010-05-21,16.25165557861328
2010-05-24,15.944686889648438
2010-05-25,15.890514373779297
