Date,APO
2011-03-30,7.135138988494873
2011-03-31,7.0567307472229
2011-04-01,7.0567307472229
2011-04-04,7.009685039520264
2011-04-05,7.048889636993408
2011-04-06,7.09593391418457
2011-04-07,7.060650825500488
2011-04-08,7.0567307472229
2011-04-11,7.0802531242370605
2011-04-12,7.131218910217285
2011-04-13,7.09593391418457
2011-04-14,7.154738903045654
2011-04-15,7.252749919891357
2011-04-18,7.127297401428223
2011-04-19,7.135138988494873
2011-04-20,7.146902084350586
2011-04-21,7.099855899810791
2011-04-25,7.0802531242370605
2011-04-26,7.127297401428223
2011-04-27,7.127297401428223
2011-04-28,7.099855899810791
2011-04-29,7.088093280792236
2011-05-02,7.131218910217285
2011-05-03,7.162578582763672
2011-05-04,7.048889636993408
2011-05-05,7.03320837020874
2011-05-06,7.0449676513671875
2011-05-09,7.252749919891357
2011-05-10,7.335078716278076
2011-05-11,7.244909286499023
2011-05-12,7.221391201019287
2011-05-13,7.162578582763672
2011-05-16,6.990084648132324
2011-05-17,6.735257625579834
2011-05-18,6.997925281524658
2011-05-19,7.053495407104492
2011-05-20,7.085249900817871
2011-05-23,6.986017227172852
2011-05-24,6.97410774230957
2011-05-25,6.894723892211914
2011-05-26,7.045556545257568
2011-05-27,7.220208168029785
2011-05-31,7.15272855758667
2011-06-01,7.117002487182617
2011-06-02,7.089218616485596
2011-06-03,7.085249900817871
2011-06-06,6.9066314697265625
2011-06-07,6.716102123260498
2011-06-08,6.648623466491699
2011-06-09,6.466034412384033
2011-06-10,6.2080278396606445
2011-06-13,6.156426429748535
2011-06-14,6.35092306137085
2011-06-15,6.339015960693359
2011-06-16,6.299322605133057
2011-06-17,6.331076622009277
2011-06-20,6.231842517852783
2011-06-21,6.35092306137085
2011-06-22,6.477941989898682
2011-06-23,6.3906168937683105
2011-06-24,6.35092306137085
2011-06-27,6.398555755615234
2011-06-28,6.585114002227783
2011-06-29,6.799458026885986
2011-06-30,6.827244281768799
2011-07-01,6.80342435836792
2011-07-05,6.743889331817627
2011-07-06,6.700222969055176
2011-07-07,6.696253776550293
2011-07-08,6.747856616973877
2011-07-11,6.5652689933776855
2011-07-12,6.608929634094238
2011-07-13,6.505726337432861
2011-07-14,6.454124927520752
2011-07-15,6.54939079284668
2011-07-18,6.311228275299072
2011-07-19,6.35092306137085
2011-07-20,6.485881805419922
2011-07-21,6.648623466491699
2011-07-22,6.724039554595947
2011-07-25,6.827244281768799
2011-07-26,6.858998775482178
2011-07-27,6.672439098358154
2011-07-28,6.696253776550293
2011-07-29,6.87090539932251
2011-08-01,6.946322917938232
2011-08-02,6.676407337188721
2011-08-03,6.640684127807617
2011-08-04,5.926205158233643
2011-08-05,5.576905250549316
2011-08-08,5.255390167236328
2011-08-09,5.6126298904418945
2011-08-10,5.402255058288574
2011-08-11,5.402255058288574
2011-08-12,5.271268367767334
2011-08-15,5.291112422943115
2011-08-16,5.624537467956543
2011-08-17,5.7317094802856445
2011-08-18,5.64290714263916
2011-08-19,5.59043550491333
2011-08-22,5.3361406326293945
2011-08-23,5.388613700866699
2011-08-24,5.3199944496154785
2011-08-25,5.247339248657227
2011-08-26,5.049555778503418
2011-08-29,5.089919090270996
2011-08-30,5.166609764099121
2011-08-31,5.235230445861816
2011-09-01,5.211012840270996
2011-09-02,4.892132759094238
2011-09-06,4.9203901290893555
2011-09-07,4.81140661239624
2011-09-08,4.528858661651611
2011-09-09,4.641877174377441
2011-09-12,4.379510879516602
2011-09-13,4.573258399963379
2011-09-14,4.775079250335693
2011-09-15,4.779115676879883
2011-09-16,4.843697547912598
2011-09-19,4.787187576293945
2011-09-20,4.686277866363525
2011-09-21,4.484456539154053
2011-09-22,4.1776885986328125
2011-09-23,4.056597709655762
2011-09-26,4.0364155769348145
2011-09-27,4.096961975097656
2011-09-28,4.024304389953613
2011-09-29,4.137326240539551
2011-09-30,4.133288860321045
2011-10-03,3.878993511199951
2011-10-04,3.9960508346557617
2011-10-05,4.157506942749023
2011-10-06,4.1736531257629395
2011-10-07,4.137326240539551
2011-10-10,4.218052864074707
2011-10-11,4.246307373046875
2011-10-12,4.3754754066467285
2011-10-13,4.33107328414917
2011-10-14,4.347217559814453
2011-10-17,4.347217559814453
2011-10-18,4.33107328414917
2011-10-19,4.254382133483887
2011-10-20,4.399691104888916
2011-10-21,4.549039840698242
2011-10-24,4.75085973739624
2011-10-25,4.718568801879883
2011-10-26,4.900207042694092
2011-10-27,5.364394187927246
2011-10-28,5.360360145568848
2011-10-31,5.348251819610596
2011-11-01,5.1746826171875
2011-11-02,5.283665657043457
2011-11-03,5.263484954833984
2011-11-04,5.3361406326293945
2011-11-07,5.61465311050415
2011-11-08,5.574289798736572
2011-11-09,5.574289798736572
2011-11-10,5.3361406326293945
2011-11-11,5.303850173950195
2011-11-14,5.235230445861816
2011-11-15,5.142392158508301
2011-11-16,5.235230445861816
2011-11-17,4.884060859680176
2011-11-18,4.964790344238281
2011-11-21,4.730678558349609
2011-11-22,4.755317687988281
2011-11-23,4.652654647827148
2011-11-25,4.56641960144043
2011-11-28,4.7635297775268555
2011-11-29,4.960641860961914
2011-11-30,5.141327857971191
2011-12-01,5.194711208343506
2011-12-02,5.338438987731934
2011-12-05,5.675171375274658
2011-12-06,5.736769676208496
2011-12-07,5.580722332000732
2011-12-08,5.4082512855529785
2011-12-09,5.568402290344238
2011-12-12,5.41646146774292
2011-12-13,5.441102027893066
2011-12-14,5.215243339538574
2011-12-15,5.161858558654785
2011-12-16,4.8292317390441895
2011-12-19,4.862085819244385
