Date,EEFT
2010-01-04,22.549999237060547
2010-01-05,22.520000457763672
2010-01-06,22.56999969482422
2010-01-07,22.139999389648438
2010-01-08,22.200000762939453
2010-01-11,21.700000762939453
2010-01-12,21.40999984741211
2010-01-13,22.09000015258789
2010-01-14,22.520000457763672
2010-01-15,22.139999389648438
2010-01-19,22.709999084472656
2010-01-20,22.459999084472656
2010-01-21,21.850000381469727
2010-01-22,20.979999542236328
2010-01-25,21.270000457763672
2010-01-26,21.0
2010-01-27,21.100000381469727
2010-01-28,20.920000076293945
2010-01-29,20.420000076293945
2010-02-01,20.350000381469727
2010-02-02,20.260000228881836
2010-02-03,20.010000228881836
2010-02-04,19.329999923706055
2010-02-05,19.020000457763672
2010-02-08,18.959999084472656
2010-02-09,19.149999618530273
2010-02-10,18.940000534057617
2010-02-11,19.219999313354492
2010-02-12,19.239999771118164
2010-02-16,19.34000015258789
2010-02-17,18.799999237060547
2010-02-18,19.059999465942383
2010-02-19,18.8799991607666
2010-02-22,18.6200008392334
2010-02-23,18.3700008392334
2010-02-24,18.450000762939453
2010-02-25,18.299999237060547
2010-02-26,18.1200008392334
2010-03-01,18.530000686645508
2010-03-02,18.760000228881836
2010-03-03,18.75
2010-03-04,18.690000534057617
2010-03-05,19.309999465942383
2010-03-08,19.15999984741211
2010-03-09,19.489999771118164
2010-03-10,19.600000381469727
2010-03-11,19.56999969482422
2010-03-12,19.329999923706055
2010-03-15,19.229999542236328
2010-03-16,18.950000762939453
2010-03-17,18.940000534057617
2010-03-18,18.760000228881836
2010-03-19,18.530000686645508
2010-03-22,18.670000076293945
2010-03-23,19.299999237060547
2010-03-24,19.149999618530273
2010-03-25,18.770000457763672
2010-03-26,18.780000686645508
2010-03-29,18.829999923706055
2010-03-30,18.93000030517578
2010-03-31,18.43000030517578
2010-04-01,18.459999084472656
2010-04-05,18.700000762939453
2010-04-06,18.600000381469727
2010-04-07,18.530000686645508
2010-04-08,18.260000228881836
2010-04-09,18.25
2010-04-12,18.350000381469727
2010-04-13,18.31999969482422
2010-04-14,18.809999465942383
2010-04-15,19.579999923706055
2010-04-16,19.68000030517578
2010-04-19,20.40999984741211
2010-04-20,20.299999237060547
2010-04-21,20.329999923706055
2010-04-22,21.25
2010-04-23,21.1200008392334
2010-04-26,20.959999084472656
2010-04-27,19.049999237060547
2010-04-28,16.5
2010-04-29,16.200000762939453
2010-04-30,15.930000305175781
2010-05-03,16.40999984741211
2010-05-04,16.0
2010-05-05,16.290000915527344
2010-05-06,15.5600004196167
2010-05-07,15.239999771118164
2010-05-10,15.3100004196167
