Date,HWM
2016-11-01,13.865303039550781
2016-11-02,13.147122383117676
2016-11-03,12.817346572875977
2016-11-04,12.956583023071289
2016-11-07,12.707420349121094
2016-11-08,12.825284957885742
2016-11-09,12.91368293762207
2016-11-10,13.591414451599121
2016-11-11,13.893441200256348
2016-11-14,14.062875747680664
2016-11-15,14.666938781738281
2016-11-16,14.445940017700195
2016-11-17,14.364909172058105
2016-11-18,14.666938781738281
2016-11-21,14.865838050842285
2016-11-22,14.652205467224121
2016-11-23,14.939502716064453
2016-11-25,15.123671531677246
2016-11-28,14.843738555908203
2016-11-29,14.490142822265625
2016-11-30,14.20284366607666
2016-12-01,14.364909172058105
2016-12-02,14.504873275756836
2016-12-05,14.924773216247559
2016-12-06,14.968972206115723
2016-12-07,15.381501197814941
2016-12-08,15.403599739074707
2016-12-09,16.05922508239746
2016-12-12,15.897165298461914
2016-12-13,15.60986614227295
2016-12-14,15.285734176635742
2016-12-15,15.145770072937012
2016-12-16,14.924773216247559
2016-12-19,14.747974395751953
2016-12-20,14.806906700134277
2016-12-21,14.747974395751953
2016-12-22,14.784804344177246
2016-12-23,14.571173667907715
2016-12-27,14.571173667907715
2016-12-28,14.180743217468262
2016-12-29,13.775580406188965
2016-12-30,13.657711029052734
2017-01-03,14.136544227600098
2017-01-04,14.51224136352539
2017-01-05,14.806906700134277
2017-01-06,15.197335243225098
2017-01-09,15.020539283752441
2017-01-10,15.256270408630371
2017-01-11,15.543567657470703
2017-01-12,15.469898223876953
2017-01-13,15.565671920776367
2017-01-17,15.278368949890137
2017-01-18,15.381501197814941
2017-01-19,15.698269844055176
2017-01-20,15.68353271484375
2017-01-23,15.713000297546387
2017-01-24,16.331798553466797
2017-01-25,16.714860916137695
2017-01-26,16.840089797973633
2017-01-27,16.6485595703125
2017-01-30,16.57489776611328
2017-01-31,16.788524627685547
2017-02-01,18.67197036743164
2017-02-02,18.612882614135742
2017-02-03,19.129907608032227
2017-02-06,19.351490020751953
2017-02-07,19.661701202392578
2017-02-08,20.163955688476562
2017-02-09,20.651437759399414
