Date,OUT
2014-03-28,13.203007698059082
2014-03-31,13.091117858886719
2014-04-01,13.41783618927002
2014-04-02,13.538677215576172
2014-04-03,13.534200668334961
2014-04-04,13.520774841308594
2014-04-07,13.189583778381348
2014-04-08,13.12244987487793
2014-04-09,13.247767448425293
2014-04-10,13.068740844726562
2014-04-11,12.500336647033691
2014-04-14,13.032937049865723
2014-04-15,12.988177299499512
2014-04-16,13.856441497802734
2014-04-17,13.614761352539062
2014-04-21,13.637141227722168
2014-04-22,13.655044555664062
2014-04-23,13.467069625854492
2014-04-24,13.650565147399902
2014-04-25,13.431262969970703
2014-04-28,13.234333992004395
2014-04-29,13.198532104492188
2014-04-30,13.113493919372559
2014-05-01,13.17168140411377
2014-05-02,13.337276458740234
2014-05-05,13.37308120727539
2014-05-06,13.113493919372559
2014-05-07,13.296998977661133
2014-05-08,13.641618728637695
2014-05-09,14.057846069335938
2014-05-12,14.523317337036133
2014-05-13,14.411420822143555
2014-05-14,14.603872299194336
2014-05-15,14.581496238708496
2014-05-16,14.65757942199707
2014-05-19,14.65757942199707
2014-05-20,14.639673233032227
2014-05-21,14.523317337036133
2014-05-22,14.518834114074707
2014-05-23,14.272676467895508
2014-05-27,14.304001808166504
2014-05-28,14.362187385559082
2014-05-29,14.581496238708496
2014-05-30,14.53226089477539
2014-06-02,14.590441703796387
2014-06-03,14.447226524353027
2014-06-04,14.268200874328613
2014-06-05,14.44480037689209
2014-06-06,14.711959838867188
2014-06-09,14.567054748535156
2014-06-10,14.51724910736084
2014-06-11,14.204805374145508
2014-06-12,14.539889335632324
2014-06-13,14.53536319732666
2014-06-16,14.852330207824707
2014-06-17,15.300619125366211
2014-06-18,15.359484672546387
2014-06-19,15.350421905517578
2014-06-20,15.463640213012695
2014-06-23,15.282506942749023
2014-06-24,15.499856948852539
2014-06-25,15.671926498413086
2014-06-26,15.916448593139648
2014-06-27,15.146660804748535
2014-06-30,14.797996520996094
2014-07-01,14.263669967651367
2014-07-02,14.558002471923828
2014-07-03,14.603283882141113
2014-07-07,14.123300552368164
