Date,MMI
2013-10-31,12.423393249511719
2013-11-01,12.877002716064453
2013-11-04,12.978835105895996
2013-11-05,12.580767631530762
2013-11-06,12.886260986328125
2013-11-07,12.960320472717285
2013-11-08,12.645569801330566
2013-11-11,12.645569801330566
2013-11-12,12.404877662658691
2013-11-13,12.562252044677734
2013-11-14,12.173443794250488
2013-11-15,12.173443794250488
2013-11-18,12.590024948120117
2013-11-19,12.478935241699219
2013-11-20,12.793685913085938
2013-11-21,12.923290252685547
2013-11-22,13.145466804504395
2013-11-25,13.126953125
2013-11-26,12.839974403381348
2013-11-27,12.830717086791992
2013-11-29,12.701112747192383
2013-12-02,13.18249797821045
2013-12-03,13.654622077941895
2013-12-04,13.654622077941895
2013-12-05,13.441703796386719
2013-12-06,12.849230766296387
2013-12-09,13.404672622680664
2013-12-10,13.404672622680664
2013-12-11,13.33987045288086
2013-12-12,13.043635368347168
2013-12-13,13.20101261138916
2013-12-16,13.376900672912598
2013-12-17,13.31209945678711
2013-12-18,13.802739143371582
2013-12-19,13.858284950256348
2013-12-20,13.700909614562988
2013-12-23,14.080461502075195
2013-12-24,13.839770317077637
2013-12-26,13.515763282775879
2013-12-27,13.589821815490723
2013-12-30,13.025121688842773
2013-12-31,13.793482780456543
2014-01-02,13.46021842956543
2014-01-03,13.515763282775879
2014-01-06,13.441703796386719
2014-01-07,12.849230766296387
2014-01-08,13.41392993927002
2014-01-09,13.358386039733887
2014-01-10,13.367643356323242
2014-01-13,13.247298240661621
2014-01-14,13.386157989501953
2014-01-15,13.737940788269043
2014-01-16,13.737940788269043
2014-01-17,13.765710830688477
2014-01-21,13.617592811584473
2014-01-22,13.886056900024414
2014-01-23,13.774967193603516
2014-01-24,13.867541313171387
2014-01-27,14.552587509155273
2014-01-28,14.200807571411133
2014-01-29,14.719221115112305
2014-01-30,14.746993064880371
2014-01-31,15.432039260864258
2014-02-03,14.774764060974121
2014-02-04,15.191344261169434
2014-02-05,14.72847843170166
2014-02-06,15.135802268981934
2014-02-07,14.996941566467285
2014-02-10,14.904367446899414
2014-02-11,14.580360412597656
2014-02-12,14.885852813720703
2014-02-13,15.089513778686523
2014-02-14,14.941396713256836
2014-02-18,14.950654029846191
2014-02-19,15.03396987915039
2014-02-20,14.793279647827148
2014-02-21,14.876595497131348
2014-02-24,14.311897277832031
2014-02-25,14.756250381469727
2014-02-26,14.756250381469727
