Date,RNST
2010-01-04,8.943037986755371
2010-01-05,8.680574417114258
2010-01-06,8.64216423034668
2010-01-07,8.86622142791748
2010-01-08,8.898225784301758
2010-01-11,8.911031723022461
2010-01-12,8.891823768615723
2010-01-13,8.923834800720215
2010-01-14,9.128686904907227
2010-01-15,9.019858360290527
2010-01-19,9.186301231384277
2010-01-20,9.448766708374023
2010-01-21,9.762444496154785
2010-01-22,9.794447898864746
2010-01-25,9.717633247375488
2010-01-26,9.506379127502441
2010-01-27,9.717633247375488
2010-01-28,9.410357475280762
2010-01-29,9.186301231384277
2010-02-01,9.250312805175781
2010-02-02,9.256715774536133
2010-02-03,9.20550537109375
2010-02-04,9.115883827209473
2010-02-05,9.051863670349121
2010-02-08,8.949438095092773
2010-02-09,8.962244033813477
2010-02-10,9.0390625
2010-02-11,9.237510681152344
2010-02-12,9.05826473236084
2010-02-16,9.135088920593262
2010-02-17,9.243912696838379
2010-02-18,9.448766708374023
2010-02-19,9.480774879455566
2010-02-22,9.544787406921387
2010-02-23,9.57679557800293
2010-02-24,9.660014152526855
2010-02-25,9.65361499786377
2010-02-26,9.76884651184082
2010-03-01,9.877674102783203
2010-03-02,10.024910926818848
2010-03-03,9.98009967803955
2010-03-04,10.076123237609863
2010-03-05,10.357793807983398
2010-03-08,10.376996040344238
2010-03-09,10.293773651123047
2010-03-10,10.338586807250977
2010-03-11,10.511429786682129
2010-03-12,10.52423095703125
2010-03-15,10.338586807250977
2010-03-16,10.390341758728027
2010-03-17,10.53267765045166
2010-03-18,10.623255729675293
2010-03-19,10.83028507232666
2010-03-22,10.907922744750977
2010-03-23,10.784995079040527
2010-03-24,10.610311508178711
2010-03-25,10.810876846313477
2010-03-26,10.907922744750977
2010-03-29,10.53267765045166
2010-03-30,10.636189460754395
2010-03-31,10.467981338500977
2010-04-01,10.59737777709961
2010-04-05,10.89498233795166
2010-04-06,11.08260440826416
2010-04-07,11.134360313415527
2010-04-08,11.186117172241211
2010-04-09,11.192588806152344
2010-04-12,11.32198715209961
2010-04-13,11.173177719116211
2010-04-14,11.593713760375977
2010-04-15,11.574300765991211
2010-04-16,11.380208015441895
2010-04-19,11.270219802856445
2010-04-20,11.283166885375977
2010-04-21,11.147299766540527
2010-04-22,11.056723594665527
2010-04-23,11.011436462402344
2010-04-26,10.778524398803711
2010-04-27,10.79793930053711
2010-04-28,10.810876846313477
2010-04-29,11.140828132629395
2010-04-30,10.69442081451416
2010-05-03,10.70089054107666
2010-05-04,10.293298721313477
2010-05-05,10.312708854675293
2010-05-06,10.053921699523926
2010-05-07,9.93746280670166
2010-05-10,10.487387657165527
2010-05-11,10.759117126464844
2010-05-12,10.83028507232666
2010-05-13,10.83028507232666
2010-05-14,10.662073135375977
2010-05-17,10.53267765045166
2010-05-18,10.209195137023926
2010-05-19,10.14449691772461
2010-05-20,9.74984359741211
2010-05-21,9.536340713500977
2010-05-24,9.051119804382324
