Date,WKC
2010-01-04,23.628307342529297
2010-01-05,22.971267700195312
2010-01-06,22.684864044189453
2010-01-07,22.76909637451172
2010-01-08,22.726972579956055
2010-01-11,23.10605239868164
2010-01-12,22.887035369873047
2010-01-13,23.072351455688477
2010-01-14,22.76909637451172
2010-01-15,22.1878604888916
2010-01-19,22.1878604888916
2010-01-20,22.2047061920166
2010-01-21,21.859342575073242
2010-01-22,21.32865333557129
2010-01-25,20.99171257019043
2010-01-26,20.612648010253906
2010-01-27,21.219146728515625
2010-01-28,20.62949562072754
2010-01-29,20.24199676513672
2010-02-01,20.54525375366211
2010-02-02,20.435747146606445
2010-02-03,20.056686401367188
2010-02-04,19.104814529418945
2010-02-05,19.63550567626953
2010-02-08,19.458608627319336
2010-02-09,19.677621841430664
2010-02-10,19.694473266601562
2010-02-11,19.49230194091797
2010-02-12,19.517574310302734
2010-02-16,19.820829391479492
2010-02-17,19.652347564697266
2010-02-18,19.896636962890625
2010-02-19,20.18303680419922
2010-02-22,20.098814010620117
2010-02-23,19.930322647094727
2010-02-24,20.10722541809082
2010-02-25,20.418909072875977
2010-02-26,22.2552547454834
2010-03-01,22.28894805908203
2010-03-02,22.390026092529297
2010-03-03,22.777515411376953
2010-03-04,22.668006896972656
2010-03-05,23.266098022460938
2010-03-08,23.139732360839844
2010-03-09,23.19870948791504
2010-03-10,23.468263626098633
2010-03-11,23.779937744140625
2010-03-12,24.21796417236328
2010-03-15,24.487516403198242
2010-03-16,23.830480575561523
2010-03-17,23.77817726135254
2010-03-18,22.88407325744629
2010-03-19,22.740673065185547
2010-03-22,23.592605590820312
2010-03-23,23.56730079650879
2010-03-24,23.75286865234375
2010-03-25,23.128681182861328
2010-03-26,22.647890090942383
2010-03-29,23.010601043701172
2010-03-30,22.88407325744629
2010-03-31,22.47076416015625
2010-04-01,23.314250946044922
2010-04-05,24.18305206298828
2010-04-06,24.081830978393555
2010-04-07,24.478282928466797
2010-04-08,24.503582000732422
2010-04-09,24.107145309448242
2010-04-12,23.52512550354004
2010-04-13,23.508258819580078
2010-04-14,23.887834548950195
2010-04-15,23.601049423217773
2010-04-16,22.892507553100586
2010-04-19,22.774423599243164
2010-04-20,24.233667373657227
2010-04-21,24.495145797729492
2010-04-22,24.292715072631836
2010-04-23,24.663854598999023
2010-04-26,25.574825286865234
2010-04-27,24.495145797729492
2010-04-28,24.36861801147461
2010-04-29,25.136201858520508
2010-04-30,23.980621337890625
2010-05-03,24.638540267944336
2010-05-04,24.174623489379883
2010-05-05,23.71070671081543
2010-05-06,23.120256423950195
2010-05-07,22.015268325805664
2010-05-10,23.40703773498535
2010-05-11,23.25521469116211
2010-05-12,23.769739151000977
2010-05-13,23.887834548950195
2010-05-14,23.474519729614258
2010-05-17,23.128681182861328
2010-05-18,22.60572052001953
2010-05-19,22.108055114746094
2010-05-20,20.67410659790039
2010-05-21,21.129592895507812
2010-05-24,20.851247787475586
2010-05-25,20.809078216552734
2010-05-26,21.34047508239746
2010-05-27,22.39484214782715
2010-05-28,21.956222534179688
2010-06-01,20.657241821289062
2010-06-02,21.19707489013672
2010-06-03,21.686304092407227
2010-06-04,20.8174991607666
2010-06-07,20.54759407043457
2010-06-08,20.429492950439453
2010-06-09,20.286102294921875
2010-06-10,21.26456069946289
2010-06-11,21.104293823242188
2010-06-14,21.070554733276367
2010-06-15,21.77065658569336
2010-06-16,21.26212501525879
2010-06-17,21.177644729614258
2010-06-18,21.219881057739258
2010-06-21,21.380382537841797
2010-06-22,20.873538970947266
2010-06-23,20.324460983276367
2010-06-24,20.299118041992188
2010-06-25,21.397287368774414
2010-06-28,21.861894607543945
2010-06-29,21.56623649597168
2010-06-30,21.91257667541504
2010-07-01,21.110065460205078
2010-07-02,20.94112205505371
2010-07-06,20.392030715942383
2010-07-07,21.219881057739258
2010-07-08,21.338151931762695
2010-07-09,21.785863876342773
2010-07-12,22.0054931640625
2010-07-13,22.58836555480957
2010-07-14,21.625368118286133
2010-07-15,21.22832679748535
2010-07-16,20.484952926635742
2010-07-19,20.729934692382812
2010-07-20,20.93267250061035
2010-07-21,21.06783103942871
2010-07-22,21.304363250732422
2010-07-23,21.49864387512207
2010-07-26,21.946359634399414
2010-07-27,21.980161666870117
2010-07-28,21.600021362304688
2010-07-29,21.887229919433594
2010-07-30,22.0054931640625
2010-08-02,21.946359634399414
2010-08-03,21.523990631103516
2010-08-04,24.489032745361328
2010-08-05,24.04976463317871
2010-08-06,23.71187400817871
2010-08-09,23.62740135192871
2010-08-10,23.323293685913086
2010-08-11,22.757314682006836
2010-08-12,21.87877655029297
2010-08-13,21.4564208984375
2010-08-16,21.91257667541504
2010-08-17,22.546131134033203
2010-08-18,22.402528762817383
2010-08-19,21.600021362304688
2010-08-20,21.279014587402344
2010-08-23,22.23357391357422
2010-08-24,22.0054931640625
2010-08-25,22.24202537536621
2010-08-26,22.0054931640625
2010-08-27,22.782657623291016
2010-08-30,21.921024322509766
2010-08-31,21.574676513671875
2010-09-01,22.284255981445312
2010-09-02,22.360280990600586
2010-09-03,23.002288818359375
2010-09-07,22.44475555419922
2010-09-08,22.833343505859375
2010-09-09,22.503890991210938
2010-09-10,22.31804847717285
2010-09-13,21.963253021240234
2010-09-14,21.73517608642578
2010-09-15,21.68273162841797
2010-09-16,21.242807388305664
2010-09-17,21.20051383972168
2010-09-20,21.496612548828125
2010-09-21,21.395092010498047
2010-09-22,21.005943298339844
2010-09-23,20.447582244873047
2010-09-24,20.81135368347168
2010-09-27,21.22589111328125
2010-09-28,21.41200828552246
