Date,AFRM
2021-01-13,96.36499786376953
2021-01-14,114.94000244140625
2021-01-15,117.0
2021-01-19,110.98999786376953
2021-01-20,106.20999908447266
2021-01-21,108.97000122070312
2021-01-22,119.94999694824219
2021-01-25,112.69999694824219
2021-01-26,110.08000183105469
2021-01-27,105.29000091552734
2021-01-28,99.41999816894531
2021-01-29,99.58999633789062
2021-02-01,107.61000061035156
2021-02-02,113.0
2021-02-03,110.94999694824219
2021-02-04,108.7699966430664
2021-02-05,103.44999694824219
2021-02-08,122.76000213623047
2021-02-09,131.0
2021-02-10,136.22999572753906
2021-02-11,139.99000549316406
2021-02-12,125.88999938964844
2021-02-16,119.1500015258789
2021-02-17,112.52999877929688
2021-02-18,105.55000305175781
2021-02-19,105.98999786376953
2021-02-22,104.83000183105469
2021-02-23,102.01000213623047
2021-02-24,102.48999786376953
2021-02-25,94.19499969482422
2021-02-26,93.05999755859375
2021-03-01,91.44000244140625
2021-03-02,91.80000305175781
2021-03-03,86.30999755859375
2021-03-04,84.45999908447266
2021-03-05,81.13999938964844
2021-03-08,74.30999755859375
2021-03-09,79.66000366210938
2021-03-10,80.76000213623047
2021-03-11,81.25
2021-03-12,79.56999969482422
2021-03-15,81.3499984741211
2021-03-16,80.80000305175781
2021-03-17,81.08999633789062
2021-03-18,74.38999938964844
2021-03-19,77.37000274658203
2021-03-22,81.98999786376953
2021-03-23,78.87000274658203
2021-03-24,72.62999725341797
2021-03-25,69.55999755859375
2021-03-26,69.72000122070312
2021-03-29,69.98999786376953
2021-03-30,66.38999938964844
2021-03-31,70.72000122070312
2021-04-01,71.44999694824219
2021-04-05,69.38999938964844
2021-04-06,73.0
2021-04-07,71.5
2021-04-08,69.80999755859375
2021-04-09,70.70999908447266
2021-04-12,67.93000030517578
2021-04-13,70.11000061035156
2021-04-14,68.7300033569336
2021-04-15,68.66999816894531
2021-04-16,69.72000122070312
2021-04-19,66.0199966430664
2021-04-20,65.0
2021-04-21,67.55000305175781
2021-04-22,68.62000274658203
2021-04-23,74.12000274658203
2021-04-26,77.97000122070312
2021-04-27,76.37000274658203
2021-04-28,77.20999908447266
2021-04-29,74.0199966430664
2021-04-30,70.5
2021-05-03,66.77999877929688
2021-05-04,62.16999816894531
2021-05-05,57.599998474121094
2021-05-06,54.439998626708984
2021-05-07,54.0
2021-05-10,57.0
2021-05-11,55.45000076293945
2021-05-12,49.81999969482422
2021-05-13,48.369998931884766
2021-05-14,54.0
2021-05-17,50.599998474121094
2021-05-18,51.63999938964844
2021-05-19,50.45000076293945
2021-05-20,54.88999938964844
2021-05-21,53.36000061035156
2021-05-24,53.150001525878906
2021-05-25,54.040000915527344
2021-05-26,57.0
2021-05-27,57.290000915527344
2021-05-28,60.810001373291016
2021-06-01,62.52000045776367
2021-06-02,65.23999786376953
2021-06-03,63.2400016784668
2021-06-04,59.650001525878906
2021-06-07,59.459999084472656
2021-06-08,62.4900016784668
2021-06-09,60.2599983215332
2021-06-10,63.68000030517578
2021-06-11,67.9800033569336
2021-06-14,68.94000244140625
2021-06-15,67.26000213623047
2021-06-16,67.41000366210938
2021-06-17,69.38999938964844
2021-06-18,68.18000030517578
2021-06-21,63.79999923706055
2021-06-22,63.45000076293945
2021-06-23,65.16000366210938
2021-06-24,66.33000183105469
2021-06-25,64.4000015258789
2021-06-28,64.43000030517578
2021-06-29,66.45999908447266
2021-06-30,67.3499984741211
2021-07-01,68.37000274658203
2021-07-02,68.87000274658203
2021-07-06,67.98999786376953
2021-07-07,64.29000091552734
2021-07-08,63.9900016784668
2021-07-09,67.25
2021-07-12,65.0
2021-07-13,58.209999084472656
2021-07-14,56.7599983215332
2021-07-15,57.45000076293945
2021-07-16,57.5
2021-07-19,55.86000061035156
2021-07-20,57.40999984741211
2021-07-21,60.630001068115234
2021-07-22,59.0
2021-07-23,58.689998626708984
2021-07-26,59.41999816894531
2021-07-27,59.5
2021-07-28,61.18000030517578
2021-07-29,60.86000061035156
2021-07-30,56.31999969482422
2021-08-02,64.70999908447266
2021-08-03,66.66999816894531
2021-08-04,68.22000122070312
2021-08-05,67.16000366210938
2021-08-06,67.16999816894531
2021-08-09,65.87999725341797
2021-08-10,65.55999755859375
2021-08-11,68.62000274658203
2021-08-12,67.54000091552734
2021-08-13,65.94999694824219
2021-08-16,63.59000015258789
2021-08-17,63.5
2021-08-18,64.68000030517578
2021-08-19,63.459999084472656
2021-08-20,64.76000213623047
2021-08-23,67.70999908447266
2021-08-24,68.52999877929688
2021-08-25,72.70999908447266
2021-08-26,69.9800033569336
2021-08-27,67.9000015258789
2021-08-30,99.58999633789062
2021-08-31,96.33999633789062
2021-09-01,96.4800033569336
2021-09-02,98.98999786376953
2021-09-03,93.05000305175781
2021-09-07,91.51000213623047
2021-09-08,87.54000091552734
2021-09-09,92.05999755859375
2021-09-10,123.69999694824219
2021-09-13,109.30000305175781
2021-09-14,108.05999755859375
2021-09-15,109.75
2021-09-16,117.58000183105469
2021-09-17,116.27999877929688
2021-09-20,107.69999694824219
2021-09-21,108.11000061035156
2021-09-22,114.06999969482422
2021-09-23,126.88999938964844
2021-09-24,123.7300033569336
2021-09-27,128.3699951171875
2021-09-28,114.5199966430664
2021-09-29,112.7699966430664
2021-09-30,119.12999725341797
2021-10-01,117.8499984741211
2021-10-04,107.93000030517578
2021-10-05,111.45999908447266
2021-10-06,133.6999969482422
2021-10-07,133.89999389648438
2021-10-08,141.19000244140625
2021-10-11,135.02999877929688
2021-10-12,140.6699981689453
2021-10-13,146.1300048828125
2021-10-14,148.47000122070312
