Date,CUZ
2010-01-04,12.987707138061523
2010-01-05,13.63709545135498
2010-01-06,13.910517692565918
2010-01-07,14.201034545898438
2010-01-08,13.92760944366455
2010-01-11,14.098496437072754
2010-01-12,13.859253883361816
2010-01-13,14.235213279724121
2010-01-14,14.18394660949707
2010-01-15,14.14976978302002
2010-01-19,14.354835510253906
2010-01-20,14.14976978302002
2010-01-21,13.961784362792969
2010-01-22,13.278225898742676
2010-01-25,13.483290672302246
2010-01-26,13.432026863098145
2010-01-27,13.671270370483398
2010-01-28,13.345362663269043
2010-01-29,13.13951301574707
2010-02-01,13.053750991821289
2010-02-02,13.03659439086914
2010-02-03,12.847909927368164
2010-02-04,12.247538566589355
2010-02-05,12.144619941711426
2010-02-08,12.007393836975098
2010-02-09,11.647171020507812
2010-02-10,11.818705558776855
2010-02-11,11.938777923583984
2010-02-12,12.041694641113281
2010-02-16,12.247538566589355
2010-02-17,12.264694213867188
2010-02-18,12.264694213867188
2010-02-19,12.264694213867188
2010-02-22,12.401918411254883
2010-02-23,12.333304405212402
2010-02-24,12.419071197509766
2010-02-25,12.350460052490234
2010-02-26,12.333304405212402
2010-03-01,12.556297302246094
2010-03-02,12.504847526550293
2010-03-03,12.436227798461914
2010-03-04,12.367613792419434
2010-03-05,12.762137413024902
2010-03-08,13.03659439086914
2010-03-09,13.242441177368164
2010-03-10,13.448275566101074
2010-03-11,13.688427925109863
2010-03-12,13.722732543945312
2010-03-15,13.55119514465332
2010-03-16,13.465435028076172
2010-03-17,13.894265174865723
2010-03-18,13.877117156982422
2010-03-19,13.722732543945312
2010-03-22,13.842806816101074
2010-03-23,14.25448989868164
2010-03-24,14.47748851776123
2010-03-25,14.61470890045166
2010-03-26,14.563253402709961
2010-03-29,14.426021575927734
2010-03-30,14.374563217163086
2010-03-31,14.25448989868164
2010-04-01,14.100110054016113
2010-04-05,14.323101043701172
2010-04-06,14.528942108154297
2010-04-07,14.288797378540039
2010-04-08,14.203027725219727
2010-04-09,14.374563217163086
2010-04-12,14.357414245605469
2010-04-13,14.63186264038086
2010-04-14,14.666167259216309
2010-04-15,14.374563217163086
2010-04-16,14.014338493347168
2010-04-19,13.739885330200195
2010-04-20,14.100110054016113
2010-04-21,14.40886402130127
2010-04-22,14.546097755432129
2010-04-23,14.597556114196777
2010-04-26,14.528942108154297
2010-04-27,13.980033874511719
2010-04-28,13.877117156982422
2010-04-29,14.065802574157715
2010-04-30,13.825652122497559
2010-05-03,14.134411811828613
2010-05-04,13.774189949035645
2010-05-05,13.722732543945312
2010-05-06,13.105207443237305
2010-05-07,12.967985153198242
2010-05-10,13.55119514465332
2010-05-11,14.220184326171875
2010-05-12,14.443178176879883
2010-05-13,14.580403327941895
2010-05-14,14.203027725219727
2010-05-17,14.134411811828613
2010-05-18,14.0486478805542
2010-05-19,13.396820068359375
2010-05-20,12.676379203796387
2010-05-21,12.779289245605469
2010-05-24,12.607762336730957
2010-05-25,12.453385353088379
2010-05-26,12.710677146911621
2010-05-27,13.311053276062012
2010-05-28,13.2252836227417
2010-06-01,12.882218360900879
