Date,H
2010-01-04,29.03061866760254
2010-01-05,29.06937599182129
2010-01-06,28.79806900024414
2010-01-07,28.962787628173828
2010-01-08,28.788373947143555
2010-01-11,28.885271072387695
2010-01-12,28.90465545654297
2010-01-13,29.776735305786133
2010-01-14,30.706954956054688
2010-01-15,30.765092849731445
2010-01-19,30.73602294921875
2010-01-20,30.32904815673828
2010-01-21,29.553863525390625
2010-01-22,28.6527156829834
2010-01-25,29.117826461791992
2010-01-26,28.94341468811035
2010-01-27,28.565507888793945
2010-01-28,28.894956588745117
2010-01-29,28.70116424560547
2010-02-01,28.92403221130371
2010-02-02,28.92403221130371
2010-02-03,28.584888458251953
2010-02-04,28.139158248901367
2010-02-05,27.74187660217285
2010-02-08,28.032569885253906
2010-02-09,28.100400924682617
2010-02-10,28.31357192993164
2010-02-11,28.323265075683594
2010-02-12,28.429851531982422
2010-02-16,28.768991470336914
2010-02-17,29.311620712280273
2010-02-18,29.06937599182129
2010-02-19,29.040307998657227
2010-02-22,29.97052574157715
2010-02-23,29.95115089416504
2010-02-24,30.183704376220703
2010-02-25,31.4918270111084
2010-02-26,32.392974853515625
2010-03-01,32.383277893066406
2010-03-02,32.092594146728516
2010-03-03,32.36389923095703
2010-03-04,32.70304870605469
2010-03-05,32.96467590332031
2010-03-08,33.594512939453125
2010-03-09,32.896846771240234
2010-03-10,32.75150680541992
2010-03-11,32.538326263427734
2010-03-12,32.99374008178711
2010-03-15,33.410404205322266
2010-03-16,34.989837646484375
2010-03-17,34.195274353027344
2010-03-18,34.59255599975586
2010-03-19,36.28826904296875
2010-03-22,36.73400115966797
2010-03-23,37.31539535522461
2010-03-24,37.16035461425781
2010-03-25,37.66422653198242
2010-03-26,38.22623062133789
2010-03-29,38.30375289916992
2010-03-30,38.02274703979492
2010-03-31,37.75143051147461
2010-04-01,37.58671188354492
2010-04-05,37.935543060302734
2010-04-06,37.78050994873047
2010-04-07,37.02469253540039
2010-04-08,38.061492919921875
2010-04-09,38.264984130859375
2010-04-12,37.74173355102539
2010-04-13,38.49755096435547
2010-04-14,39.350250244140625
2010-04-15,38.69133758544922
2010-04-16,37.935543060302734
2010-04-19,37.266944885253906
