Date,PR
2016-04-15,8.911416053771973
2016-04-18,8.911416053771973
2016-04-19,8.911416053771973
2016-04-20,8.911416053771973
2016-04-21,8.911416053771973
2016-04-22,8.911416053771973
2016-04-25,8.911416053771973
2016-04-26,8.911416053771973
2016-04-27,8.911416053771973
2016-04-28,8.911416053771973
2016-04-29,8.911416053771973
2016-05-02,9.000529289245605
2016-05-03,9.000529289245605
2016-05-04,9.000529289245605
2016-05-05,8.911416053771973
2016-05-06,8.911416053771973
2016-05-09,8.911416053771973
2016-05-10,8.911416053771973
2016-05-11,8.911416053771973
2016-05-12,9.000529289245605
2016-05-13,9.000529289245605
2016-05-16,8.948843955993652
2016-05-17,8.850815773010254
2016-05-18,8.84903621673584
2016-05-19,8.911416053771973
2016-05-20,8.982707023620605
2016-05-23,8.929238319396973
2016-05-24,8.955971717834473
2016-05-25,8.955971717834473
2016-05-26,8.911416053771973
2016-05-27,8.911416053771973
2016-05-31,8.947061538696289
2016-06-01,8.859728813171387
2016-06-02,8.955971717834473
2016-06-03,8.982707023620605
2016-06-06,8.982707023620605
2016-06-07,8.964883804321289
2016-06-08,8.955971717834473
2016-06-09,8.955971717834473
2016-06-10,8.920327186584473
2016-06-13,8.920327186584473
2016-06-14,8.902506828308105
2016-06-15,8.902506828308105
2016-06-16,9.437189102172852
2016-06-17,9.437189102172852
2016-06-20,8.822300910949707
2016-06-21,8.742098808288574
2016-06-22,8.857945442199707
2016-06-23,8.857945442199707
2016-06-24,8.857945442199707
2016-06-27,8.733187675476074
2016-06-28,8.733187675476074
2016-06-29,8.733187675476074
2016-06-30,8.733187675476074
2016-07-01,8.644073486328125
2016-07-05,8.751008987426758
2016-07-06,8.733187675476074
2016-07-07,8.733187675476074
2016-07-08,8.733187675476074
2016-07-11,8.777743339538574
2016-07-12,8.733187675476074
2016-07-13,8.822300910949707
2016-07-14,8.822300910949707
2016-07-15,8.777743339538574
2016-07-18,8.777743339538574
2016-07-19,9.045084953308105
2016-07-20,9.089641571044922
2016-07-21,9.089641571044922
2016-07-22,9.428278923034668
2016-07-25,9.526302337646484
2016-07-26,9.579771995544434
2016-07-27,9.936227798461914
2016-07-28,9.94959545135498
2016-07-29,10.016430854797363
2016-08-01,10.060988426208496
2016-08-02,10.060988426208496
2016-08-03,10.016430854797363
2016-08-04,10.176836013793945
2016-08-05,10.167922973632812
2016-08-08,10.167922973632812
2016-08-09,10.328330039978027
2016-08-10,10.907572746276855
2016-08-11,10.871926307678223
2016-08-12,11.005598068237305
2016-08-15,10.871926307678223
2016-08-16,10.818458557128906
2016-08-17,10.595672607421875
2016-08-18,10.871926307678223
2016-08-19,10.720433235168457
2016-08-22,10.729344367980957
2016-08-23,10.675874710083008
2016-08-24,10.916482925415039
2016-08-25,10.871926307678223
2016-08-26,10.827369689941406
2016-08-29,10.978863716125488
2016-08-30,11.206103324890137
2016-08-31,11.17491340637207
2016-09-01,11.540283203125
2016-09-02,11.415522575378418
2016-09-06,11.584839820861816
2016-09-07,12.030411720275879
2016-09-08,12.992843627929688
2016-09-09,13.03740119934082
2016-09-12,12.377955436706543
2016-09-13,12.475981712341309
2016-09-14,12.502717018127441
2016-09-15,12.511627197265625
2016-09-16,12.467069625854492
2016-09-19,12.520538330078125
2016-09-20,12.582917213439941
2016-09-21,12.618563652038574
2016-09-22,12.770057678222656
2016-09-23,12.796792030334473
2016-09-26,12.868083000183105
2016-09-27,12.859171867370605
2016-09-28,12.983932495117188
2016-09-29,13.224538803100586
2016-09-30,14.035477638244629
2016-10-03,14.151328086853027
2016-10-04,14.383023262023926
2016-10-05,14.659279823303223
2016-10-06,14.427581787109375
2016-10-07,14.365201950073242
