Date,AYI
2010-01-04,33.388248443603516
2010-01-05,33.66626739501953
2010-01-06,34.14814758300781
2010-01-07,35.213809967041016
2010-01-08,35.34355545043945
2010-01-11,35.454750061035156
2010-01-12,35.67714309692383
2010-01-13,36.066368103027344
2010-01-14,35.973392486572266
2010-01-15,35.32253646850586
2010-01-19,35.675838470458984
2010-01-20,35.30394744873047
2010-01-21,34.857635498046875
2010-01-22,34.253273010253906
2010-01-25,34.24398422241211
2010-01-26,33.90925216674805
2010-01-27,33.946441650390625
2010-01-28,33.52805709838867
2010-01-29,33.267704010009766
2010-02-01,33.93714904785156
2010-02-02,34.29976272583008
2010-02-03,34.35555648803711
2010-02-04,32.92368698120117
2010-02-05,33.16543197631836
2010-02-08,32.774925231933594
2010-02-09,33.286293029785156
2010-02-10,33.35139083862305
2010-02-11,33.81627655029297
2010-02-12,34.141719818115234
2010-02-16,34.33695602416992
2010-02-17,34.839054107666016
2010-02-18,35.69443130493164
2010-02-19,36.2616081237793
2010-02-22,36.196533203125
2010-02-23,35.740928649902344
2010-02-24,36.10354232788086
2010-02-25,36.52195739746094
2010-02-26,36.24302291870117
2010-03-01,36.70792007446289
2010-03-02,37.56332015991211
2010-03-03,37.981719970703125
2010-03-04,37.76786804199219
2010-03-05,38.16767501831055
2010-03-08,38.00031280517578
2010-03-09,38.632572174072266
2010-03-10,38.623287200927734
2010-03-11,38.81852340698242
2010-03-12,38.98588562011719
2010-03-15,38.73483657836914
2010-03-16,39.143959045410156
2010-03-17,39.39499282836914
2010-03-18,39.116050720214844
2010-03-19,38.52098846435547
2010-03-22,38.892913818359375
2010-03-23,39.50657272338867
2010-03-24,38.66975402832031
2010-03-25,38.23273849487305
2010-03-26,38.64186477661133
2010-03-29,39.05096435546875
2010-03-30,39.274105072021484
2010-03-31,39.2462158203125
2010-04-01,41.747352600097656
2010-04-05,43.69059371948242
2010-04-06,43.47676086425781
2010-04-07,42.602752685546875
2010-04-08,42.175048828125
2010-04-09,42.0169792175293
2010-04-12,42.16576385498047
2010-04-13,42.10995864868164
2010-04-14,42.39818572998047
2010-04-15,42.174407958984375
2010-04-16,41.941307067871094
2010-04-19,42.35157012939453
