Date,PATK
2010-01-04,0.78647780418396
2010-01-05,0.8075915575027466
2010-01-06,0.7838385701179504
2010-01-07,0.7521678805351257
2010-01-08,0.6809099316596985
2010-01-11,0.7125804424285889
2010-01-12,0.7125804424285889
2010-01-13,0.7310550212860107
2010-01-14,0.7310550212860107
2010-01-15,0.7152198553085327
2010-01-19,0.6967452764511108
2010-01-20,0.688827633857727
2010-01-21,0.6597970128059387
2010-01-22,0.688827633857727
2010-01-25,0.6809099316596985
2010-01-26,0.7178588509559631
2010-01-27,0.7178588509559631
2010-01-28,0.7020238041877747
2010-01-29,0.6782706379890442
2010-02-01,0.6835491061210632
2010-02-02,0.6993845105171204
2010-02-03,0.7574462294578552
2010-02-04,0.7099413275718689
2010-02-05,0.686188280582428
2010-02-08,0.6703539490699768
2010-02-09,0.6993845105171204
2010-02-10,0.6993845105171204
2010-02-11,0.7125804424285889
2010-02-12,0.7125804424285889
2010-02-16,0.7020238041877747
2010-02-17,0.6729931831359863
2010-02-18,0.6729931831359863
2010-02-19,0.6439616084098816
2010-02-22,0.6650753617286682
2010-02-23,0.6439616084098816
2010-02-24,0.6835491061210632
2010-02-25,0.6941060423851013
2010-02-26,0.6993845105171204
2010-03-01,0.6545186638832092
2010-03-02,0.6809099316596985
2010-03-03,0.686188280582428
2010-03-04,0.686188280582428
2010-03-05,0.725776731967926
2010-03-08,0.6941060423851013
2010-03-09,0.6993845105171204
2010-03-10,0.7521678805351257
2010-03-11,0.8313436508178711
2010-03-12,0.7416120171546936
2010-03-15,0.7521678805351257
2010-03-16,0.7785601615905762
2010-03-17,0.7732818126678467
2010-03-18,0.7891169190406799
2010-03-19,0.7389727830886841
2010-03-22,0.7996739745140076
2010-03-23,0.7785601615905762
2010-03-24,0.7917562127113342
2010-03-25,0.8181484341621399
2010-03-26,0.8049523830413818
2010-03-29,0.7732818126678467
2010-03-30,0.7468905448913574
2010-03-31,0.7653639316558838
2010-04-01,0.7785601615905762
2010-04-05,0.7785601615905762
2010-04-06,0.8075915575027466
2010-04-07,0.7600855827331543
2010-04-08,0.7548072934150696
2010-04-09,0.7548072934150696
2010-04-12,0.7759208679199219
2010-04-13,0.7917562127113342
2010-04-14,0.7917562127113342
2010-04-15,0.8049523830413818
2010-04-16,0.8313436508178711
2010-04-19,0.8155090808868408
2010-04-20,0.8155090808868408
2010-04-21,0.8603750467300415
2010-04-22,0.9078801274299622
2010-04-23,0.9237155914306641
2010-04-26,0.9527471661567688
2010-04-27,0.915798008441925
2010-04-28,0.8946840763092041
2010-04-29,0.8471789956092834
2010-04-30,0.8603750467300415
2010-05-03,0.8023130297660828
2010-05-04,0.7838385701179504
2010-05-05,0.7811993956565857
2010-05-06,0.8155090808868408
2010-05-07,0.7680034041404724
2010-05-10,0.749528706073761
2010-05-11,0.7574462294578552
2010-05-12,0.7917562127113342
2010-05-13,0.8049523830413818
2010-05-14,0.7653639316558838
2010-05-17,0.8181484341621399
2010-05-18,0.8181484341621399
2010-05-19,0.8023130297660828
2010-05-20,0.725776731967926
2010-05-21,0.6729931831359863
2010-05-24,0.7204980850219727
2010-05-25,0.6703539490699768
2010-05-26,0.6677147150039673
2010-05-27,0.6597970128059387
2010-05-28,0.6597970128059387
2010-06-01,0.7521678805351257
2010-06-02,0.7336941957473755
2010-06-03,0.7548072934150696
2010-06-04,0.6993845105171204
2010-06-07,0.7099413275718689
2010-06-08,0.6386831998825073
2010-06-09,0.6597970128059387
2010-06-10,0.6334047913551331
2010-06-11,0.614930272102356
2010-06-14,0.6228480339050293
2010-06-15,0.6070124506950378
2010-06-16,0.5938175320625305
2010-06-17,0.6597970128059387
2010-06-18,0.6597970128059387
2010-06-21,0.6729931831359863
2010-06-22,0.6650753617286682
2010-06-23,0.6597970128059387
2010-06-24,0.6571578979492188
2010-06-25,0.6122912168502808
2010-06-28,0.5806213021278381
2010-06-29,0.5278377532958984
2010-06-30,0.4882495403289795
2010-07-01,0.5225592255592346
2010-07-02,0.5146417617797852
2010-07-06,0.4882495403289795
2010-07-07,0.49880632758140564
2010-07-08,0.5014455914497375
2010-07-09,0.5014455914497375
2010-07-12,0.5146417617797852
2010-07-13,0.49616703391075134
2010-07-14,0.5251985192298889
2010-07-15,0.5014455914497375
2010-07-16,0.4882495403289795
2010-07-19,0.5014455914497375
2010-07-20,0.49088871479034424
2010-07-21,0.49616703391075134
2010-07-22,0.49880632758140564
2010-07-23,0.4882495403289795
2010-07-26,0.4882495403289795
2010-07-27,0.5225592255592346
2010-07-28,0.5120024681091309
2010-07-29,0.5120024681091309
2010-07-30,0.5278377532958984
2010-08-02,0.7020238041877747
2010-08-03,0.7152198553085327
2010-08-04,0.6756322979927063
2010-08-05,0.6782706379890442
2010-08-06,0.7020238041877747
2010-08-09,0.6782706379890442
2010-08-10,0.6307656168937683
2010-08-11,0.5674251914024353
2010-08-12,0.5806213021278381
2010-08-13,0.5595075488090515
2010-08-16,0.5568684339523315
2010-08-17,0.5489506721496582
2010-08-18,0.6228480339050293
2010-08-19,0.5331161618232727
2010-08-20,0.564785897731781
2010-08-23,0.5542291402816772
2010-08-24,0.5278377532958984
2010-08-25,0.5542291402816772
2010-08-26,0.5542291402816772
2010-08-27,0.5542291402816772
2010-08-30,0.5225592255592346
2010-08-31,0.5542291402816772
2010-09-01,0.564785897731781
2010-09-02,0.5674251914024353
2010-09-03,0.5410329103469849
2010-09-07,0.5225592255592346
2010-09-08,0.5251985192298889
2010-09-09,0.5410329103469849
2010-09-10,0.5568684339523315
2010-09-13,0.6466008424758911
