Date,AMC
2013-12-18,135.93409729003906
2013-12-19,140.1775665283203
2013-12-20,141.54409790039062
2013-12-23,141.97561645507812
2013-12-24,140.4652557373047
2013-12-26,142.26329040527344
2013-12-27,144.85252380371094
2013-12-30,143.70176696777344
2013-12-31,147.80137634277344
2014-01-02,145.14028930664062
2014-01-03,143.98947143554688
2014-01-06,143.9175262451172
2014-01-07,144.20523071289062
2014-01-08,143.55792236328125
2014-01-09,144.0614013671875
2014-01-10,144.13327026367188
2014-01-13,143.70176696777344
2014-01-14,144.70870971679688
2014-01-15,143.77366638183594
2014-01-16,146.0032958984375
2014-01-17,145.57176208496094
2014-01-21,149.95904541015625
2014-01-22,152.9078826904297
2014-01-23,152.97982788085938
2014-01-24,153.6990509033203
2014-01-27,153.55520629882812
2014-01-28,157.58290100097656
2014-01-29,155.64096069335938
2014-01-30,154.849853515625
2014-01-31,153.6990509033203
2014-02-03,151.3975067138672
2014-02-04,151.18174743652344
2014-02-05,151.3256072998047
2014-02-06,152.1886444091797
2014-02-07,153.3394317626953
2014-02-10,153.6990509033203
2014-02-11,156.57595825195312
2014-02-12,158.5178680419922
2014-02-13,158.94940185546875
2014-02-14,158.23019409179688
2014-02-18,158.15823364257812
2014-02-19,157.72671508789062
2014-02-20,157.87057495117188
2014-02-21,160.45977783203125
2014-02-24,161.03517150878906
2014-02-25,161.6105499267578
2014-02-26,161.9701385498047
2014-02-27,163.55247497558594
2014-02-28,164.6313018798828
2014-03-03,165.06283569335938
2014-03-04,172.4709014892578
2014-03-05,177.36163330078125
2014-03-06,181.3893280029297
2014-03-07,183.1873779296875
2014-03-10,178.4405059814453
2014-03-11,172.4709014892578
2014-03-12,167.5082244873047
2014-03-13,171.6797637939453
2014-03-14,173.40586853027344
2014-03-17,180.23858642578125
2014-03-18,175.49168395996094
2014-03-19,169.59396362304688
2014-03-20,169.09051513671875
2014-03-21,165.85400390625
2014-03-24,166.71707153320312
2014-03-25,172.6866912841797
2014-03-26,171.60784912109375
2014-03-27,168.44322204589844
2014-03-28,171.89553833007812
2014-03-31,174.41278076171875
2014-04-01,177.79318237304688
2014-04-02,178.36854553222656
2014-04-03,168.87478637695312
2014-04-04,165.56631469726562
2014-04-07,165.56631469726562
2014-04-08,172.39898681640625
2014-04-09,170.0255126953125
2014-04-10,164.55938720703125
2014-04-11,169.7378387451172
2014-04-14,169.66590881347656
2014-04-15,161.1790008544922
2014-04-16,161.89825439453125
2014-04-17,160.3878631591797
2014-04-21,168.2274627685547
2014-04-22,163.912109375
2014-04-23,164.48745727539062
2014-04-24,168.155517578125
2014-04-25,158.87753295898438
2014-04-28,162.4736328125
2014-04-29,161.6824493408203
2014-04-30,166.4293670654297
2014-05-01,172.6147003173828
2014-05-02,170.7447052001953
2014-05-05,164.6313018798828
2014-05-06,159.6686248779297
2014-05-07,158.37399291992188
2014-05-08,153.2675018310547
2014-05-09,152.04481506347656
2014-05-12,155.4251708984375
2014-05-13,155.7847900390625
2014-05-14,154.13059997558594
