Date,PGC
2010-01-04,11.545296669006348
2010-01-05,11.18423843383789
2010-01-06,10.934934616088867
2010-01-07,10.857565879821777
2010-01-08,11.57108211517334
2010-01-11,11.09826946258545
2010-01-12,10.62545394897461
2010-01-13,10.763001441955566
2010-01-14,10.53948974609375
2010-01-15,10.272992134094238
2010-01-19,10.272992134094238
2010-01-20,9.937725067138672
2010-01-21,9.49929428100586
2010-01-22,9.129636764526367
2010-01-25,9.473504066467285
2010-01-26,9.138233184814453
2010-01-27,9.1812162399292
2010-01-28,9.284374237060547
2010-01-29,9.112444877624512
2010-02-01,9.310164451599121
2010-02-02,9.551987648010254
2010-02-03,9.500173568725586
2010-02-04,9.197894096374512
2010-02-05,9.51744556427002
2010-02-08,9.43107795715332
2010-02-09,9.906087875366211
2010-02-10,10.329278945922852
2010-02-11,10.640191078186035
2010-02-12,10.545187950134277
2010-02-16,11.132474899291992
2010-02-17,11.365655899047852
2010-02-18,11.512479782104492
2010-02-19,11.32247543334961
2010-02-22,11.426112174987793
2010-02-23,11.452024459838867
2010-02-24,11.443389892578125
2010-02-25,11.25338363647461
2010-02-26,10.890653610229492
2010-03-01,11.728395462036133
2010-03-02,11.918397903442383
2010-03-03,12.030670166015625
2010-03-04,11.927030563354492
2010-03-05,12.471129417419434
2010-03-08,12.056581497192383
2010-03-09,11.8493070602417
2010-03-10,12.289764404296875
2010-03-11,12.0047607421875
2010-03-12,11.693848609924316
2010-03-15,12.125669479370117
2010-03-16,12.782050132751465
2010-03-17,11.970213890075684
2010-03-18,11.918397903442383
2010-03-19,11.978853225708008
2010-03-22,12.402040481567383
2010-03-23,12.445221900939941
2010-03-24,12.522951126098633
2010-03-25,12.117035865783691
2010-03-26,11.521114349365234
2010-03-29,11.918397903442383
2010-03-30,13.196599006652832
2010-03-31,13.567975044250488
2010-04-01,13.395241737365723
2010-04-05,13.377967834472656
2010-04-06,13.23978328704834
2010-04-07,13.17069149017334
2010-04-08,12.419312477111816
2010-04-09,11.823396682739258
2010-04-12,11.685213088989258
2010-04-13,12.091127395629883
2010-04-14,12.091127395629883
2010-04-15,12.091127395629883
2010-04-16,12.15158462524414
2010-04-19,12.065217971801758
2010-04-20,12.168851852416992
2010-04-21,12.255220413208008
2010-04-22,12.142943382263184
2010-04-23,12.203400611877441
2010-04-26,12.39340591430664
2010-04-27,12.272067070007324
2010-04-28,12.090067863464355
2010-04-29,12.558072090148926
2010-04-30,12.046733856201172
2010-05-03,12.306737899780273
2010-05-04,12.12473201751709
2010-05-05,11.91673755645752
2010-05-06,11.145395278930664
2010-05-07,10.790061950683594
2010-05-10,11.743399620056152
2010-05-11,12.081402778625488
2010-05-12,12.39340591430664
2010-05-13,12.33273696899414
2010-05-14,11.700061798095703
2010-05-17,12.246068000793457
2010-05-18,12.038068771362305
2010-05-19,11.968732833862305
2010-05-20,11.275397300720215
2010-05-21,11.570063591003418
2010-05-24,11.318731307983398
2010-05-25,11.162728309631348
2010-05-26,11.310068130493164
2010-05-27,11.414063453674316
2010-05-28,11.52673053741455
2010-06-01,11.47473430633545
2010-06-02,12.514737129211426
2010-06-03,12.844074249267578
2010-06-04,11.11072826385498
2010-06-07,11.050063133239746
2010-06-08,11.162728309631348
2010-06-09,10.885397911071777
2010-06-10,11.38806438446045
2010-06-11,11.431398391723633
2010-06-14,11.26673412322998
2010-06-15,11.873403549194336
2010-06-16,11.778067588806152
2010-06-17,11.700061798095703
2010-06-18,11.968732833862305
2010-06-21,11.552735328674316
2010-06-22,11.180063247680664
2010-06-23,11.145395278930664
2010-06-24,11.57873249053955
2010-06-25,10.504055976867676
2010-06-28,10.504055976867676
2010-06-29,10.166056632995605
2010-06-30,10.140060424804688
2010-07-01,10.200724601745605
2010-07-02,10.192059516906738
2010-07-06,10.209393501281738
2010-07-07,10.460722923278809
2010-07-08,10.946062088012695
2010-07-09,10.972060203552246
2010-07-12,10.911396980285645
2010-07-13,11.353399276733398
2010-07-14,10.972060203552246
2010-07-15,11.024063110351562
2010-07-16,10.400060653686523
2010-07-19,10.512725830078125
2010-07-20,10.764063835144043
2010-07-21,10.42605972290039
2010-07-22,11.33606243133545
2010-07-23,11.26673412322998
2010-07-26,11.370734214782715
2010-07-27,11.379427909851074
2010-07-28,11.109737396240234
2010-07-29,11.440328598022461
2010-07-30,11.005338668823242
2010-08-02,11.370732307434082
2010-08-03,10.848740577697754
2010-08-04,10.996635437011719
2010-08-05,10.596439361572266
2010-08-06,10.483345985412598
2010-08-09,10.927042007446289
2010-08-10,10.465946197509766
2010-08-11,9.804753303527832
2010-08-12,9.70035457611084
2010-08-13,9.491558074951172
2010-08-16,10.33544635772705
2010-08-17,10.300650596618652
2010-08-18,10.039652824401855
2010-08-19,9.665555000305176
2010-08-20,9.804753303527832
2010-08-23,9.491558074951172
2010-08-24,9.500260353088379
2010-08-25,10.004852294921875
2010-08-26,9.500260353088379
2010-08-27,9.735157012939453
2010-08-30,9.421956062316895
2010-08-31,9.352360725402832
2010-09-01,9.682951927185059
2010-09-02,9.639458656311035
2010-09-03,10.004852294921875
2010-09-07,9.78735637664795
2010-09-08,9.865653991699219
2010-09-09,9.752557754516602
2010-09-10,9.72645378112793
2010-09-13,9.926552772521973
2010-09-14,9.970050811767578
2010-09-15,9.691656112670898
2010-09-16,9.682951927185059
2010-09-17,9.613356590270996
2010-09-20,10.013551712036133
2010-09-21,10.309349060058594
2010-09-22,9.926552772521973
2010-09-23,9.848248481750488
2010-09-24,10.074450492858887
2010-09-27,9.735157012939453
2010-09-28,9.970050811767578
