Date,SNA
2010-01-04,30.2406063079834
2010-01-05,30.226499557495117
2010-01-06,30.395845413208008
2010-01-07,30.903844833374023
2010-01-08,31.545917510986328
2010-01-11,31.679967880249023
2010-01-12,31.016738891601562
2010-01-13,31.214296340942383
2010-01-14,31.115516662597656
2010-01-15,30.62162971496582
2010-01-19,31.05200958251953
2010-01-20,30.685129165649414
2010-01-21,30.61456871032715
2010-01-22,30.487565994262695
2010-01-25,30.388792037963867
2010-01-26,30.106542587280273
2010-01-27,29.774946212768555
2010-01-28,29.11170196533203
2010-01-29,28.843591690063477
2010-02-01,29.415103912353516
2010-02-02,30.332338333129883
2010-02-03,30.289995193481445
2010-02-04,28.50491714477539
2010-02-05,28.44141960144043
2010-02-08,28.30735969543457
2010-02-09,28.935304641723633
2010-02-10,28.935304641723633
2010-02-11,29.23164939880371
2010-02-12,29.358652114868164
2010-02-16,29.810230255126953
2010-02-17,29.965436935424805
2010-02-18,30.03599739074707
2010-02-19,30.268836975097656
2010-02-22,30.247661590576172
2010-02-23,29.956350326538086
2010-02-24,30.034507751464844
2010-02-25,29.92792320251465
2010-02-26,29.998973846435547
2010-03-01,30.41820526123047
2010-03-02,30.56740951538086
2010-03-03,30.52478790283203
2010-03-04,30.602947235107422
2010-03-05,30.872949600219727
2010-03-08,30.67399787902832
2010-03-09,30.68109703063965
2010-03-10,31.015050888061523
2010-03-11,30.922677993774414
2010-03-12,30.77346420288086
2010-03-15,30.67399787902832
2010-03-16,30.77346420288086
2010-03-17,30.929790496826172
2010-03-18,31.078994750976562
2010-03-19,30.467937469482422
2010-03-22,30.574522018432617
2010-03-23,30.823204040527344
2010-03-24,30.50345802307129
2010-03-25,30.27608299255371
2010-03-26,30.41109275817871
2010-03-29,30.595827102661133
2010-03-30,30.972412109375
2010-03-31,30.794775009155273
2010-04-01,31.029260635375977
2010-04-05,31.56217384338379
2010-04-06,31.597698211669922
2010-04-07,31.661630630493164
2010-04-08,31.67586898803711
2010-04-09,31.903221130371094
2010-04-12,32.08796310424805
2010-04-13,32.18743896484375
2010-04-14,32.37929153442383
2010-04-15,32.279808044433594
2010-04-16,31.93165397644043
2010-04-19,31.83217430114746
2010-04-20,34.52510452270508
2010-04-21,34.404327392578125
2010-04-22,35.07223129272461
2010-04-23,34.97276306152344
2010-04-26,34.72406768798828
2010-04-27,34.063262939453125
2010-04-28,34.43274688720703
2010-04-29,35.20012283325195
2010-04-30,34.233795166015625
2010-05-03,34.64590835571289
2010-05-04,33.56588363647461
2010-05-05,32.905086517333984
2010-05-06,31.69007110595703
2010-05-07,30.90847396850586
2010-05-10,33.04719543457031
2010-05-11,33.06850814819336
2010-05-12,33.80036544799805
2010-05-13,33.18930435180664
2010-05-14,32.48586654663086
2010-05-17,32.62797164916992
2010-05-18,32.13447952270508
2010-05-19,31.633831024169922
2010-05-20,30.174789428710938
2010-05-21,30.768430709838867
2010-05-24,30.60392951965332
2010-05-25,30.761272430419922
2010-05-26,30.947233200073242
2010-05-27,31.884172439575195
2010-05-28,31.61236572265625
2010-06-01,30.62538719177246
2010-06-02,31.62668228149414
2010-06-03,31.669586181640625
2010-06-04,30.296382904052734
2010-06-07,29.237869262695312
2010-06-08,29.459583282470703
2010-06-09,29.545408248901367
2010-06-10,30.51093292236328
2010-06-11,30.761272430419922
2010-06-14,30.90431785583496
2010-06-15,31.533689498901367
2010-06-16,31.33344268798828
2010-06-17,31.290515899658203
2010-06-18,31.304841995239258
2010-06-21,31.254772186279297
2010-06-22,30.396501541137695
2010-06-23,30.46088981628418
2010-06-24,29.938777923583984
2010-06-25,30.139034271240234
2010-06-28,30.139034271240234
2010-06-29,29.531110763549805
2010-06-30,29.25933265686035
2010-07-01,29.402376174926758
2010-07-02,28.865962982177734
2010-07-06,29.01616668701172
2010-07-07,30.10328483581543
2010-07-08,30.367897033691406
2010-07-09,30.65398406982422
2010-07-12,30.525253295898438
2010-07-13,31.469331741333008
2010-07-14,31.33344268798828
2010-07-15,31.161788940429688
2010-07-16,29.724212646484375
2010-07-19,30.15334129333496
2010-07-20,30.84709930419922
2010-07-21,30.982988357543945
2010-07-22,31.8483943939209
2010-07-23,32.499229431152344
2010-07-26,32.49208450317383
2010-07-27,32.384803771972656
2010-07-28,31.912761688232422
2010-07-29,31.819787979125977
2010-07-30,31.948528289794922
2010-08-02,32.899749755859375
2010-08-03,32.44917297363281
2010-08-04,32.39910125732422
2010-08-05,31.948528289794922
2010-08-06,31.576618194580078
2010-08-09,31.56231689453125
2010-08-10,30.93293571472168
2010-08-11,29.945920944213867
2010-08-12,29.845808029174805
2010-08-13,29.881559371948242
2010-08-16,29.645544052124023
2010-08-17,30.18195343017578
2010-08-18,30.261171340942383
2010-08-19,29.540851593017578
2010-08-20,29.483232498168945
2010-08-23,29.238311767578125
2010-08-24,28.72687530517578
2010-08-25,28.971782684326172
2010-08-26,28.957380294799805
2010-08-27,29.692115783691406
2010-08-30,29.42560386657715
2010-08-31,29.699331283569336
2010-09-01,30.84464454650879
2010-09-02,31.233638763427734
2010-09-03,32.05482864379883
2010-09-07,31.658634185791016
2010-09-08,31.874732971191406
2010-09-09,31.925155639648438
2010-09-10,32.06201934814453
2010-09-13,32.659889221191406
2010-09-14,32.69591522216797
2010-09-15,32.782352447509766
2010-09-16,32.7175178527832
2010-09-17,32.818363189697266
2010-09-20,33.79800796508789
2010-09-21,33.488277435302734
2010-09-22,33.13530349731445
2010-09-23,32.595062255859375
2010-09-24,33.78360366821289
2010-09-27,33.272186279296875
2010-09-28,33.517093658447266
