Date,MGY
2017-06-29,9.175782203674316
2017-06-30,9.230836868286133
2017-07-03,9.230836868286133
2017-07-05,9.230836868286133
2017-07-06,9.230836868286133
2017-07-07,9.028969764709473
2017-07-10,9.028969764709473
2017-07-11,9.028969764709473
2017-07-12,9.028969764709473
2017-07-13,9.038146018981934
2017-07-14,9.038146018981934
2017-07-17,9.084022521972656
2017-07-18,9.084022521972656
2017-07-19,9.084022521972656
2017-07-20,9.084022521972656
2017-07-21,9.084022521972656
2017-07-24,9.084022521972656
2017-07-25,9.084022521972656
2017-07-26,9.084022521972656
2017-07-27,9.084022521972656
2017-07-28,9.084022521972656
2017-07-31,9.084022521972656
2017-08-01,9.084022521972656
2017-08-02,9.084022521972656
2017-08-03,9.084022521972656
2017-08-04,9.084022521972656
2017-08-07,9.065672874450684
2017-08-08,9.065672874450684
2017-08-09,9.065672874450684
2017-08-10,9.065672874450684
2017-08-11,9.065672874450684
2017-08-14,9.065672874450684
2017-08-15,8.900508880615234
2017-08-16,8.992266654968262
2017-08-17,8.992266654968262
2017-08-18,8.992266654968262
2017-08-21,8.992266654968262
2017-08-22,8.992266654968262
2017-08-23,8.992266654968262
2017-08-24,8.992266654968262
2017-08-25,8.992266654968262
2017-08-28,8.972079277038574
2017-08-29,8.972079277038574
2017-08-30,8.972079277038574
2017-08-31,9.024381637573242
2017-09-01,9.000524520874023
2017-09-05,9.038146018981934
2017-09-06,9.006028175354004
2017-09-07,9.038146018981934
2017-09-08,9.038146018981934
2017-09-11,9.038146018981934
2017-09-12,8.987679481506348
2017-09-13,8.992266654968262
2017-09-14,8.992266654968262
2017-09-15,8.992266654968262
2017-09-18,8.992266654968262
2017-09-19,9.019792556762695
2017-09-20,9.019792556762695
2017-09-21,9.002358436584473
2017-09-22,9.002358436584473
2017-09-25,9.002358436584473
2017-09-26,8.966571807861328
2017-09-27,8.966571807861328
2017-09-28,8.966571807861328
2017-09-29,8.966571807861328
2017-10-02,8.966571807861328
2017-10-03,8.900508880615234
2017-10-04,8.900508880615234
2017-10-05,9.019792556762695
