Date,GRND
2021-01-14,10.670000076293945
2021-01-15,10.550000190734863
2021-01-19,10.40999984741211
2021-01-20,10.529999732971191
2021-01-21,10.550000190734863
2021-01-22,10.489999771118164
2021-01-25,10.630000114440918
2021-01-26,11.039999961853027
2021-01-27,10.75
2021-01-28,10.720000267028809
2021-01-29,10.699999809265137
2021-02-01,10.6899995803833
2021-02-02,10.890000343322754
2021-02-03,11.010000228881836
2021-02-04,11.09000015258789
2021-02-05,11.100000381469727
2021-02-08,11.229999542236328
2021-02-09,11.0
2021-02-10,11.069999694824219
2021-02-11,11.050000190734863
2021-02-12,11.069999694824219
2021-02-16,11.050000190734863
2021-02-17,11.119999885559082
2021-02-18,11.100000381469727
2021-02-19,11.0
2021-02-22,10.970000267028809
2021-02-23,10.739999771118164
2021-02-24,10.770000457763672
2021-02-25,10.569999694824219
2021-02-26,10.520000457763672
2021-03-01,10.6899995803833
2021-03-02,10.449999809265137
2021-03-03,10.270000457763672
2021-03-04,10.09000015258789
2021-03-05,10.199999809265137
2021-03-08,10.149999618530273
2021-03-09,10.199999809265137
2021-03-10,10.15999984741211
2021-03-11,10.239999771118164
2021-03-12,10.1850004196167
2021-03-15,10.079999923706055
2021-03-16,10.119999885559082
2021-03-17,10.149999618530273
2021-03-18,10.10099983215332
2021-03-19,10.09000015258789
2021-03-22,10.109999656677246
2021-03-23,9.989999771118164
2021-03-24,10.010000228881836
2021-03-25,10.020000457763672
2021-03-26,10.029999732971191
2021-03-29,10.09000015258789
2021-03-30,10.010000228881836
2021-03-31,10.039999961853027
2021-04-01,10.050000190734863
2021-04-05,10.09000015258789
2021-04-06,10.09000015258789
2021-04-07,10.069999694824219
2021-04-08,10.100000381469727
2021-04-09,10.149999618530273
2021-04-12,10.149999618530273
2021-04-13,10.09000015258789
2021-04-14,10.100000381469727
2021-04-15,10.100000381469727
2021-04-16,10.100000381469727
2021-04-19,10.149999618530273
2021-04-20,10.09000015258789
2021-04-21,10.050000190734863
2021-04-22,10.0600004196167
2021-04-23,10.079999923706055
2021-04-26,10.079999923706055
2021-04-27,10.069999694824219
2021-04-28,10.069999694824219
2021-04-29,10.069999694824219
2021-04-30,10.100000381469727
2021-05-03,10.109999656677246
2021-05-04,10.109999656677246
2021-05-05,10.119999885559082
2021-05-06,10.119999885559082
2021-05-07,10.050000190734863
2021-05-10,10.010000228881836
2021-05-11,10.010000228881836
2021-05-12,10.010000228881836
2021-05-13,10.0
2021-05-14,9.979999542236328
2021-05-17,10.0
2021-05-18,10.010000228881836
2021-05-19,9.979999542236328
2021-05-20,9.960000038146973
2021-05-21,10.0
2021-05-24,9.970000267028809
2021-05-25,10.020000457763672
2021-05-26,10.029999732971191
2021-05-27,10.0
2021-05-28,10.020000457763672
2021-06-01,10.074999809265137
2021-06-02,10.100000381469727
2021-06-03,10.079999923706055
2021-06-04,10.069999694824219
2021-06-07,10.100000381469727
2021-06-08,10.100000381469727
2021-06-09,10.109999656677246
2021-06-10,10.100000381469727
2021-06-11,10.100000381469727
2021-06-14,10.09000015258789
2021-06-15,10.09000015258789
2021-06-16,10.0600004196167
2021-06-17,10.050000190734863
2021-06-18,10.039999961853027
2021-06-21,10.039999961853027
2021-06-22,10.109999656677246
2021-06-23,10.079999923706055
