Date,HSY
2010-01-04,24.954296112060547
2010-01-05,25.608800888061523
2010-01-06,25.388347625732422
2010-01-07,25.140308380126953
2010-01-08,25.06452178955078
2010-01-11,24.926740646362305
2010-01-12,26.00840950012207
2010-01-13,25.222986221313477
2010-01-14,25.464126586914062
2010-01-15,24.974960327148438
2010-01-19,25.732820510864258
2010-01-20,25.54680633544922
2010-01-21,24.93362808227539
2010-01-22,24.995628356933594
2010-01-25,25.112756729125977
2010-01-26,25.14720344543457
2010-01-27,25.69149398803711
2010-01-28,25.58125877380371
2010-01-29,25.098974227905273
2010-02-01,25.360776901245117
2010-02-02,25.629478454589844
2010-02-03,25.59503936767578
2010-02-04,25.42279815673828
2010-02-05,25.732820510864258
2010-02-08,25.45724105834961
2010-02-09,25.629478454589844
2010-02-10,25.643260955810547
2010-02-11,25.76727294921875
2010-02-12,25.905061721801758
2010-02-16,26.44245719909668
2010-02-17,26.449338912963867
2010-02-18,26.752492904663086
2010-02-19,27.537899017333984
2010-02-22,27.37945556640625
2010-02-23,27.268320083618164
2010-02-24,27.532251358032227
2010-02-25,27.594758987426758
2010-02-26,27.6155948638916
2010-03-01,27.719783782958984
2010-03-02,27.900360107421875
2010-03-03,28.310155868530273
2010-03-04,28.546310424804688
2010-03-05,28.789409637451172
2010-03-08,28.61575698852539
2010-03-09,28.87274932861328
2010-03-10,28.824127197265625
2010-03-11,28.94915771484375
2010-03-12,29.62286949157715
2010-03-15,29.852066040039062
2010-03-16,30.22713279724121
2010-03-17,29.970149993896484
2010-03-18,29.852066040039062
2010-03-19,29.47701644897461
2010-03-22,29.78261947631836
2010-03-23,29.970149993896484
2010-03-24,29.650653839111328
2010-03-25,29.615930557250977
2010-03-26,29.511734008789062
2010-03-29,29.77567481994629
2010-03-30,29.900693893432617
2010-03-31,29.73399543762207
2010-04-01,29.907644271850586
2010-04-05,30.032672882080078
2010-04-06,30.10907554626465
2010-04-07,30.09516716003418
2010-04-08,30.199350357055664
2010-04-09,30.64385986328125
2010-04-12,30.748056411743164
2010-04-13,30.511911392211914
2010-04-14,30.657758712768555
2010-04-15,30.74110984802246
2010-04-16,30.470233917236328
2010-04-19,30.77582550048828
2010-04-20,31.192575454711914
2010-04-21,31.14394760131836
2010-04-22,33.394309997558594
2010-04-23,33.838836669921875
2010-04-26,33.22761917114258
2010-04-27,32.69975662231445
2010-04-28,32.560848236083984
2010-04-29,32.79700469970703
2010-04-30,32.6511344909668
2010-05-03,33.03314208984375
2010-05-04,32.65808868408203
2010-05-05,32.65808868408203
2010-05-06,32.1788444519043
2010-05-07,32.24134063720703
2010-05-10,33.283180236816406
2010-05-11,33.25542068481445
2010-05-12,33.31096649169922
2010-05-13,33.03314208984375
2010-05-14,32.79700469970703
2010-05-17,33.37348175048828
2010-05-18,33.23456573486328
2010-05-19,33.192893981933594
2010-05-20,32.3872184753418
2010-05-21,32.56205368041992
2010-05-24,32.63897705078125
2010-05-25,32.2193603515625
2010-05-26,32.1004638671875
2010-05-27,33.07257843017578
2010-05-28,32.729888916015625
2010-06-01,33.569122314453125
2010-06-02,34.058658599853516
2010-06-03,34.555206298828125
2010-06-04,33.77193069458008
2010-06-07,34.0167121887207
2010-06-08,35.296531677246094
2010-06-09,35.7720947265625
2010-06-10,36.198707580566406
2010-06-11,35.50634002685547
2010-06-14,35.58326721191406
2010-06-15,35.002803802490234
2010-06-16,34.89090347290039
