Date,TIGO
2019-01-09,58.357398986816406
2019-01-10,59.37950134277344
2019-01-11,58.54893112182617
2019-01-14,61.42197036743164
2019-01-15,60.36851501464844
2019-01-16,60.85607147216797
2019-01-17,59.50661087036133
2019-01-18,60.281463623046875
2019-01-22,60.02898025512695
2019-01-23,56.14603042602539
2019-01-24,56.19827651977539
2019-01-25,55.45824432373047
2019-01-28,54.840110778808594
2019-01-29,54.83140182495117
2019-01-30,55.998023986816406
2019-01-31,54.90105056762695
2019-02-01,55.34506607055664
2019-02-04,54.761756896972656
2019-02-05,54.37868118286133
2019-02-06,53.717010498046875
2019-02-07,52.297908782958984
2019-02-08,52.99440383911133
2019-02-11,52.88992691040039
2019-02-12,52.82027816772461
2019-02-13,53.695247650146484
2019-02-14,52.56779861450195
2019-02-15,53.16156005859375
2019-02-19,52.87251663208008
2019-02-20,52.149906158447266
2019-02-21,55.23188781738281
2019-02-22,54.09137725830078
2019-02-25,52.419795989990234
2019-02-26,53.555946350097656
2019-02-27,53.07275390625
2019-02-28,52.67227554321289
2019-03-01,51.38811492919922
2019-03-04,51.36635208129883
2019-03-05,52.054141998291016
2019-03-06,52.71580505371094
2019-03-07,52.9334602355957
2019-03-08,51.84518814086914
2019-03-11,51.993194580078125
2019-03-12,52.48944854736328
2019-03-13,52.51556396484375
2019-03-14,53.27299880981445
2019-03-15,54.63986587524414
2019-03-18,54.979408264160156
2019-03-19,53.586421966552734
2019-03-20,54.11314392089844
2019-03-21,53.16852569580078
2019-03-22,52.87251663208008
2019-03-25,52.46332550048828
2019-03-26,53.19029235839844
2019-03-27,52.019309997558594
2019-03-28,52.149906158447266
2019-03-29,52.9595832824707
2019-04-01,53.72571563720703
2019-04-02,53.85630798339844
2019-04-03,53.69960021972656
2019-04-04,53.75880432128906
2019-04-05,52.72886276245117
2019-04-08,52.92475128173828
2019-04-09,52.280494689941406
2019-04-10,52.52688217163086
2019-04-11,53.159820556640625
2019-04-12,52.86294174194336
2019-04-15,53.97819900512695
2019-04-16,53.62907791137695
2019-04-17,54.37868118286133
2019-04-18,53.124996185302734
2019-04-22,53.82148742675781
2019-04-23,51.801658630371094
2019-04-24,51.06163787841797
2019-04-25,50.495731353759766
2019-04-26,50.64373779296875
2019-04-29,51.36635208129883
2019-04-30,51.4708251953125
2019-05-01,51.253170013427734
2019-05-02,51.37505340576172
2019-05-03,51.42848587036133
2019-05-06,50.93869400024414
2019-05-07,50.74277114868164
2019-05-08,50.65372085571289
2019-05-09,49.87004852294922
2019-05-10,51.31271743774414
2019-05-13,50.092681884765625
2019-05-14,51.43739700317383
2019-05-15,51.71345901489258
2019-05-16,51.989524841308594
2019-05-17,51.75798416137695
2019-05-20,51.44629669189453
2019-05-21,50.59138488769531
2019-05-22,51.508636474609375
2019-05-23,49.87895584106445
2019-05-24,49.959102630615234
2019-05-28,48.97951126098633
2019-05-29,48.54315185546875
2019-05-30,48.445194244384766
2019-05-31,50.04815673828125
2019-06-03,50.31531524658203
2019-06-04,46.30790328979492
2019-06-05,47.305301666259766
2019-06-06,47.064857482910156
2019-06-07,48.80585861206055
2019-06-10,48.0889778137207
2019-06-11,45.37283706665039
