Date,FISI
2010-01-04,6.4913129806518555
2010-01-05,6.243767261505127
2010-01-06,6.199759483337402
2010-01-07,6.210757732391357
2010-01-08,6.227262496948242
2010-01-11,6.122742176055908
2010-01-12,6.012718677520752
2010-01-13,6.150247573852539
2010-01-14,6.232763767242432
2010-01-15,6.320781707763672
2010-01-19,6.540825366973877
2010-01-20,6.507817268371582
2010-01-21,6.436305999755859
2010-01-22,6.276772975921631
2010-01-25,6.243767261505127
2010-01-26,6.44730806350708
2010-01-27,6.458310604095459
2010-01-28,6.903896808624268
2010-01-29,6.931404113769531
2010-02-01,6.953410625457764
2010-02-02,6.958909034729004
2010-02-03,6.958909034729004
2010-02-04,6.925904750823975
2010-02-05,7.068932056427002
2010-02-08,6.942408561706543
2010-02-09,6.821380615234375
2010-02-10,6.837884426116943
2010-02-11,6.958909034729004
2010-02-12,6.9809136390686035
2010-02-16,7.151447296142578
2010-02-17,7.206460952758789
2010-02-18,7.151447296142578
2010-02-19,6.832385063171387
2010-02-22,7.10744047164917
2010-02-23,7.096434593200684
2010-02-24,7.151447296142578
2010-02-25,7.173455238342285
2010-02-26,7.283473968505859
2010-03-01,7.459513187408447
2010-03-02,7.64655065536499
2010-03-03,7.762073516845703
2010-03-04,8.064634323120117
2010-03-05,8.05913257598877
2010-03-08,8.180157661437988
2010-03-09,8.196662902832031
2010-03-10,8.180157661437988
2010-03-11,8.218924522399902
2010-03-12,8.19123649597168
2010-03-15,7.958621025085449
2010-03-16,7.9863152503967285
2010-03-17,8.130311965942383
2010-03-18,8.158005714416504
2010-03-19,8.22446346282959
2010-03-22,8.307540893554688
2010-03-23,8.313081741333008
2010-03-24,8.241076469421387
2010-03-25,8.202315330505371
2010-03-26,8.385076522827148
2010-03-29,8.268767356872559
2010-03-30,8.257697105407715
2010-03-31,8.097084045410156
2010-04-01,8.097084045410156
2010-04-05,8.373998641967773
2010-04-06,8.462615013122559
2010-04-07,8.551228523254395
2010-04-08,8.667534828186035
2010-04-09,8.717377662658691
2010-04-12,8.678609848022461
2010-04-13,8.706300735473633
2010-04-14,8.961066246032715
2010-04-15,9.033061981201172
2010-04-16,8.700761795043945
2010-04-19,8.706300735473633
2010-04-20,8.927835464477539
2010-04-21,8.949990272521973
2010-04-22,9.060759544372559
2010-04-23,9.26567268371582
2010-04-26,9.093986511230469
2010-04-27,8.983220100402832
2010-04-28,8.9222993850708
2010-04-29,9.41521167755127
2010-04-30,8.905680656433105
2010-05-03,9.199214935302734
2010-05-04,8.994295120239258
2010-05-05,9.0275239944458
2010-05-06,8.972145080566406
2010-05-07,8.639841079711914
2010-05-10,9.249063491821289
2010-05-11,9.664438247680664
2010-05-12,10.24042797088623
2010-05-13,10.273656845092773
2010-05-14,9.874896049499512
2010-05-17,10.173966407775879
2010-05-18,9.775206565856934
2010-05-19,9.71982192993164
2010-05-20,9.409671783447266
2010-05-21,10.018890380859375
2010-05-24,9.963509559631348
2010-05-25,9.969046592712402
2010-05-26,9.980121612548828
2010-05-27,10.633654594421387
2010-05-28,10.567193984985352
2010-06-01,10.257047653198242
2010-06-02,10.772109031677246
2010-06-03,10.644729614257812
2010-06-04,9.874896049499512
2010-06-07,9.620133399963379
2010-06-08,9.58690071105957
2010-06-09,9.642285346984863
2010-06-10,9.909660339355469
2010-06-11,10.082344055175781
2010-06-14,9.993216514587402
2010-06-15,10.578104972839355
2010-06-16,10.527970314025879
2010-06-17,10.410996437072754
2010-06-18,10.433272361755371
2010-06-21,10.444416999816895
2010-06-22,10.17703914642334
2010-06-23,10.29401683807373
2010-06-24,10.110197067260742
2010-06-25,10.633807182312012
2010-06-28,10.561394691467285
2010-06-29,9.998787879943848
2010-06-30,9.892953872680664
2010-07-01,9.931944847106934
2010-07-02,9.753694534301758
2010-07-06,9.386048316955566
2010-07-07,9.965362548828125
2010-07-08,10.288445472717285
2010-07-09,10.56696605682373
2010-07-12,10.53354549407959
2010-07-13,10.990311622619629
2010-07-14,10.940171241760254
2010-07-15,10.784209251403809
2010-07-16,9.954227447509766
2010-07-19,9.89852237701416
2010-07-20,10.093490600585938
2010-07-21,9.614433288574219
2010-07-22,10.043350219726562
2010-07-23,10.483407974243164
2010-07-26,10.828770637512207
2010-07-27,10.728501319885254
2010-07-28,10.416559219360352
2010-07-29,10.583675384521484
2010-07-30,10.56696605682373
2010-08-02,10.700651168823242
2010-08-03,10.884472846984863
2010-08-04,10.851049423217773
2010-08-05,10.672800064086914
2010-08-06,10.39428424835205
2010-08-09,10.55582332611084
2010-08-10,10.054491996765137
2010-08-11,9.330345153808594
2010-08-12,9.101960182189941
2010-08-13,8.996124267578125
2010-08-16,9.10753059387207
2010-08-17,9.269071578979492
2010-08-18,9.241218566894531
2010-08-19,8.739888191223145
2010-08-20,8.74545669555664
2010-08-23,8.372243881225586
2010-08-24,8.377817153930664
2010-08-25,8.572779655456543
2010-08-26,8.383386611938477
2010-08-27,8.561635971069336
2010-08-30,8.060301780700684
2010-08-31,7.999028205871582
2010-09-01,8.249696731567383
2010-09-02,8.355535507202148
2010-09-03,8.489224433898926
2010-09-07,8.0825834274292
2010-09-08,8.634048461914062
2010-09-09,8.813459396362305
2010-09-10,9.149852752685547
2010-09-13,9.811422348022461
2010-09-14,9.603979110717773
2010-09-15,9.727324485778809
2010-09-16,9.559127807617188
2010-09-17,9.592766761779785
2010-09-20,10.405712127685547
2010-09-21,9.856271743774414
2010-09-22,9.503063201904297
2010-09-23,9.402143478393555
2010-09-24,9.912339210510254
2010-09-27,9.867486000061035
2010-09-28,9.79460334777832
