Date,NVEC
2010-01-04,22.322044372558594
2010-01-05,23.176950454711914
2010-01-06,23.302833557128906
2010-01-07,23.129741668701172
2010-01-08,23.323802947998047
2010-01-11,23.633255004882812
2010-01-12,23.675209045410156
2010-01-13,23.90073585510254
2010-01-14,24.28361701965332
2010-01-15,23.65423583984375
2010-01-19,23.753887176513672
2010-01-20,23.73814582824707
2010-01-21,23.418216705322266
2010-01-22,22.054548263549805
2010-01-25,21.96014404296875
2010-01-26,21.67168617248535
2010-01-27,23.04582977294922
2010-01-28,22.22763442993164
2010-01-29,21.87098503112793
2010-02-01,21.53006935119629
2010-02-02,21.09475326538086
2010-02-03,21.75035285949707
2010-02-04,21.29405403137207
2010-02-05,21.62972068786621
2010-02-08,21.17341423034668
2010-02-09,21.51957893371582
2010-02-10,21.572031021118164
2010-02-11,22.280092239379883
2010-02-12,22.846529006958008
2010-02-16,22.998628616333008
2010-02-17,23.040590286254883
2010-02-18,23.072059631347656
2010-02-19,23.22414779663086
2010-02-22,23.391983032226562
2010-02-23,23.397233963012695
2010-02-24,23.44443702697754
2010-02-25,23.255624771118164
2010-02-26,23.31856346130371
2010-03-01,23.748638153076172
2010-03-02,24.33605194091797
2010-03-03,24.320329666137695
2010-03-04,24.58256721496582
2010-03-05,25.059850692749023
2010-03-08,24.897254943847656
2010-03-09,24.8028507232666
2010-03-10,24.72417449951172
2010-03-11,25.023134231567383
2010-03-12,25.01789093017578
2010-03-15,25.238170623779297
2010-03-16,25.33258628845215
2010-03-17,25.31683921813965
2010-03-18,24.682222366333008
2010-03-19,24.545848846435547
2010-03-22,24.655990600585938
2010-03-23,25.023134231567383
2010-03-24,24.839567184448242
2010-03-25,24.682222366333008
2010-03-26,24.325571060180664
2010-03-29,23.83780288696289
2010-03-30,23.90073585510254
2010-03-31,23.759122848510742
2010-04-01,24.115779876708984
2010-04-05,24.7976016998291
2010-04-06,25.38502311706543
2010-04-07,25.337825775146484
2010-04-08,25.16998863220215
2010-04-09,24.928728103637695
2010-04-12,24.928728103637695
2010-04-13,24.939218521118164
2010-04-14,25.69447898864746
2010-04-15,26.643783569335938
2010-04-16,25.70496368408203
2010-04-19,24.30983543395996
2010-04-20,24.76613426208496
2010-04-21,25.264392852783203
2010-04-22,25.059850692749023
2010-04-23,25.023134231567383
2010-04-26,25.044113159179688
2010-04-27,25.3955078125
2010-04-28,25.280136108398438
2010-04-29,26.07734489440918
2010-04-30,25.29586410522461
2010-05-03,25.60531234741211
2010-05-04,24.33605194091797
2010-05-05,24.157733917236328
2010-05-06,25.93048667907715
2010-05-07,25.32208824157715
2010-05-10,25.904273986816406
2010-05-11,26.11930274963379
2010-05-12,26.633296966552734
