Date,SITC
2010-01-04,31.68879508972168
2010-01-05,31.414710998535156
2010-01-06,30.83233070373535
2010-01-07,32.20266342163086
2010-01-08,31.894338607788086
2010-01-11,32.099891662597656
2010-01-12,31.448984146118164
2010-01-13,33.50446319580078
2010-01-14,32.716529846191406
2010-01-15,31.62026596069336
2010-01-19,32.031375885009766
2010-01-20,31.517498016357422
2010-01-21,30.07865333557129
2010-01-22,29.80458641052246
2010-01-25,29.90735626220703
2010-01-26,29.153682708740234
2010-01-27,29.736082077026367
2010-01-28,28.605539321899414
2010-01-29,28.26297378540039
2010-02-01,28.639808654785156
2010-02-02,30.044395446777344
2010-02-03,29.119426727294922
2010-02-04,28.26297378540039
2010-02-05,29.153682708740234
2010-02-08,28.537025451660156
2010-02-09,31.654529571533203
2010-02-10,31.517498016357422
2010-02-11,31.68879508972168
2010-02-12,31.68879508972168
2010-02-16,32.47672653198242
2010-02-17,32.54524612426758
2010-02-18,33.29891586303711
2010-02-19,33.94982147216797
2010-02-22,34.634986877441406
2010-02-23,34.94329833984375
2010-02-24,35.55995559692383
2010-02-25,36.416404724121094
2010-02-26,36.347904205322266
2010-03-01,36.621952056884766
2010-03-02,37.5811882019043
2010-03-03,37.61544418334961
2010-03-04,37.06731414794922
2010-03-05,39.05427932739258
2010-03-08,39.328346252441406
2010-03-09,39.63667678833008
2010-03-10,39.84223175048828
2010-03-11,40.01353073120117
2010-03-12,40.49311447143555
2010-03-15,40.90423583984375
2010-03-16,42.514373779296875
2010-03-17,43.918949127197266
2010-03-18,43.98745346069336
2010-03-19,43.38417053222656
2010-03-22,42.62907028198242
2010-03-23,42.388797760009766
2010-03-24,42.388797760009766
2010-03-25,42.69770812988281
2010-03-26,42.49176788330078
2010-03-29,42.903648376464844
2010-03-30,42.594757080078125
2010-03-31,41.7709846496582
2010-04-01,42.21718215942383
2010-04-05,43.41847229003906
2010-04-06,44.688438415527344
2010-04-07,43.83036422729492
2010-04-08,45.306243896484375
2010-04-09,46.9537467956543
2010-04-12,45.78678512573242
2010-04-13,45.95840072631836
2010-04-14,46.02703094482422
2010-04-15,43.86469268798828
2010-04-16,43.24687194824219
2010-04-19,43.21253967285156
2010-04-20,43.590091705322266
2010-04-21,44.41385269165039
2010-04-22,44.997344970703125
2010-04-23,44.10494613647461
2010-04-26,43.96765899658203
2010-04-27,42.04557800292969
2010-04-28,41.66802978515625
2010-04-29,43.55577087402344
2010-04-30,42.182861328125
2010-05-03,44.1392707824707
2010-05-04,43.590091705322266
2010-05-05,43.48712921142578
2010-05-06,42.42311477661133
2010-05-07,40.6040153503418
2010-05-10,43.93332290649414
2010-05-11,44.41385269165039
2010-05-12,45.752445220947266
2010-05-13,44.7570915222168
2010-05-14,41.97690963745117
2010-05-17,41.80532455444336
2010-05-18,40.29511642456055
2010-05-19,39.883235931396484
2010-05-20,36.2106819152832
2010-05-21,38.13276290893555
2010-05-24,36.62255096435547
2010-05-25,36.48525619506836
2010-05-26,37.274688720703125
2010-05-27,40.26078414916992
2010-05-28,39.26543045043945
2010-06-01,38.27005386352539
2010-06-02,39.5743293762207
2010-06-03,39.368385314941406
2010-06-04,36.27932357788086
2010-06-07,36.62255096435547
2010-06-08,37.58359909057617
2010-06-09,38.06412124633789
2010-06-10,40.12348556518555
2010-06-11,40.878597259521484
2010-06-14,41.702362060546875
2010-06-15,42.388797760009766
2010-06-16,41.63370132446289
2010-06-17,40.994815826416016
2010-06-18,40.272586822509766
2010-06-21,40.513328552246094
2010-06-22,39.17204666137695
2010-06-23,39.48158645629883
2010-06-24,37.005374908447266
2010-06-25,37.45246124267578
2010-06-28,36.833412170410156
2010-06-29,34.46039962768555
2010-06-30,34.047691345214844
2010-07-01,33.910133361816406
2010-07-02,32.396907806396484
2010-07-06,30.608535766601562
2010-07-07,32.98155212402344
2010-07-08,33.94452667236328
2010-07-09,34.94187927246094
2010-07-12,35.56093215942383
2010-07-13,36.386329650878906
2010-07-14,36.66146469116211
2010-07-15,36.455108642578125
2010-07-16,34.49478530883789
2010-07-19,34.804317474365234
2010-07-20,35.83607482910156
2010-07-21,34.87310791015625
2010-07-22,36.86782455444336
2010-07-23,37.45246124267578
2010-07-26,38.51859664916992
2010-07-27,37.899566650390625
2010-07-28,38.69055938720703
2010-07-29,38.587398529052734
2010-07-30,39.034481048583984
2010-08-02,40.44454574584961
2010-08-03,40.513328552246094
2010-08-04,40.685279846191406
2010-08-05,40.272586822509766
2010-08-06,39.44718551635742
2010-08-09,39.791099548339844
2010-08-10,39.000083923339844
2010-08-11,38.03712463378906
2010-08-12,36.69585418701172
2010-08-13,36.420719146728516
2010-08-16,36.66146469116211
2010-08-17,37.21171951293945
2010-08-18,37.03976821899414
2010-08-19,35.801673889160156
2010-08-20,35.38897705078125
2010-08-23,34.73554229736328
2010-08-24,34.32283020019531
2010-08-25,35.07944107055664
2010-08-26,34.32283020019531
2010-08-27,36.11119842529297
2010-08-30,35.3201904296875
2010-08-31,35.62971496582031
2010-09-01,37.65882873535156
2010-09-02,39.034481048583984
2010-09-03,39.72231674194336
2010-09-07,39.34402084350586
2010-09-08,39.58476257324219
2010-09-09,39.30961990356445
2010-09-10,39.27522277832031
2010-09-13,39.92866134643555
2010-09-14,39.85988235473633
2010-09-15,39.89426803588867
2010-09-16,39.000083923339844
2010-09-17,38.46323776245117
2010-09-20,39.359317779541016
2010-09-21,38.94575119018555
2010-09-22,38.256431579589844
2010-09-23,37.32587432861328
2010-09-24,38.3942985534668
2010-09-27,37.80839157104492
2010-09-28,38.01518249511719
