Date,MIDD
2010-01-04,16.65333366394043
2010-01-05,16.8799991607666
2010-01-06,17.116666793823242
2010-01-07,16.946666717529297
2010-01-08,16.166667938232422
2010-01-11,15.846667289733887
2010-01-12,15.486666679382324
2010-01-13,15.553333282470703
2010-01-14,15.5600004196167
2010-01-15,15.553333282470703
2010-01-19,15.633333206176758
2010-01-20,15.333333015441895
2010-01-21,15.4399995803833
2010-01-22,15.210000038146973
2010-01-25,15.279999732971191
2010-01-26,15.180000305175781
2010-01-27,15.15999984741211
2010-01-28,14.833333015441895
2010-01-29,15.020000457763672
2010-02-01,15.186667442321777
2010-02-02,15.149999618530273
2010-02-03,15.16333293914795
2010-02-04,14.783332824707031
2010-02-05,14.546667098999023
2010-02-08,14.05666732788086
2010-02-09,14.356666564941406
2010-02-10,14.279999732971191
2010-02-11,14.436667442321777
2010-02-12,14.473333358764648
2010-02-16,14.963333129882812
2010-02-17,14.936667442321777
2010-02-18,15.346667289733887
2010-02-19,15.363332748413086
2010-02-22,15.473333358764648
2010-02-23,15.40999984741211
2010-02-24,15.470000267028809
2010-02-25,15.513333320617676
2010-02-26,15.463333129882812
2010-03-01,15.829999923706055
2010-03-02,15.99666690826416
2010-03-03,16.233333587646484
2010-03-04,18.079999923706055
2010-03-05,18.083332061767578
2010-03-08,17.72333335876465
2010-03-09,18.003332138061523
2010-03-10,18.229999542236328
2010-03-11,18.116666793823242
2010-03-12,18.016666412353516
2010-03-15,18.163333892822266
2010-03-16,18.329999923706055
2010-03-17,18.89666748046875
2010-03-18,19.116666793823242
2010-03-19,19.233333587646484
2010-03-22,19.24333381652832
2010-03-23,19.84000015258789
2010-03-24,19.126667022705078
2010-03-25,18.886667251586914
2010-03-26,19.043333053588867
2010-03-29,19.083332061767578
2010-03-30,19.196666717529297
2010-03-31,19.196666717529297
2010-04-01,19.440000534057617
2010-04-05,19.260000228881836
2010-04-06,19.156667709350586
2010-04-07,19.133333206176758
2010-04-08,19.14666748046875
2010-04-09,19.00666618347168
2010-04-12,19.229999542236328
2010-04-13,19.39666748046875
2010-04-14,19.623332977294922
2010-04-15,19.93000030517578
2010-04-16,19.52666664123535
2010-04-19,19.746667861938477
2010-04-20,20.0
2010-04-21,20.25666618347168
2010-04-22,20.516666412353516
2010-04-23,21.25666618347168
2010-04-26,21.670000076293945
2010-04-27,20.97333335876465
2010-04-28,20.793333053588867
2010-04-29,20.926666259765625
2010-04-30,20.373332977294922
2010-05-03,20.893333435058594
2010-05-04,20.413333892822266
2010-05-05,20.00666618347168
2010-05-06,19.3700008392334
2010-05-07,18.913333892822266
2010-05-10,19.793333053588867
2010-05-11,20.246667861938477
2010-05-12,20.916667938232422
2010-05-13,19.57666778564453
2010-05-14,19.71666717529297
2010-05-17,19.010000228881836
2010-05-18,19.143333435058594
2010-05-19,18.49333381652832
2010-05-20,17.553333282470703
2010-05-21,17.683332443237305
2010-05-24,17.843332290649414
2010-05-25,17.566667556762695
2010-05-26,18.116666793823242
2010-05-27,19.030000686645508
2010-05-28,18.770000457763672
2010-06-01,18.343332290649414
2010-06-02,18.75666618347168
2010-06-03,19.010000228881836
2010-06-04,18.209999084472656
2010-06-07,17.889999389648438
2010-06-08,18.049999237060547
2010-06-09,17.89666748046875
2010-06-10,18.530000686645508
2010-06-11,18.860000610351562
2010-06-14,19.296667098999023
2010-06-15,19.81333351135254
2010-06-16,19.93666648864746
2010-06-17,19.94333267211914
2010-06-18,19.863332748413086
2010-06-21,19.823333740234375
2010-06-22,19.55666732788086
2010-06-23,19.389999389648438
2010-06-24,18.760000228881836
2010-06-25,18.80666732788086
2010-06-28,18.583332061767578
2010-06-29,17.886667251586914
2010-06-30,17.729999542236328
2010-07-01,18.170000076293945
2010-07-02,18.753332138061523
2010-07-06,19.040000915527344
2010-07-07,19.523332595825195
2010-07-08,19.68000030517578
2010-07-09,19.94333267211914
2010-07-12,19.656667709350586
2010-07-13,20.020000457763672
2010-07-14,19.6299991607666
2010-07-15,18.976667404174805
2010-07-16,18.22333335876465
2010-07-19,18.399999618530273
2010-07-20,18.82666778564453
2010-07-21,18.69333267211914
2010-07-22,19.35333251953125
2010-07-23,19.406667709350586
2010-07-26,19.843332290649414
2010-07-27,19.770000457763672
2010-07-28,19.3799991607666
2010-07-29,19.28333282470703
2010-07-30,19.170000076293945
2010-08-02,19.979999542236328
2010-08-03,19.933332443237305
2010-08-04,20.06333351135254
2010-08-05,20.156667709350586
2010-08-06,19.546667098999023
2010-08-09,19.579999923706055
2010-08-10,19.31333351135254
2010-08-11,18.50666618347168
2010-08-12,18.950000762939453
2010-08-13,18.203332901000977
2010-08-16,18.47333335876465
2010-08-17,18.786666870117188
2010-08-18,18.623332977294922
2010-08-19,18.196666717529297
2010-08-20,18.15999984741211
2010-08-23,18.046667098999023
2010-08-24,17.760000228881836
2010-08-25,18.3700008392334
2010-08-26,18.25
2010-08-27,18.616666793823242
2010-08-30,18.21666717529297
2010-08-31,18.329999923706055
2010-09-01,19.043333053588867
2010-09-02,19.183332443237305
2010-09-03,19.59000015258789
2010-09-07,19.293333053588867
2010-09-08,19.459999084472656
2010-09-09,19.389999389648438
2010-09-10,19.56333351135254
2010-09-13,20.270000457763672
2010-09-14,20.17333221435547
2010-09-15,20.336666107177734
2010-09-16,20.18000030517578
2010-09-17,20.23666763305664
2010-09-20,20.356666564941406
2010-09-21,20.329999923706055
2010-09-22,20.290000915527344
2010-09-23,20.043333053588867
2010-09-24,20.836666107177734
2010-09-27,20.963333129882812
2010-09-28,20.833332061767578
