Date,VRNT
2010-01-04,9.755475997924805
2010-01-05,9.658685684204102
2010-01-06,9.755475997924805
2010-01-07,9.679062843322754
2010-01-08,9.679062843322754
2010-01-11,9.679062843322754
2010-01-12,9.55170726776123
2010-01-13,9.475293159484863
2010-01-14,9.246051788330078
2010-01-15,9.271523475646973
2010-01-19,9.215486526489258
2010-01-20,9.240958213806152
2010-01-21,9.09322452545166
2010-01-22,9.169637680053711
2010-01-25,9.169637680053711
2010-01-26,9.20529842376709
2010-01-27,9.195110321044922
2010-01-28,9.215486526489258
2010-01-29,9.322465896606445
2010-02-01,9.730005264282227
2010-02-02,9.908304214477539
2010-02-03,9.98471736907959
2010-02-04,10.82526683807373
2010-02-05,11.07997989654541
2010-02-08,11.232807159423828
2010-02-09,11.334692001342773
2010-02-10,11.462047576904297
2010-02-11,11.767702102661133
2010-02-12,11.793173789978027
2010-02-16,11.589404106140137
2010-02-17,11.818644523620605
2010-02-18,11.869586944580078
2010-02-19,11.869586944580078
2010-02-22,11.920530319213867
2010-02-23,11.818644523620605
2010-02-24,11.920530319213867
2010-02-25,11.793173789978027
2010-02-26,11.971471786499023
2010-03-01,12.19052505493164
2010-03-02,12.251655578613281
2010-03-03,12.226183891296387
2010-03-04,12.200713157653809
2010-03-05,12.251655578613281
2010-03-08,12.277127265930176
2010-03-09,12.480896949768066
2010-03-10,12.57768726348877
2010-03-11,12.73560905456543
2010-03-12,12.710138320922852
2010-03-15,12.633724212646484
2010-03-16,12.480896949768066
2010-03-17,12.521651268005371
2010-03-18,12.429953575134277
2010-03-19,12.429953575134277
2010-03-22,12.429953575134277
2010-03-23,12.480896949768066
2010-03-24,12.710138320922852
2010-03-25,12.659194946289062
2010-03-26,12.480896949768066
2010-03-29,12.60825252532959
2010-03-30,12.455425262451172
2010-03-31,12.480896949768066
2010-04-01,12.73560905456543
2010-04-05,12.73560905456543
2010-04-06,12.93937873840332
2010-04-07,12.98522663116455
2010-04-08,12.990321159362793
