Date,CAT
2010-01-04,39.40346145629883
2010-01-05,39.874549865722656
2010-01-06,39.99570083618164
2010-01-07,40.15719985961914
2010-01-08,40.608116149902344
2010-01-11,43.15873336791992
2010-01-12,41.88679504394531
2010-01-13,41.947349548339844
2010-01-14,41.711822509765625
2010-01-15,40.736114501953125
2010-01-19,41.28495407104492
2010-01-20,40.49217224121094
2010-01-21,38.520408630371094
2010-01-22,36.75871276855469
2010-01-25,37.361759185791016
2010-01-26,37.84282302856445
2010-01-27,36.209861755371094
2010-01-28,35.1392936706543
2010-01-29,35.39676284790039
2010-02-01,35.87107849121094
2010-02-02,36.28440856933594
2010-02-03,36.17598342895508
2010-02-04,34.82760238647461
2010-02-05,35.06476974487305
2010-02-08,34.40750503540039
2010-02-09,36.270851135253906
2010-02-10,36.013370513916016
2010-02-11,38.046104431152344
2010-02-12,38.07998275756836
2010-02-16,38.70335006713867
2010-02-17,38.96083450317383
2010-02-18,39.170894622802734
2010-02-19,39.46903991699219
2010-02-22,39.3199462890625
2010-02-23,38.39167404174805
2010-02-24,38.59495162963867
2010-02-25,38.479766845703125
2010-02-26,38.65592575073242
2010-03-01,39.19799041748047
2010-03-02,39.401268005371094
2010-03-03,39.68585205078125
2010-03-04,39.60454559326172
2010-03-05,40.133060455322266
2010-03-08,39.91622543334961
2010-03-09,40.09917449951172
2010-03-10,39.828155517578125
2010-03-11,39.90945816040039
2010-03-12,40.89872360229492
2010-03-15,40.29568099975586
2010-03-16,40.28211975097656
2010-03-17,40.80385971069336
2010-03-18,40.49893569946289
2010-03-19,40.227909088134766
2010-03-22,40.62091827392578
2010-03-23,42.287757873535156
2010-03-24,42.05060577392578
2010-03-25,42.10480880737305
2010-03-26,42.308082580566406
2010-03-29,43.01276397705078
2010-03-30,42.79593276977539
2010-03-31,42.58590316772461
2010-04-01,43.358333587646484
2010-04-05,44.03591537475586
2010-04-06,44.239173889160156
2010-04-07,43.68356704711914
2010-04-08,43.69034957885742
2010-04-09,44.22564697265625
2010-04-12,45.214900970458984
2010-04-13,44.84901809692383
2010-04-14,45.58756637573242
2010-04-15,46.22449493408203
2010-04-16,45.31653594970703
2010-04-19,45.39106750488281
2010-04-20,45.73663330078125
2010-04-21,45.906028747558594
2010-04-22,46.02876281738281
2010-04-23,46.894657135009766
2010-04-26,48.851444244384766
2010-04-27,46.72419738769531
2010-04-28,47.02419662475586
2010-04-29,48.237823486328125
2010-04-30,46.424198150634766
2010-05-03,47.68556213378906
2010-05-04,45.476497650146484
2010-05-05,44.97195053100586
2010-05-06,43.29471206665039
2010-05-07,42.340179443359375
2010-05-10,45.46967697143555
2010-05-11,45.04694747924805
2010-05-12,46.465118408203125
2010-05-13,45.61968994140625
2010-05-14,44.235618591308594
2010-05-17,43.48562240600586
2010-05-18,43.08336639404297
2010-05-19,41.89019012451172
2010-05-20,40.001590728759766
2010-05-21,40.969757080078125
2010-05-24,40.37660217285156
2010-05-25,40.3697624206543
2010-05-26,40.724300384521484
2010-05-27,42.31291580200195
2010-05-28,41.42656707763672
2010-06-01,40.410675048828125
2010-06-02,41.4947509765625
2010-06-03,41.66520690917969
2010-06-04,39.38113021850586
2010-06-07,38.06526184082031
2010-06-08,38.59706497192383
2010-06-09,38.733428955078125
2010-06-10,40.874305725097656
2010-06-11,41.065208435058594
2010-06-14,41.5901985168457
2010-06-15,43.2674446105957
2010-06-16,43.90152359008789
2010-06-17,44.2833366394043
2010-06-18,44.89695358276367
2010-06-21,45.04694747924805
2010-06-22,43.71061706542969
2010-06-23,43.86062240600586
2010-06-24,43.20606231689453
2010-06-25,44.11968994140625
2010-06-28,43.9083366394043
