Date,HTZ
2021-07-01,26.989999771118164
2021-07-02,23.959999084472656
2021-07-06,21.75
2021-07-07,21.450000762939453
2021-07-08,19.229999542236328
2021-07-09,20.899999618530273
2021-07-12,21.350000381469727
2021-07-13,20.100000381469727
2021-07-14,19.43000030517578
2021-07-15,19.1200008392334
2021-07-16,19.0
2021-07-19,17.920000076293945
2021-07-20,17.8799991607666
2021-07-21,17.850000381469727
2021-07-22,17.260000228881836
2021-07-23,16.770000457763672
2021-07-26,15.0
2021-07-27,15.630000114440918
2021-07-28,16.0
2021-07-29,17.790000915527344
2021-07-30,18.75
2021-08-02,18.100000381469727
2021-08-03,17.549999237060547
2021-08-04,16.600000381469727
2021-08-05,16.520000457763672
2021-08-06,16.440000534057617
2021-08-09,16.75
2021-08-10,16.829999923706055
2021-08-11,16.649999618530273
2021-08-12,16.399999618530273
2021-08-13,16.0
2021-08-16,15.949999809265137
2021-08-17,15.25
2021-08-18,15.1899995803833
2021-08-19,15.010000228881836
2021-08-20,15.09000015258789
2021-08-23,15.5600004196167
2021-08-24,16.110000610351562
2021-08-25,16.950000762939453
2021-08-26,16.079999923706055
2021-08-27,15.800000190734863
2021-08-30,16.899999618530273
2021-08-31,16.799999237060547
2021-09-01,16.700000762939453
2021-09-02,16.690000534057617
2021-09-03,16.56999969482422
2021-09-07,16.899999618530273
2021-09-08,16.5
2021-09-09,15.760000228881836
2021-09-10,15.90999984741211
2021-09-13,15.850000381469727
2021-09-14,15.682000160217285
2021-09-15,15.75
2021-09-16,16.200000762939453
2021-09-17,16.350000381469727
2021-09-20,16.200000762939453
2021-09-21,16.399999618530273
2021-09-22,16.549999237060547
2021-09-23,16.979999542236328
2021-09-24,18.950000762939453
2021-09-27,19.5
2021-09-28,19.290000915527344
2021-09-29,19.200000762939453
2021-09-30,19.549999237060547
2021-10-01,19.299999237060547
2021-10-04,20.15999984741211
2021-10-05,22.149999618530273
2021-10-06,26.5
2021-10-07,26.0
2021-10-08,26.25
2021-10-11,26.75
2021-10-12,26.899999618530273
2021-10-13,26.950000762939453
2021-10-14,26.68000030517578
2021-10-15,25.701000213623047
2021-10-18,25.875
2021-10-19,22.5
2021-10-20,25.059999465942383
2021-10-21,25.549999237060547
2021-10-22,24.690000534057617
2021-10-25,27.170000076293945
2021-10-26,27.450000762939453
2021-10-27,27.010000228881836
2021-10-28,28.459999084472656
2021-10-29,31.020000457763672
2021-11-01,34.150001525878906
2021-11-02,35.060001373291016
2021-11-03,31.799999237060547
2021-11-04,32.619998931884766
2021-11-05,34.38999938964844
2021-11-08,32.619998931884766
2021-11-09,32.619998931884766
2021-11-10,25.389999389648438
2021-11-11,26.420000076293945
2021-11-12,26.969999313354492
2021-11-15,24.920000076293945
2021-11-16,23.110000610351562
2021-11-17,23.030000686645508
