Date,AMTM
2024-09-24,29.510000228881836
2024-09-25,28.0
2024-09-26,27.010000228881836
2024-09-27,25.670000076293945
2024-09-30,32.25
2024-10-01,25.75
2024-10-02,25.270000457763672
2024-10-03,25.399999618530273
2024-10-04,26.469999313354492
2024-10-07,25.549999237060547
2024-10-08,24.75
2024-10-09,25.5
2024-10-10,25.989999771118164
2024-10-11,26.899999618530273
2024-10-14,28.3799991607666
2024-10-15,28.700000762939453
2024-10-16,28.93000030517578
2024-10-17,29.690000534057617
2024-10-18,29.299999237060547
2024-10-21,28.959999084472656
2024-10-22,28.969999313354492
2024-10-23,28.8700008392334
2024-10-24,29.969999313354492
2024-10-25,29.649999618530273
2024-10-28,30.8799991607666
2024-10-29,30.809999465942383
2024-10-30,30.1200008392334
2024-10-31,29.739999771118164
2024-11-01,30.790000915527344
2024-11-04,29.6299991607666
2024-11-05,30.0
2024-11-06,31.0
2024-11-07,31.84000015258789
2024-11-08,33.400001525878906
2024-11-11,32.279998779296875
2024-11-12,31.239999771118164
2024-11-13,29.6299991607666
2024-11-14,26.40999984741211
2024-11-15,25.200000762939453
2024-11-18,22.770000457763672
2024-11-19,21.940000534057617
2024-11-20,22.40999984741211
2024-11-21,24.760000228881836
2024-11-22,24.43000030517578
2024-11-25,24.809999465942383
2024-11-26,24.610000610351562
2024-11-27,23.899999618530273
2024-11-29,24.350000381469727
2024-12-02,23.860000610351562
2024-12-03,24.270000457763672
2024-12-04,23.90999984741211
2024-12-05,23.0
2024-12-06,23.170000076293945
2024-12-09,23.75
2024-12-10,24.020000457763672
2024-12-11,23.850000381469727
2024-12-12,23.610000610351562
2024-12-13,23.049999237060547
2024-12-16,23.780000686645508
2024-12-17,21.510000228881836
2024-12-18,20.329999923706055
2024-12-19,18.93000030517578
2024-12-20,19.170000076293945
2024-12-23,19.969999313354492
2024-12-24,19.809999465942383
2024-12-26,20.59000015258789
2024-12-27,20.479999542236328
2024-12-30,22.299999237060547
2024-12-31,21.030000686645508
2025-01-02,21.65999984741211
2025-01-03,22.56999969482422
2025-01-06,22.479999542236328
2025-01-07,22.100000381469727
2025-01-08,21.489999771118164
2025-01-10,22.510000228881836
2025-01-13,22.81999969482422
2025-01-14,23.200000762939453
