Date,TDG
2010-01-04,21.210500717163086
2010-01-05,21.412296295166016
2010-01-06,21.56257438659668
2010-01-07,21.841657638549805
2010-01-08,22.09069061279297
2010-01-11,22.094982147216797
2010-01-12,21.588333129882812
2010-01-13,21.661327362060547
2010-01-14,21.794429779052734
2010-01-15,21.631269454956055
2010-01-19,21.648447036743164
2010-01-20,21.790132522583008
2010-01-21,21.498170852661133
2010-01-22,21.060218811035156
2010-01-25,20.931413650512695
2010-01-26,20.93999671936035
2010-01-27,21.03445816040039
2010-01-28,20.948585510253906
2010-01-29,20.725317001342773
2010-02-01,20.798307418823242
2010-02-02,21.257728576660156
2010-02-03,21.313541412353516
2010-02-04,20.480579376220703
2010-02-05,20.43764305114746
2010-02-08,20.39470863342285
2010-02-09,20.759668350219727
2010-02-10,20.575040817260742
2010-02-11,20.587923049926758
2010-02-12,20.622268676757812
2010-02-16,20.854127883911133
2010-02-17,20.763961791992188
2010-02-18,21.120330810546875
2010-02-19,21.167560577392578
2010-02-22,21.210500717163086
2010-02-23,21.03874969482422
2010-02-24,21.210500717163086
2010-02-25,21.292076110839844
2010-02-26,21.56257438659668
2010-03-01,22.584453582763672
2010-03-02,22.70038414001465
2010-03-03,22.631690979003906
2010-03-04,22.610218048095703
2010-03-05,22.691797256469727
2010-03-08,22.292491912841797
2010-03-09,22.545812606811523
2010-03-10,22.5887508392334
2010-03-11,22.6875057220459
2010-03-12,22.584453582763672
2010-03-15,22.51575469970703
2010-03-16,22.43417739868164
2010-03-17,22.481407165527344
2010-03-18,22.421300888061523
2010-03-19,22.502880096435547
2010-03-22,22.442766189575195
2010-03-23,22.38694953918457
2010-03-24,22.378360748291016
2010-03-25,22.417003631591797
2010-03-26,22.56728172302246
2010-03-29,22.94941520690918
2010-03-30,23.086811065673828
2010-03-31,22.77337646484375
2010-04-01,22.661741256713867
2010-04-05,23.44318199157715
2010-04-06,23.550518035888672
2010-04-07,23.361602783203125
2010-04-08,23.44318199157715
2010-04-09,23.48611831665039
2010-04-12,23.507583618164062
2010-04-13,23.271434783935547
2010-04-14,23.438888549804688
2010-04-15,23.387365341186523
2010-04-16,23.151214599609375
2010-04-19,22.996644973754883
2010-04-20,23.391660690307617
2010-04-21,23.54623031616211
2010-04-22,24.413536071777344
2010-04-23,24.34913444519043
2010-04-26,24.203153610229492
2010-04-27,23.636396408081055
2010-04-28,23.683622360229492
2010-04-29,23.859661102294922
2010-04-30,23.730854034423828
2010-05-03,24.29761505126953
2010-05-04,23.421710968017578
2010-05-05,22.8592472076416
2010-05-06,22.55869483947754
2010-05-07,21.833070755004883
2010-05-10,23.22850227355957
2010-05-11,23.533344268798828
2010-05-12,24.078638076782227
2010-05-13,24.27614974975586
2010-05-14,23.833898544311523
2010-05-17,23.72226905822754
2010-05-18,23.194150924682617
2010-05-19,22.992351531982422
2010-05-20,22.249553680419922
2010-05-21,22.70038414001465
2010-05-24,22.27102279663086
2010-05-25,22.210912704467773
2010-05-26,22.047754287719727
2010-05-27,22.803428649902344
2010-05-28,22.653156280517578
2010-06-01,21.854541778564453
2010-06-02,22.17656135559082
2010-06-03,22.26673126220703
2010-06-04,21.41659164428711
2010-06-07,20.974349975585938
2010-06-08,21.253437042236328
2010-06-09,21.648447036743164
2010-06-10,22.155092239379883
2010-06-11,22.20661735534668
2010-06-14,22.442766189575195
2010-06-15,22.889305114746094
2010-06-16,22.98805809020996
2010-06-17,22.82061004638672
2010-06-18,22.91506576538086
2010-06-21,22.8592472076416
2010-06-22,22.41271209716797
2010-06-23,22.786258697509766
2010-06-24,22.67032814025879
2010-06-25,22.876422882080078
2010-06-28,23.01381492614746
2010-06-29,22.27102279663086
2010-06-30,21.910354614257812
2010-07-01,21.69138526916504
2010-07-02,21.575458526611328
2010-07-06,21.579748153686523
2010-07-07,22.00482177734375
2010-07-08,22.27102279663086
2010-07-09,22.43417739868164
2010-07-12,21.918943405151367
2010-07-13,22.172269821166992
2010-07-14,22.391244888305664
2010-07-15,22.41271209716797
2010-07-16,21.515344619750977
2010-07-19,21.498170852661133
2010-07-20,21.721437454223633
2010-07-21,21.631269454956055
2010-07-22,22.232379913330078
2010-07-23,22.803428649902344
2010-07-26,23.361602783203125
2010-07-27,23.318668365478516
2010-07-28,23.14262580871582
2010-07-29,23.202739715576172
2010-07-30,23.258554458618164
2010-08-02,23.520469665527344
2010-08-03,23.7265625
2010-08-04,24.13016128540039
2010-08-05,23.81243133544922
2010-08-06,23.88971710205078
2010-08-09,24.32337760925293
2010-08-10,24.495115280151367
2010-08-11,24.151628494262695
2010-08-12,24.173093795776367
2010-08-13,24.057167053222656
2010-08-16,24.04429054260254
2010-08-17,24.404953002929688
2010-08-18,24.778491973876953
2010-08-19,24.761322021484375
2010-08-20,24.623920440673828
2010-08-23,24.185977935791016
2010-08-24,23.971298217773438
2010-08-25,23.786666870117188
2010-08-26,24.48223876953125
2010-08-27,25.083343505859375
2010-08-30,25.074756622314453
2010-08-31,24.85577964782715
2010-09-01,25.54276466369629
2010-09-02,26.29844093322754
2010-09-03,26.371429443359375
2010-09-07,25.9077205657959
2010-09-08,26.195390701293945
2010-09-09,26.16533660888672
2010-09-10,26.169633865356445
2010-09-13,26.66339683532715
2010-09-14,26.405780792236328
2010-09-15,26.57752799987793
2010-09-16,26.620464324951172
2010-09-17,27.114227294921875
2010-09-20,27.29026985168457
2010-09-21,26.822263717651367
2010-09-22,26.57752799987793
2010-09-23,26.238332748413086
2010-09-24,26.7235107421875
2010-09-27,26.483068466186523
2010-09-28,26.53888511657715
