Date,SAH
2010-01-04,8.884777069091797
2010-01-05,9.051156044006348
2010-01-06,9.334005355834961
2010-01-07,9.30904769897461
2010-01-08,9.408878326416016
2010-01-11,9.517029762268066
2010-01-12,9.29240894317627
2010-01-13,9.300731658935547
2010-01-14,9.209219932556152
2010-01-15,9.109389305114746
2010-01-19,9.150989532470703
2010-01-20,8.893094062805176
2010-01-21,8.518736839294434
2010-01-22,8.161017417907715
2010-01-25,8.244205474853516
2010-01-26,8.227570533752441
2010-01-27,8.08614444732666
2010-01-28,7.986313819885254
2010-01-29,7.944719314575195
2010-02-01,8.244205474853516
2010-02-02,8.485457420349121
2010-02-03,8.319080352783203
2010-02-04,7.85321044921875
2010-02-05,7.720105171203613
2010-02-08,7.528765678405762
2010-02-09,7.703465461730957
2010-02-10,7.753378868103027
2010-02-11,7.736745834350586
2010-02-12,7.778336524963379
2010-02-16,7.9946370124816895
2010-02-17,8.069503784179688
2010-02-18,8.152698516845703
2010-02-19,8.077825546264648
2010-02-22,8.044551849365234
2010-02-23,8.144378662109375
2010-02-24,8.643524169921875
2010-02-25,8.71839427947998
2010-02-26,8.568649291992188
2010-03-01,8.901413917541504
2010-03-02,9.109389305114746
2010-03-03,9.39223575592041
2010-03-04,9.725000381469727
2010-03-05,9.833148002624512
2010-03-08,9.691728591918945
2010-03-09,9.633492469787598
2010-03-10,9.77491569519043
2010-03-11,9.791553497314453
2010-03-12,9.783235549926758
2010-03-15,9.708362579345703
2010-03-16,9.899704933166504
2010-03-17,9.999531745910645
2010-03-18,10.19087028503418
2010-03-19,9.98289680480957
2010-03-22,10.307337760925293
2010-03-23,10.40716552734375
2010-03-24,9.991211891174316
2010-03-25,10.041125297546387
2010-03-26,10.057767868041992
2010-03-29,9.558618545532227
2010-03-30,9.741643905639648
2010-03-31,9.150989532470703
2010-04-01,9.683409690856934
2010-04-05,9.957937240600586
2010-04-06,10.02448844909668
2010-04-07,10.066086769104004
2010-04-08,10.12431812286377
2010-04-09,10.116000175476074
2010-04-12,9.98289680480957
2010-04-13,9.88306713104248
2010-04-14,10.473719596862793
2010-04-15,10.390530586242676
2010-04-16,10.08272647857666
2010-04-19,9.8497896194458
2010-04-20,10.041125297546387
2010-04-21,10.43212604522705
2010-04-22,10.964540481567383
2010-04-23,10.848079681396484
2010-04-26,10.889673233032227
2010-04-27,9.150989532470703
2010-04-28,9.092750549316406
2010-04-29,9.150989532470703
2010-04-30,8.884777069091797
2010-05-03,9.400558471679688
2010-05-04,9.117709159851074
2010-05-05,8.951329231262207
2010-05-06,8.552014350891113
2010-05-07,8.335716247558594
2010-05-10,8.976288795471191
