Date,FRST
2010-01-04,4.707827091217041
2010-01-05,4.85780143737793
2010-01-06,5.020814418792725
2010-01-07,5.11862325668335
2010-01-08,5.151223659515381
2010-01-11,5.3664021492004395
2010-01-12,5.320758819580078
2010-01-13,5.314237117767334
2010-01-14,5.314237117767334
2010-01-15,5.307718753814697
2010-01-19,5.314237117767334
2010-01-20,5.249033451080322
2010-01-21,5.346838474273682
2010-01-22,5.346838474273682
2010-01-25,5.333800315856934
2010-01-26,5.346838474273682
2010-01-27,5.281637668609619
2010-01-28,5.281637668609619
2010-01-29,5.255553722381592
2010-02-01,5.3664021492004395
2010-02-02,5.3664021492004395
2010-02-03,5.3664021492004395
2010-02-04,5.3664021492004395
2010-02-05,5.288156509399414
2010-02-08,5.11862325668335
2010-02-09,5.053416728973389
2010-02-10,5.059937000274658
2010-02-11,5.059937000274658
2010-02-12,4.831718921661377
2010-02-16,4.962129592895508
2010-02-17,5.001252174377441
2010-02-18,4.955610275268555
2010-02-19,4.929527759552002
2010-02-22,4.85780143737793
2010-02-23,4.923005104064941
2010-02-24,4.923005104064941
2010-02-25,4.870841979980469
2010-02-26,4.949088096618652
2010-03-01,5.001252174377441
2010-03-02,4.9099650382995605
2010-03-03,4.792594909667969
2010-03-04,4.8773627281188965
2010-03-05,5.046895503997803
2010-03-08,4.99473237991333
2010-03-09,4.929527759552002
2010-03-10,4.929527759552002
2010-03-11,4.929527759552002
2010-03-12,4.923005104064941
2010-03-15,4.923005104064941
2010-03-16,4.975169658660889
2010-03-17,5.046895503997803
2010-03-18,5.216429710388184
2010-03-19,4.812157154083252
2010-03-22,4.942568302154541
2010-03-23,5.092540264129639
2010-03-24,5.092540264129639
2010-03-25,5.09906005859375
2010-03-26,5.020814418792725
2010-03-29,5.0142951011657715
2010-03-30,5.079497814178467
2010-03-31,5.079497814178467
2010-04-01,5.314237117767334
2010-04-05,5.275115013122559
2010-04-06,5.222951889038086
2010-04-07,5.222951889038086
2010-04-08,5.372923374176025
2010-04-09,5.3403191566467285
2010-04-12,5.235991477966309
2010-04-13,5.2620744705200195
2010-04-14,5.3664021492004395
2010-04-15,5.359881401062012
2010-04-16,5.307718753814697
2010-04-19,5.3403191566467285
2010-04-20,5.372923374176025
2010-04-21,5.346838474273682
2010-04-22,5.314237117767334
2010-04-23,5.320758819580078
2010-04-26,5.379444122314453
2010-04-27,5.3403191566467285
2010-04-28,5.412047386169434
2010-04-29,5.4446492195129395
2010-04-30,5.314237117767334
2010-05-03,5.314237117767334
2010-05-04,5.314237117767334
2010-05-05,5.346838474273682
2010-05-06,5.320758819580078
2010-05-07,5.125144958496094
2010-05-10,5.281637668609619
2010-05-11,5.425087928771973
2010-05-12,5.372923374176025
2010-05-13,5.4446492195129395
2010-05-14,5.3859639167785645
2010-05-17,5.522896766662598
2010-05-18,5.4446492195129395
2010-05-19,5.281637668609619
2010-05-20,5.092540264129639
2010-05-21,5.131663799285889
2010-05-24,5.066457748413086
2010-05-25,5.020814418792725
2010-05-26,5.131663799285889
2010-05-27,5.314237117767334
2010-05-28,5.4446492195129395
2010-06-01,5.268594264984131
2010-06-02,5.196868896484375
2010-06-03,5.216429710388184
2010-06-04,5.151223659515381
2010-06-07,5.001252174377441
2010-06-08,4.864322662353516
2010-06-09,4.9099650382995605
2010-06-10,5.235991477966309
2010-06-11,5.0729780197143555
2010-06-14,5.2033915519714355
2010-06-15,5.053416728973389
2010-06-16,5.086018085479736
2010-06-17,5.138184070587158
2010-06-18,5.1838274002075195
2010-06-21,4.8904032707214355
2010-06-22,4.9099650382995605
2010-06-23,5.027335166931152
2010-06-24,4.936046123504639
2010-06-25,4.825198173522949
2010-06-28,4.727389812469482
2010-06-29,4.727389812469482
2010-06-30,4.7665114402771
2010-07-01,4.636103630065918
2010-07-02,4.544814586639404
2010-07-06,4.694787979125977
2010-07-07,4.603499412536621
2010-07-08,4.655663967132568
2010-07-09,4.733911037445068
2010-07-12,4.636103630065918
2010-07-13,4.733911037445068
2010-07-14,4.701309680938721
2010-07-15,4.4665703773498535
2010-07-16,4.564377784729004
2010-07-19,4.564377784729004
2010-07-20,4.831718921661377
2010-07-21,4.603499412536621
2010-07-22,4.733911037445068
2010-07-23,4.681746959686279
2010-07-26,4.590458869934082
2010-07-27,4.590458869934082
2010-07-28,4.538294315338135
2010-07-29,4.538294315338135
2010-07-30,4.564377784729004
2010-08-02,4.538294315338135
2010-08-03,4.538294315338135
2010-08-04,4.59697961807251
2010-08-05,4.564377784729004
2010-08-06,4.531773567199707
2010-08-09,4.62306022644043
2010-08-10,4.62306022644043
2010-08-11,4.518732070922852
2010-08-12,4.486130714416504
2010-08-13,4.518732070922852
2010-08-16,4.473089218139648
2010-08-17,4.564377784729004
2010-08-18,4.629581451416016
2010-08-19,4.544814586639404
2010-08-20,4.610019683837891
2010-08-23,4.883883476257324
2010-08-24,4.59697961807251
2010-08-25,4.831718921661377
2010-08-26,4.903443813323975
2010-08-27,4.786074638366699
2010-08-30,4.577417850494385
2010-08-31,4.531773567199707
2010-09-01,4.812157154083252
2010-09-02,4.655663967132568
2010-09-03,4.570898056030273
2010-09-07,4.557855606079102
2010-09-08,4.564377784729004
2010-09-09,4.44048547744751
2010-09-10,4.58393669128418
2010-09-13,4.538294315338135
2010-09-14,4.505691051483154
2010-09-15,4.720870494842529
2010-09-16,4.62306022644043
2010-09-17,4.883883476257324
2010-09-20,4.727389812469482
2010-09-21,4.681746959686279
2010-09-22,4.629581451416016
2010-09-23,4.58393669128418
2010-09-24,4.577417850494385
