Date,MBWM
2010-01-04,1.9325934648513794
2010-01-05,1.8802027702331543
2010-01-06,1.839455246925354
2010-01-07,1.8103504180908203
2010-01-08,1.9325934648513794
2010-01-11,1.9558767080307007
2010-01-12,1.91512930393219
2010-01-13,1.86273992061615
2010-01-14,1.8569185733795166
2010-01-15,1.8569185733795166
2010-01-19,1.9500555992126465
2010-01-20,2.118866205215454
2010-01-21,2.136329412460327
2010-01-22,2.142151117324829
2010-01-25,2.212002992630005
2010-01-26,2.287677049636841
2010-01-27,2.229466199874878
2010-01-28,2.19454026222229
2010-01-29,2.2760353088378906
2010-02-01,2.2934982776641846
2010-02-02,2.252750873565674
2010-02-03,2.2411081790924072
2010-02-04,2.229466199874878
2010-02-05,2.1887195110321045
2010-02-08,2.0077855587005615
2010-02-09,1.9552555084228516
2010-02-10,2.0136213302612305
2010-02-11,2.1887192726135254
2010-02-12,2.200392007827759
2010-02-16,1.9610923528671265
2010-02-17,2.0544769763946533
2010-02-18,2.077824115753174
2010-02-19,2.2704319953918457
2010-02-22,2.077824115753174
2010-02-23,2.2237393856048584
2010-02-24,2.165372610092163
2010-02-25,2.1887192726135254
2010-02-26,2.2062294483184814
2010-03-01,1.9610923528671265
2010-03-02,2.083660840988159
2010-03-03,2.2704319953918457
2010-03-04,2.1478631496429443
2010-03-05,2.2062294483184814
2010-03-08,2.264594793319702
2010-03-09,2.2295749187469482
2010-03-10,2.0953335762023926
2010-03-11,2.340470552444458
2010-03-12,2.159536123275757
2010-03-15,2.3054513931274414
2010-03-16,2.2879414558410645
2010-03-17,2.2354116439819336
2010-03-18,2.2937774658203125
2010-03-19,2.340470552444458
2010-03-22,2.328796625137329
2010-03-23,2.328796625137329
2010-03-24,2.1887192726135254
2010-03-25,2.2821054458618164
2010-03-26,2.276268720626831
2010-03-29,2.258758068084717
2010-03-30,2.2821054458618164
2010-03-31,2.3171238899230957
2010-04-01,2.3054513931274414
2010-04-05,2.3112871646881104
2010-04-06,2.42218279838562
2010-04-07,2.445528745651245
2010-04-08,2.766540765762329
2010-04-09,2.6147899627685547
2010-04-12,2.836580753326416
2010-04-13,2.673154592514038
2010-04-14,3.029186487197876
2010-04-15,2.784050464630127
2010-04-16,2.9649839401245117
2010-04-19,2.7081751823425293
2010-04-20,3.169265031814575
2010-04-21,3.4786038398742676
2010-04-22,3.5019516944885254
2010-04-23,3.6011719703674316
2010-04-26,3.443584442138672
2010-04-27,3.3618736267089844
2010-04-28,3.2801599502563477
2010-04-29,3.4319121837615967
2010-04-30,3.4844398498535156
2010-05-03,3.6420297622680664
2010-05-04,3.747086763381958
2010-05-05,3.5428059101104736
2010-05-06,3.210120916366577
