Date,BANR
2010-01-04,12.831230163574219
2010-01-05,12.597931861877441
2010-01-06,12.504611015319824
2010-01-07,13.204498291015625
2010-01-08,13.951042175292969
2010-01-11,13.344475746154785
2010-01-12,13.43779182434082
2010-01-13,13.437793731689453
2010-01-14,13.625082969665527
2010-01-15,13.437793731689453
2010-01-19,13.81236743927002
2010-01-20,13.81236743927002
2010-01-21,14.561515808105469
2010-01-22,13.999653816223145
2010-01-25,13.531439781188965
2010-01-26,13.344151496887207
2010-01-27,14.233758926391602
2010-01-28,14.374229431152344
2010-01-29,13.859189987182617
2010-02-01,13.671904563903809
2010-02-02,13.765542984008789
2010-02-03,13.484612464904785
2010-02-04,12.22043514251709
2010-02-05,12.314078330993652
2010-02-08,12.595002174377441
2010-02-09,13.250507354736328
2010-02-10,13.063222885131836
2010-02-11,13.484612464904785
2010-02-12,12.875935554504395
2010-02-16,12.969579696655273
2010-02-17,13.110048294067383
2010-02-18,13.016396522521973
2010-02-19,12.969579696655273
2010-02-22,12.922757148742676
2010-02-23,12.73547077178955
2010-02-24,13.016396522521973
2010-02-25,13.063222885131836
2010-02-26,12.688644409179688
2010-03-01,13.016396522521973
2010-03-02,13.016396522521973
2010-03-03,13.016396522521973
2010-03-04,13.81236743927002
2010-03-05,15.123373031616211
2010-03-08,15.0297212600708
2010-03-09,15.0297212600708
2010-03-10,15.638410568237305
2010-03-11,15.919341087341309
2010-03-12,15.919341087341309
2010-03-15,15.7320556640625
2010-03-16,16.387556076049805
2010-03-17,17.69855499267578
2010-03-18,17.277164459228516
2010-03-19,18.119951248168945
2010-03-22,16.99623680114746
2010-03-23,18.026309967041016
2010-03-24,18.07312774658203
2010-03-25,17.6517333984375
2010-03-26,17.370811462402344
2010-03-29,17.5580997467041
2010-03-30,17.2303466796875
2010-03-31,17.97948455810547
2010-04-01,18.447704315185547
2010-04-05,19.852357864379883
2010-04-06,22.287076950073242
2010-04-07,24.116962432861328
2010-04-08,26.744489669799805
2010-04-09,26.603734970092773
2010-04-12,26.181447982788086
2010-04-13,25.618408203125
2010-04-14,28.011337280273438
2010-04-15,30.73270034790039
2010-04-16,31.06113624572754
2010-04-19,31.48341941833496
2010-04-20,31.342666625976562
2010-04-21,32.844112396240234
2010-04-22,37.019996643066406
2010-04-23,37.44230651855469
2010-04-26,29.418930053710938
2010-04-27,27.72980308532715
2010-04-28,27.35445213317871
2010-04-29,26.88524055480957
2010-04-30,26.603734970092773
2010-05-03,26.228368759155273
2010-05-04,25.571491241455078
2010-05-05,25.19612693786621
2010-05-06,24.351560592651367
2010-05-07,23.17855453491211
2010-05-10,24.445405960083008
2010-05-11,25.524568557739258
2010-05-12,28.33977508544922
2010-05-13,26.979103088378906
2010-05-14,25.149194717407227
2010-05-17,24.86768341064453
2010-05-18,24.257719039916992
2010-05-19,23.929275512695312
2010-05-20,23.31932258605957
2010-05-21,23.17855453491211
2010-05-24,21.86478614807129
2010-05-25,21.160999298095703
2010-05-26,20.69179344177246
2010-05-27,21.39558982849121
2010-05-28,20.22258758544922
2010-06-01,19.424943923950195
2010-06-02,19.424943923950195
2010-06-03,20.175674438476562
2010-06-04,18.768062591552734
2010-06-07,17.92348861694336
2010-06-08,17.82965850830078
2010-06-09,17.54813575744629
2010-06-10,18.158100128173828
2010-06-11,17.1258602142334
2010-06-14,17.078941345214844
2010-06-15,18.205015182495117
2010-06-16,17.078941345214844
2010-06-17,16.6097354888916
2010-06-18,12.668440818786621
2010-06-21,12.668440818786621
2010-06-22,11.307757377624512
2010-06-23,10.603952407836914
2010-06-24,9.618633270263672
2010-06-25,9.290193557739258
2010-06-28,9.384031295776367
2010-06-29,9.337111473083496
2010-06-30,9.290193557739258
2010-07-01,9.524791717529297
2010-07-02,9.290193557739258
2010-07-06,9.477874755859375
2010-07-07,9.524791717529297
2010-07-08,10.090621948242188
2010-07-09,10.37353229522705
2010-07-12,10.37353229522705
2010-07-13,10.562143325805664
2010-07-14,10.04346752166748
2010-07-15,9.760555267333984
2010-07-16,9.430485725402832
2010-07-19,9.289027214050293
2010-07-20,9.477641105651855
2010-07-21,9.430485725402832
2010-07-22,10.232078552246094
2010-07-23,10.184924125671387
2010-07-26,11.175126075744629
2010-07-27,11.222281455993652
2010-07-28,11.410889625549316
2010-07-29,11.033672332763672
2010-07-30,11.08082389831543
2010-08-02,11.363736152648926
2010-08-03,11.127975463867188
2010-08-04,11.316585540771484
2010-08-05,11.175126075744629
2010-08-06,11.222281455993652
2010-08-09,10.98651123046875
2010-08-10,10.562143325805664
2010-08-11,9.71340274810791
2010-08-12,9.902012825012207
2010-08-13,9.854857444763184
2010-08-16,9.902012825012207
2010-08-17,10.37353229522705
2010-08-18,10.467839241027832
2010-08-19,9.996315002441406
2010-08-20,9.902012825012207
2010-08-23,9.854857444763184
2010-08-24,9.71340274810791
2010-08-25,9.571945190429688
2010-08-26,9.571945190429688
2010-08-27,9.66624927520752
2010-08-30,9.477641105651855
2010-08-31,9.619094848632812
2010-09-01,9.854857444763184
2010-09-02,10.279229164123535
2010-09-03,10.609296798706055
2010-09-07,10.37353229522705
2010-09-08,10.892215728759766
2010-09-09,10.939366340637207
2010-09-10,10.845061302185059
2010-09-13,10.892215728759766
2010-09-14,10.845061302185059
2010-09-15,10.750753402709961
2010-09-16,10.467839241027832
2010-09-17,10.37353229522705
2010-09-20,10.184924125671387
2010-09-21,10.467839241027832
2010-09-22,10.137772560119629
2010-09-23,9.854857444763184
2010-09-24,10.232078552246094
2010-09-27,10.184924125671387
2010-09-28,10.37353229522705
