Date,PCH
2010-01-04,14.330199241638184
2010-01-05,14.388157844543457
2010-01-06,14.570963859558105
2010-01-07,14.61109733581543
2010-01-08,14.570963859558105
2010-01-11,14.468414306640625
2010-01-12,14.343571662902832
2010-01-13,14.6066312789917
2010-01-14,14.388157844543457
2010-01-15,14.312358856201172
2010-01-19,14.686887741088867
2010-01-20,14.410449981689453
2010-01-21,13.93337631225586
2010-01-22,13.786234855651855
2010-01-25,13.91553783416748
2010-01-26,13.924454689025879
2010-01-27,14.120635986328125
2010-01-28,13.919997215270996
2010-01-29,13.688146591186523
2010-02-01,14.009174346923828
2010-02-02,14.241018295288086
2010-02-03,14.067126274108887
2010-02-04,13.648019790649414
2010-02-05,13.661396026611328
2010-02-08,13.514260292053223
2010-02-09,13.607890129089355
2010-02-10,13.75502872467041
2010-02-11,13.977961540222168
2010-02-12,14.116170883178711
2010-02-16,14.383700370788574
2010-02-17,14.508543014526367
2010-02-18,14.771608352661133
2010-02-19,14.727019309997559
2010-02-22,14.655677795410156
2010-02-23,14.437201499938965
2010-02-24,14.557592391967773
2010-02-25,14.655677795410156
2010-02-26,14.722557067871094
2010-03-01,14.976704597473145
2010-03-02,15.02575397491455
2010-03-03,15.111771583557129
2010-03-04,15.080072402954102
2010-03-05,15.437726974487305
2010-03-08,15.510150909423828
2010-03-09,15.528273582458496
2010-03-10,15.655028343200684
2010-03-11,15.87686824798584
2010-03-12,15.786314964294434
2010-03-15,15.47846508026123
2010-03-16,15.83159351348877
2010-03-17,16.266202926635742
2010-03-18,16.10321617126465
2010-03-19,16.003623962402344
2010-03-22,16.26167106628418
2010-03-23,16.293367385864258
2010-03-24,16.198291778564453
2010-03-25,16.23451042175293
2010-03-26,16.153026580810547
2010-03-29,16.198291778564453
2010-03-30,16.320526123046875
2010-03-31,15.86328411102295
2010-04-01,16.09416961669922
2010-04-05,16.637432098388672
2010-04-06,17.053936004638672
2010-04-07,16.678178787231445
2010-04-08,16.352214813232422
2010-04-09,16.832101821899414
2010-04-12,16.8049373626709
2010-04-13,17.198801040649414
2010-04-14,17.239547729492188
2010-04-15,17.0131893157959
2010-04-16,16.782299041748047
2010-04-19,16.958860397338867
2010-04-20,17.06298828125
2010-04-21,17.56097984313965
2010-04-22,18.190256118774414
2010-04-23,18.461891174316406
2010-04-26,18.593177795410156
2010-04-27,17.556453704833984
2010-04-28,17.221437454223633
2010-04-29,17.8507137298584
2010-04-30,16.958860397338867
2010-05-03,17.628887176513672
2010-05-04,17.266704559326172
2010-05-05,16.786828994750977
2010-05-06,16.04436683654785
2010-05-07,15.664083480834961
2010-05-10,16.637432098388672
2010-05-11,16.737031936645508
2010-05-12,17.14447784423828
2010-05-13,16.786828994750977
2010-05-14,16.469919204711914
2010-05-17,16.619327545166016
2010-05-18,16.202821731567383
2010-05-19,16.062480926513672
2010-05-20,15.510150909423828
2010-05-21,15.86328411102295
2010-05-24,15.46035385131836
2010-05-25,15.47846508026123
2010-05-26,15.34717845916748
2010-05-27,16.085115432739258
2010-05-28,15.772732734680176
2010-06-01,15.283797264099121
2010-06-02,15.982494354248047
2010-06-03,15.98708724975586
2010-06-04,15.329769134521484
2010-06-07,15.577977180480957
2010-06-08,15.954913139343262
2010-06-09,15.950312614440918
2010-06-10,16.897216796875
2010-06-11,17.218982696533203
2010-06-14,17.632680892944336
2010-06-15,17.85791015625
2010-06-16,17.78896713256836
2010-06-17,18.101539611816406
2010-06-18,18.216449737548828
2010-06-21,17.82573699951172
