Date,QCRH
2010-01-04,7.556662559509277
2010-01-05,7.611621379852295
2010-01-06,7.629940509796143
2010-01-07,7.694056034088135
2010-01-08,7.666579246520996
2010-01-11,8.399345397949219
2010-01-12,7.758176803588867
2010-01-13,7.6757402420043945
2010-01-14,8.765727996826172
2010-01-15,8.820687294006348
2010-01-19,8.637494087219238
2010-01-20,7.85892915725708
2010-01-21,7.5291852951049805
2010-01-22,7.0070881843566895
2010-01-25,8.866485595703125
2010-01-26,8.930597305297852
2010-01-27,8.967240333557129
2010-01-28,8.866485595703125
2010-01-29,8.967240333557129
2010-02-01,8.243632316589355
2010-02-02,7.730697154998779
2010-02-03,8.28027057647705
2010-02-04,7.492546081542969
2010-02-05,7.8680877685546875
2010-02-08,8.014642715454102
2010-02-09,8.664973258972168
2010-02-10,8.399345397949219
2010-02-11,8.014642715454102
2010-02-12,8.243632316589355
2010-02-16,8.152033805847168
2010-02-17,8.17951488494873
2010-02-18,8.472623825073242
2010-02-19,8.701611518859863
2010-02-22,8.637494087219238
2010-02-23,8.637494087219238
2010-02-24,8.152033805847168
2010-02-25,8.152033805847168
2010-02-26,8.152033805847168
2010-03-01,8.152033805847168
2010-03-02,8.28027057647705
2010-03-03,8.216156005859375
2010-03-04,8.152033805847168
2010-03-05,8.161194801330566
2010-03-08,8.490943908691406
2010-03-09,8.866485595703125
2010-03-10,8.225312232971191
2010-03-11,8.12455940246582
2010-03-12,8.106242179870605
2010-03-15,8.106242179870605
2010-03-16,8.106242179870605
2010-03-17,8.014642715454102
2010-03-18,8.170358657836914
2010-03-19,7.904728412628174
2010-03-22,8.042122840881348
2010-03-23,8.18867301940918
2010-03-24,8.197834014892578
2010-03-25,8.133719444274902
2010-03-26,8.152033805847168
2010-03-29,8.032959938049316
2010-03-30,8.069600105285645
2010-03-31,8.152033805847168
2010-04-01,8.17951488494873
2010-04-05,8.032959938049316
2010-04-06,8.060441017150879
2010-04-07,8.014642715454102
2010-04-08,8.078761100769043
2010-04-09,8.884803771972656
2010-04-12,9.232870101928711
2010-04-13,8.710772514343262
2010-04-14,8.17951488494873
2010-04-15,8.17951488494873
2010-04-16,8.216156005859375
2010-04-19,8.18867301940918
2010-04-20,8.884803771972656
2010-04-21,9.251188278198242
2010-04-22,9.333620071411133
2010-04-23,9.617570877075195
2010-04-26,9.800762176513672
2010-04-27,10.945712089538574
2010-04-28,11.220499992370605
2010-04-29,11.257133483886719
2010-04-30,12.090662002563477
2010-05-03,12.475364685058594
2010-05-04,12.356287956237793
2010-05-05,12.411245346069336
2010-05-06,11.705955505371094
2010-05-07,11.870828628540039
2010-05-10,10.615964889526367
2010-05-11,9.956475257873535
2010-05-12,10.185467720031738
2010-05-13,9.553455352783203
2010-05-14,9.516814231872559
2010-05-17,9.535136222839355
2010-05-18,9.333620071411133
2010-05-19,9.342784881591797
2010-05-20,8.976399421691895
2010-05-21,9.278668403625488
2010-05-24,9.278668403625488
2010-05-25,9.104632377624512
2010-05-26,9.187071800231934
2010-05-27,9.251188278198242
2010-05-28,8.930597305297852
2010-06-01,9.287826538085938
2010-06-02,9.59925365447998
2010-06-03,10.28622055053711
2010-06-04,10.130507469177246
2010-06-07,9.663368225097656
2010-06-08,9.16874885559082
2010-06-09,9.031352043151855
2010-06-10,8.829843521118164
2010-06-11,8.994721412658691
2010-06-14,8.930597305297852
2010-06-15,8.930597305297852
2010-06-16,8.56421947479248
2010-06-17,8.601015090942383
2010-06-18,9.014966011047363
2010-06-21,8.96896743774414
2010-06-22,8.96896743774414
2010-06-23,8.96896743774414
2010-06-24,9.189746856689453
2010-06-25,9.36452579498291
2010-06-28,9.52090835571289
2010-06-29,9.52090835571289
2010-06-30,9.07935619354248
2010-07-01,8.702201843261719
2010-07-02,8.867780685424805
2010-07-06,8.840187072753906
2010-07-07,9.106955528259277
2010-07-08,9.014966011047363
2010-07-09,9.12535285949707
2010-07-12,9.060962677001953
2010-07-13,9.401320457458496
2010-07-14,9.014966011047363
2010-07-15,8.904580116271973
2010-07-16,8.87697982788086
2010-07-19,9.254143714904785
2010-07-20,9.336932182312012
2010-07-21,9.263339042663574
2010-07-22,9.346128463745117
2010-07-23,8.959774017333984
2010-07-26,8.987371444702148
2010-07-27,9.033366203308105
2010-07-28,8.92297649383545
2010-07-29,8.867780685424805
2010-07-30,8.987371444702148
2010-08-02,9.162145614624023
2010-08-03,9.318532943725586
2010-08-04,9.070154190063477
2010-08-05,8.748197555541992
2010-08-06,8.830986976623535
2010-08-09,8.702201843261719
2010-08-10,8.628612518310547
2010-08-11,8.628612518310547
2010-08-12,8.610212326049805
2010-08-13,8.766594886779785
2010-08-16,8.702201843261719
2010-08-17,8.794194221496582
2010-08-18,8.766594886779785
2010-08-19,8.89538288116455
2010-08-20,8.794194221496582
2010-08-23,8.803389549255371
2010-08-24,8.830986976623535
2010-08-25,8.66540813446045
2010-08-26,8.66540813446045
2010-08-27,8.784992218017578
2010-08-30,9.051765441894531
2010-08-31,8.996570587158203
2010-09-01,8.766594886779785
2010-09-02,8.950575828552246
2010-09-03,8.840187072753906
2010-09-07,8.830986976623535
2010-09-08,8.830986976623535
2010-09-09,8.711402893066406
2010-09-10,8.509025573730469
2010-09-13,8.555018424987793
2010-09-14,8.509025573730469
2010-09-15,8.453832626342773
2010-09-16,8.453832626342773
2010-09-17,8.591812133789062
2010-09-20,8.591812133789062
2010-09-21,8.380233764648438
2010-09-22,8.27904987335205
2010-09-23,8.334248542785645
2010-09-24,8.371040344238281
2010-09-27,8.325043678283691
