Date,UBSI
2010-01-04,10.973095893859863
2010-01-05,10.670463562011719
2010-01-06,10.764385223388672
2010-01-07,11.087889671325684
2010-01-08,11.291387557983398
2010-01-11,11.046147346496582
2010-01-12,11.145282745361328
2010-01-13,11.17137622833252
2010-01-14,11.437487602233887
2010-01-15,11.70881175994873
2010-01-19,11.724466323852539
2010-01-20,11.400959014892578
2010-01-21,12.021882057189941
2010-01-22,11.792295455932617
2010-01-25,11.64097785949707
2010-01-26,11.395740509033203
2010-01-27,12.486265182495117
2010-01-28,12.637584686279297
2010-01-29,12.992401123046875
2010-02-01,12.65323543548584
2010-02-02,12.402783393859863
2010-02-03,12.267119407653809
2010-02-04,12.079276084899902
2010-02-05,12.350605010986328
2010-02-08,12.121017456054688
2010-02-09,12.235814094543457
2010-02-10,12.209724426269531
2010-02-11,12.287985801696777
2010-02-12,12.397565841674805
2010-02-16,12.877605438232422
2010-02-17,12.919346809387207
2010-02-18,13.107186317443848
2010-02-19,13.002832412719727
2010-02-22,13.044575691223145
2010-02-23,12.924565315246582
2010-02-24,13.117623329162598
2010-02-25,13.055012702941895
2010-02-26,12.846295356750488
2010-03-01,13.028921127319336
2010-03-02,13.07066535949707
2010-03-03,13.03935718536377
2010-03-04,13.185460090637207
2010-03-05,13.947261810302734
2010-03-08,13.748987197875977
2010-03-09,13.722890853881836
2010-03-10,13.94456958770752
2010-03-11,14.013185501098633
2010-03-12,14.277087211608887
2010-03-15,14.160977363586426
2010-03-16,14.461821556091309
2010-03-17,14.42487621307373
2010-03-18,14.514598846435547
2010-03-19,14.546271324157715
2010-03-22,14.778498649597168
2010-03-23,14.688775062561035
2010-03-24,14.261251449584961
2010-03-25,14.314041137695312
2010-03-26,14.1345796585083
2010-03-29,13.902342796325684
2010-03-30,13.918182373046875
2010-03-31,13.839014053344727
2010-04-01,14.145135879516602
2010-04-05,14.345701217651367
2010-04-06,14.75210952758789
2010-04-07,14.773226737976074
2010-04-08,14.91573429107666
2010-04-09,15.23769474029541
2010-04-12,15.306303024291992
2010-04-13,15.443525314331055
2010-04-14,15.834108352661133
2010-04-15,15.84994125366211
2010-04-16,15.570205688476562
2010-04-19,15.765498161315918
2010-04-20,15.834108352661133
2010-04-21,16.124401092529297
2010-04-22,16.64692497253418
2010-04-23,16.64692497253418
2010-04-26,15.871050834655762
2010-04-27,15.411870956420898
2010-04-28,15.49631404876709
2010-04-29,16.340797424316406
2010-04-30,15.32741641998291
2010-05-03,15.596596717834473
2010-05-04,15.132134437561035
2010-05-05,15.05295467376709
2010-05-06,14.53042984008789
2010-05-07,14.345701217651367
2010-05-10,15.047676086425781
2010-05-11,15.337971687316895
2010-05-12,15.78660774230957
2010-05-13,15.971335411071777
2010-05-14,15.681044578552246
2010-05-17,15.73910140991211
2010-05-18,15.506865501403809
2010-05-19,15.32741641998291
2010-05-20,14.488211631774902
2010-05-21,14.678224563598633
2010-05-24,14.192635536193848
2010-05-25,14.171525955200195
2010-05-26,14.203194618225098
2010-05-27,14.609596252441406
2010-05-28,14.208467483520508
2010-06-01,13.807337760925293
2010-06-02,14.197915077209473
2010-06-03,14.377370834350586
2010-06-04,13.2900972366333
2010-06-07,13.617331504821777
2010-06-08,13.680667877197266
2010-06-09,13.440374374389648
2010-06-10,13.776784896850586
2010-06-11,13.68600845336914
2010-06-14,13.696691513061523
2010-06-15,13.974360466003418
2010-06-16,14.107854843139648
2010-06-17,14.17193603515625
2010-06-18,14.177274703979492
2010-06-21,14.118538856506348
2010-06-22,13.803485870361328
2010-06-23,13.5258150100708
2010-06-24,13.285520553588867
2010-06-25,13.54716968536377
2010-06-28,13.47775650024414
2010-06-29,12.975801467895508
2010-06-30,12.783577919006348
2010-07-01,12.84765911102295
2010-07-02,12.548622131347656
2010-07-06,12.473870277404785
2010-07-07,12.81027889251709
2010-07-08,13.136011123657227
2010-07-09,13.509794235229492
2010-07-12,13.248141288757324
2010-07-13,13.969016075134277
2010-07-14,14.075813293457031
2010-07-15,13.862221717834473
2010-07-16,13.098624229431152
2010-07-19,13.061246871948242
2010-07-20,13.10396671295166
2010-07-21,12.586002349853516
2010-07-22,13.258824348449707
2010-07-23,13.680667877197266
2010-07-26,14.150571823120117
2010-07-27,14.519026756286621
2010-07-28,14.182619094848633
2010-07-29,14.081158638000488
2010-07-30,13.632613182067871
2010-08-02,14.091838836669922
2010-08-03,14.006402969360352
2010-08-04,14.054455757141113
2010-08-05,13.824843406677246
2010-08-06,13.669986724853516
2010-08-09,14.21999454498291
2010-08-10,14.1932954788208
2010-08-11,13.589892387390137
2010-08-12,13.184063911437988
2010-08-13,12.895706176757812
2010-08-16,13.055906295776367
2010-08-17,13.178728103637695
2010-08-18,13.344256401062012
2010-08-19,12.708819389343262
2010-08-20,12.730179786682129
2010-08-23,12.270955085754395
2010-08-24,12.319011688232422
2010-08-25,12.388427734375
2010-08-26,12.361729621887207
2010-08-27,12.569985389709473
2010-08-30,12.148136138916016
2010-08-31,12.286972045898438
2010-09-01,12.815618515014648
2010-09-02,12.767559051513672
2010-09-03,12.986486434936523
2010-09-07,12.815618515014648
2010-09-08,12.967022895812988
2010-09-09,13.08598518371582
2010-09-10,13.21036148071289
2010-09-13,13.697030067443848
2010-09-14,13.372580528259277
2010-09-15,13.464512825012207
2010-09-16,13.21036148071289
2010-09-17,13.150873184204102
2010-09-20,13.626733779907227
2010-09-21,13.172510147094727
2010-09-22,12.658802032470703
2010-09-23,12.437094688415527
2010-09-24,13.015687942504883
2010-09-27,13.03731918334961
2010-09-28,13.12924575805664
