Date,ABCB
2010-01-04,6.3018903732299805
2010-01-05,6.3708577156066895
2010-01-06,6.5001726150512695
2010-01-07,6.715693950653076
2010-01-08,6.741558074951172
2010-01-11,6.6898322105407715
2010-01-12,6.681210994720459
2010-01-13,6.750177383422852
2010-01-14,6.896735191345215
2010-01-15,6.982943058013916
2010-01-19,7.4398512840271
2010-01-20,7.64675235748291
2010-01-21,7.758824825286865
2010-01-22,7.810553550720215
2010-01-25,7.905385494232178
2010-01-26,7.931244373321533
2010-01-27,8.112281799316406
2010-01-28,7.939865589141846
2010-01-29,8.051939964294434
2010-02-01,8.060558319091797
2010-02-02,7.974353790283203
2010-02-03,7.974353790283203
2010-02-04,7.974353790283203
2010-02-05,8.069181442260742
2010-02-08,7.974353790283203
2010-02-09,8.017455101013184
2010-02-10,7.9915900230407715
2010-02-11,8.22435474395752
2010-02-12,8.33642864227295
2010-02-16,8.28470230102539
2010-02-17,8.319183349609375
2010-02-18,8.28470230102539
2010-02-19,8.388154029846191
2010-02-22,8.465737342834473
2010-02-23,8.301944732666016
2010-02-24,8.29332447052002
2010-02-25,8.36229133605957
2010-02-26,8.189871788024902
2010-03-01,8.345048904418945
2010-03-02,8.681266784667969
2010-03-03,8.776094436645508
2010-03-04,8.620917320251465
2010-03-05,8.577816009521484
2010-03-08,8.577816009521484
2010-03-09,8.577816009521484
2010-03-10,8.569190979003906
2010-03-11,8.612297058105469
2010-03-12,8.448500633239746
2010-03-15,8.20711612701416
2010-03-16,8.28470230102539
2010-03-17,8.232977867126465
2010-03-18,8.198492050170898
2010-03-19,8.241599082946777
2010-03-22,8.319183349609375
2010-03-23,8.422637939453125
2010-03-24,8.198492050170898
2010-03-25,8.301944732666016
2010-03-26,7.879518985748291
2010-03-29,7.505768299102783
2010-03-30,7.627390384674072
2010-03-31,7.844571590423584
2010-04-01,7.818508625030518
2010-04-05,8.339743614196777
2010-04-06,8.296308517456055
2010-04-07,8.391867637634277
2010-04-08,8.452675819396973
2010-04-09,8.470054626464844
2010-04-12,8.252872467041016
2010-04-13,8.374490737915039
2010-04-14,8.782793998718262
2010-04-15,9.05209732055664
2010-04-16,9.112906455993652
2010-04-19,9.18240737915039
2010-04-20,9.312712669372559
2010-04-21,9.32140064239502
2010-04-22,9.555953979492188
2010-04-23,9.564641952514648
2010-04-26,9.625455856323242
2010-04-27,9.58201789855957
2010-04-28,9.660201072692871
2010-04-29,9.625455856323242
2010-04-30,9.668892860412598
2010-05-03,9.503835678100586
2010-05-04,9.34746265411377
2010-05-05,9.277966499328613
2010-05-06,9.191091537475586
2010-05-07,9.121593475341797
2010-05-10,9.54726791381836
2010-05-11,9.668892860412598
2010-05-12,9.807887077331543
2010-05-13,9.747076988220215
2010-05-14,9.460396766662598
2010-05-17,9.425646781921387
2010-05-18,9.45171070098877
2010-05-19,9.34746265411377
2010-05-20,8.982596397399902
2010-05-21,9.234529495239258
2010-05-24,9.14765739440918
2010-05-25,9.156347274780273
2010-05-26,9.13028335571289
2010-05-27,9.886066436767578
2010-05-28,9.790510177612305
2010-06-01,9.295336723327637
2010-06-02,9.521207809448242
2010-06-03,9.477775573730469
2010-06-04,9.078161239624023
2010-06-07,9.034725189208984
2010-06-08,9.008661270141602
2010-06-09,8.843602180480957
2010-06-10,9.121593475341797
2010-06-11,9.34746265411377
2010-06-14,9.034725189208984
2010-06-15,9.086845397949219
2010-06-16,9.078161239624023
