Date,TCX
2010-01-04,2.759999990463257
2010-01-05,2.799999952316284
2010-01-06,2.759999990463257
2010-01-07,2.799999952316284
2010-01-08,2.759999990463257
2010-01-11,2.759999990463257
2010-01-12,2.759999990463257
2010-01-13,2.7200000286102295
2010-01-14,2.759999990463257
2010-01-15,2.7200000286102295
2010-01-19,2.8399999141693115
2010-01-20,2.8399999141693115
2010-01-21,2.799999952316284
2010-01-22,2.8399999141693115
2010-01-25,2.7200000286102295
2010-01-26,2.680000066757202
2010-01-27,2.759999990463257
2010-01-28,2.7200000286102295
2010-01-29,2.7200000286102295
2010-02-01,2.7200000286102295
2010-02-02,2.680000066757202
2010-02-03,2.759999990463257
2010-02-04,2.640000104904175
2010-02-05,2.7200000286102295
2010-02-08,2.680000066757202
2010-02-09,2.640000104904175
2010-02-10,2.7200000286102295
2010-02-11,2.680000066757202
2010-02-12,2.680000066757202
2010-02-16,2.680000066757202
2010-02-17,3.0799999237060547
2010-02-18,3.7200000286102295
2010-02-19,3.0799999237060547
2010-02-22,3.0
2010-02-23,3.0
2010-02-24,3.1600000858306885
2010-02-25,3.119999885559082
2010-02-26,3.1600000858306885
2010-03-01,3.0399999618530273
2010-03-02,3.0
2010-03-03,3.0
2010-03-04,3.119999885559082
2010-03-05,3.319999933242798
2010-03-08,3.319999933242798
2010-03-09,3.200000047683716
2010-03-10,3.240000009536743
2010-03-11,3.2799999713897705
2010-03-12,3.4800000190734863
2010-03-15,3.5999999046325684
2010-03-16,3.4000000953674316
2010-03-17,3.2799999713897705
2010-03-18,3.319999933242798
2010-03-19,3.359999895095825
2010-03-22,3.359999895095825
2010-03-23,3.319999933242798
2010-03-24,3.2799999713897705
2010-03-25,3.1600000858306885
2010-03-26,3.1600000858306885
2010-03-29,3.1600000858306885
2010-03-30,3.0
2010-03-31,2.8399999141693115
2010-04-01,2.880000114440918
2010-04-05,3.0799999237060547
2010-04-06,3.0799999237060547
2010-04-07,3.0399999618530273
2010-04-08,3.119999885559082
2010-04-09,3.0399999618530273
2010-04-12,3.0399999618530273
2010-04-13,3.0799999237060547
2010-04-14,3.119999885559082
2010-04-15,3.119999885559082
2010-04-16,3.0399999618530273
2010-04-19,3.0799999237060547
2010-04-20,3.0399999618530273
2010-04-21,3.0399999618530273
2010-04-22,3.0799999237060547
2010-04-23,2.9600000381469727
2010-04-26,3.0
2010-04-27,3.0
2010-04-28,3.0
2010-04-29,3.0399999618530273
2010-04-30,3.0399999618530273
2010-05-03,2.9600000381469727
2010-05-04,2.9600000381469727
2010-05-05,2.799999952316284
2010-05-06,2.9200000762939453
2010-05-07,2.799999952316284
2010-05-10,2.8399999141693115
2010-05-11,2.8399999141693115
2010-05-12,3.0
2010-05-13,2.8399999141693115
2010-05-14,2.799999952316284
2010-05-17,2.7200000286102295
2010-05-18,2.7200000286102295
2010-05-19,2.759999990463257
2010-05-20,2.640000104904175
2010-05-21,2.5999999046325684
2010-05-24,2.5999999046325684
