Date,NEE
2010-01-04,8.403911590576172
2010-01-05,8.321846008300781
2010-01-06,8.403911590576172
2010-01-07,8.380237579345703
2010-01-08,8.30764102935791
2010-01-11,8.301326751708984
2010-01-12,8.09931755065918
2010-01-13,8.127730369567871
2010-01-14,7.89257287979126
2010-01-15,7.97779655456543
2010-01-19,8.031457901000977
2010-01-20,7.887842655181885
2010-01-21,7.737911701202393
2010-01-22,7.597452640533447
2010-01-25,7.535901069641113
2010-01-26,7.767897605895996
2010-01-27,7.853118896484375
2010-01-28,7.734757423400879
2010-01-29,7.695298194885254
2010-02-01,7.769476890563965
2010-02-02,7.82471227645874
2010-02-03,7.796304225921631
2010-02-04,7.578514575958252
2010-02-05,7.48066520690918
2010-02-08,7.400177001953125
2010-02-09,7.332314968109131
2010-02-10,7.247093200683594
2010-02-11,7.253405570983887
2010-02-12,7.19185209274292
2010-02-16,7.319689750671387
2010-02-17,7.223418235778809
2010-02-18,7.218684673309326
2010-02-19,7.398597717285156
2010-02-22,7.389128684997559
2010-02-23,7.3859710693359375
2010-02-24,7.507213115692139
2010-02-25,7.478495121002197
2010-02-26,7.397139549255371
2010-03-01,7.5582594871521
2010-03-02,7.527951240539551
2010-03-03,7.486472129821777
2010-03-04,7.537519454956055
2010-03-05,7.601329803466797
2010-03-08,7.617282390594482
2010-03-09,7.500829696655273
2010-03-10,7.492852687835693
2010-03-11,7.556663990020752
2010-03-12,7.5088067054748535
2010-03-15,7.547093868255615
2010-03-16,7.633235931396484
2010-03-17,7.660353660583496
2010-03-18,7.652379035949707
2010-03-19,7.6826887130737305
2010-03-22,7.631641864776611
2010-03-23,7.62844705581665
2010-03-24,7.540710926055908
2010-03-25,7.5694260597229
2010-03-26,7.62685489654541
2010-03-29,7.749687671661377
2010-03-30,7.602926254272461
2010-03-31,7.709810733795166
2010-04-01,7.791164398193359
2010-04-05,7.811900615692139
2010-04-06,7.84699821472168
2010-04-07,7.832638263702393
2010-04-08,7.823070049285889
2010-04-09,7.9299492835998535
2010-04-12,7.934741497039795
2010-04-13,7.894855499267578
2010-04-14,7.752878189086914
2010-04-15,7.789567470550537
2010-04-16,7.725759983062744
2010-04-19,7.722567081451416
2010-04-20,7.984188079833984
2010-04-21,8.035237312316895
2010-04-22,8.119786262512207
2010-04-23,8.183595657348633
2010-04-26,8.145306587219238
2010-04-27,7.979403018951416
2010-04-28,8.095853805541992
2010-04-29,8.086282730102539
2010-04-30,8.303235054016113
2010-05-03,8.400548934936523
2010-05-04,8.207524299621582
2010-05-05,8.126168251037598
2010-05-06,8.146903038024902
2010-05-07,8.170835494995117
2010-05-10,8.3941650390625
2010-05-11,8.400548934936523
2010-05-12,8.434048652648926
2010-05-13,8.430853843688965
2010-05-14,8.408523559570312
2010-05-17,8.3941650390625
2010-05-18,8.347904205322266
2010-05-19,8.29844856262207
2010-05-20,8.000142097473145
2010-05-21,8.070333480834961
2010-05-24,8.024067878723145
2010-05-25,7.901237964630127
2010-05-26,7.728950500488281
2010-05-27,7.941117763519287
2010-05-28,7.965046405792236
2010-06-01,7.8071160316467285
2010-06-02,8.00374698638916
2010-06-03,8.089168548583984
2010-06-04,7.837739944458008
2010-06-07,7.902209758758545
2010-06-08,7.88608980178833
2010-06-09,7.800673484802246
2010-06-10,8.106895446777344
2010-06-11,8.05854320526123
2010-06-14,8.139127731323242
2010-06-15,8.26967716217041
2010-06-16,8.329310417175293
2010-06-17,8.440518379211426
2010-06-18,8.463086128234863
2010-06-21,8.36960506439209
2010-06-22,8.172974586486816
2010-06-23,8.090779304504395
2010-06-24,7.990851402282715
2010-06-25,7.932831287384033
2010-06-28,7.92799711227417
2010-06-29,7.795832633972168
2010-06-30,7.858694076538086
2010-07-01,7.889312744140625
2010-07-02,7.890923023223877
2010-07-06,7.9618401527404785
2010-07-07,8.187481880187988
2010-07-08,8.219714164733887
2010-07-09,8.289018630981445
2010-07-12,8.366382598876953
2010-07-13,8.426012992858887
2010-07-14,8.397002220153809
2010-07-15,8.532386779785156
2010-07-16,8.479199409484863
2010-07-19,8.504986763000488
2010-07-20,8.493706703186035
2010-07-21,8.400225639343262
2010-07-22,8.51626968383789
2010-07-23,8.511434555053711
2010-07-26,8.514659881591797
2010-07-27,8.670989990234375
2010-07-28,8.553339004516602
2010-07-29,8.461474418640137
2010-07-30,8.429239273071289
2010-08-02,8.70483684539795
2010-08-03,8.661321640014648
2010-08-04,8.638762474060059
2010-08-05,8.583962440490723
2010-08-06,8.656488418579102
2010-08-09,8.619416236877441
2010-08-10,8.662934303283691
2010-08-11,8.490482330322266
2010-08-12,8.390557289123535
2010-08-13,8.384108543395996
2010-08-16,8.406671524047852
2010-08-17,8.456635475158691
2010-08-18,8.469529151916504
2010-08-19,8.35509967803955
2010-08-20,8.588796615600586
2010-08-23,8.658097267150879
2010-08-24,8.749964714050293
2010-08-25,8.665380477905273
2010-08-26,8.62959098815918
2010-08-27,8.7662353515625
2010-08-30,8.663753509521484
2010-08-31,8.740209579467773
2010-09-01,8.884984970092773
2010-09-02,8.888233184814453
2010-09-03,8.888233184814453
2010-09-07,8.831303596496582
2010-09-08,8.828047752380371
2010-09-09,8.883354187011719
2010-09-10,8.972825050354004
2010-09-13,9.019996643066406
2010-09-14,8.950047492980957
2010-09-15,8.743461608886719
2010-09-16,8.762981414794922
2010-09-17,8.745083808898926
2010-09-20,8.865463256835938
2010-09-21,8.798771858215332
2010-09-22,8.834554672241211
2010-09-23,8.71092700958252
2010-09-24,8.865463256835938
2010-09-27,8.89311408996582
