Date,ATKR
2016-06-10,15.5897216796875
2016-06-13,15.8333101272583
2016-06-14,15.657925605773926
2016-06-15,15.716387748718262
2016-06-16,15.687156677246094
2016-06-17,15.5897216796875
2016-06-20,16.096385955810547
2016-06-21,15.745617866516113
2016-06-22,15.979464530944824
2016-06-23,16.32048797607422
2016-06-24,15.657925605773926
2016-06-27,15.424078941345215
2016-06-28,15.62869644165039
2016-06-29,15.638439178466797
2016-06-30,15.5897216796875
2016-07-01,16.417922973632812
2016-07-05,15.969717979431152
2016-07-06,15.570234298706055
2016-07-07,15.5897216796875
2016-07-08,15.5897216796875
2016-07-11,16.252283096313477
2016-07-12,16.495874404907227
2016-07-13,15.95997428894043
2016-07-14,16.12561798095703
2016-07-15,16.359468460083008
2016-07-18,16.573823928833008
2016-07-19,16.51535987854004
2016-07-20,16.164592742919922
2016-07-21,16.164592742919922
2016-07-22,16.271772384643555
2016-07-25,16.115877151489258
2016-07-26,15.804078102111816
2016-07-27,15.784591674804688
2016-07-28,15.414338111877441
2016-07-29,15.326643943786621
2016-08-01,14.907670974731445
2016-08-02,15.122029304504395
2016-08-03,15.735873222351074
2016-08-04,15.989206314086914
2016-08-05,16.20356559753418
2016-08-08,16.914846420288086
2016-08-09,17.21689796447754
2016-08-10,17.051258087158203
2016-08-11,17.07074737548828
2016-08-12,17.022024154663086
2016-08-15,17.197412490844727
2016-08-16,17.33382225036621
2016-08-17,17.099973678588867
2016-08-18,16.983051300048828
2016-08-19,16.90510368347168
2016-08-22,17.59689712524414
2016-08-23,17.353307723999023
2016-08-24,16.944074630737305
2016-08-25,17.051258087158203
2016-08-26,16.963565826416016
2016-08-29,17.031768798828125
2016-08-30,17.411771774291992
2016-08-31,17.4215145111084
2016-09-01,17.479976654052734
2016-09-02,17.626129150390625
2016-09-06,17.68459129333496
2016-09-07,17.577409744262695
2016-09-08,17.548179626464844
2016-09-09,17.246129989624023
2016-09-12,17.402027130126953
2016-09-13,17.168180465698242
2016-09-14,17.411771774291992
2016-09-15,17.548179626464844
2016-09-16,17.5286922454834
2016-09-19,18.006126403808594
2016-09-20,18.006126403808594
2016-09-21,18.103565216064453
2016-09-22,18.123050689697266
2016-09-23,18.152278900146484
2016-09-26,17.470230102539062
2016-09-27,17.616384506225586
2016-09-28,17.908693313598633
2016-09-29,17.83074188232422
2016-09-30,18.259462356567383
2016-10-03,18.62972068786621
2016-10-04,18.551769256591797
2016-10-05,18.47381591796875
2016-10-06,18.58099937438965
2016-10-07,18.75638198852539
2016-10-10,18.83432960510254
2016-10-11,18.503049850463867
2016-10-12,18.542024612426758
2016-10-13,18.688180923461914
2016-10-14,18.775869369506836
2016-10-17,18.863561630249023
2016-10-18,18.902536392211914
2016-10-19,18.746641159057617
2016-10-20,19.048690795898438
2016-10-21,18.75638198852539
2016-10-24,18.941511154174805
2016-10-25,18.62972068786621
2016-10-26,18.522539138793945
2016-10-27,18.444589614868164
2016-10-28,18.551769256591797
2016-10-31,18.317920684814453
2016-11-01,18.006126403808594
2016-11-02,17.86971664428711
2016-11-03,17.957408905029297
