Date,MCB
2017-11-08,37.133506774902344
2017-11-09,36.94390106201172
2017-11-10,36.913963317871094
2017-11-13,37.86200714111328
2017-11-14,37.02373504638672
2017-11-15,38.66036605834961
2017-11-16,39.059539794921875
2017-11-17,39.50861740112305
2017-11-20,41.23506164550781
2017-11-21,41.9835205078125
2017-11-22,41.85378646850586
2017-11-24,42.0633544921875
2017-11-27,42.452552795410156
2017-11-28,42.40265655517578
2017-11-29,43.560272216796875
2017-11-30,43.6700439453125
2017-12-01,43.85965347290039
2017-12-04,44.56819534301758
2017-12-05,44.48836135864258
2017-12-06,44.54823684692383
2017-12-07,45.9154167175293
2017-12-08,47.16284942626953
2017-12-11,47.72169876098633
2017-12-12,49.927154541015625
2017-12-13,46.06511306762695
2017-12-14,43.37065887451172
2017-12-15,44.45841979980469
2017-12-18,47.39237976074219
2017-12-19,44.40852355957031
2017-12-20,45.65595245361328
2017-12-21,45.40646743774414
2017-12-22,43.09123611450195
2017-12-26,43.660064697265625
2017-12-27,43.33074188232422
2017-12-28,43.02138137817383
2017-12-29,42.01345443725586
2018-01-02,45.39649200439453
2018-01-03,45.117061614990234
2018-01-04,45.89546203613281
2018-01-05,45.72581100463867
2018-01-08,45.486305236816406
2018-01-09,45.57611846923828
2018-01-10,45.147003173828125
2018-01-11,44.767784118652344
2018-01-12,44.857601165771484
2018-01-16,44.727867126464844
2018-01-17,43.96942901611328
2018-01-18,42.91160583496094
2018-01-19,42.84175109863281
2018-01-22,43.27086639404297
2018-01-23,44.119117736816406
2018-01-24,44.119117736816406
2018-01-25,43.560272216796875
2018-01-26,43.0712776184082
2018-01-29,43.410579681396484
2018-01-30,44.45841979980469
2018-01-31,47.39237976074219
2018-02-01,47.941246032714844
2018-02-02,46.60400390625
2018-02-05,46.1249885559082
2018-02-06,45.186920166015625
2018-02-07,44.96737289428711
2018-02-08,44.81768035888672
2018-02-09,44.60811233520508
2018-02-12,45.416446685791016
2018-02-13,44.90749740600586
2018-02-14,45.097103118896484
2018-02-15,45.0372314453125
2018-02-16,45.566139221191406
2018-02-20,45.356571197509766
2018-02-21,45.476322174072266
2018-02-22,44.857601165771484
2018-02-23,45.166961669921875
2018-02-26,45.077144622802734
2018-02-27,44.957393646240234
2018-02-28,44.32868576049805
2018-03-01,44.54823684692383
2018-03-02,45.206878662109375
2018-03-05,46.40441131591797
2018-03-06,46.334556579589844
2018-03-07,46.62396240234375
2018-03-08,46.10503005981445
2018-03-09,46.693817138671875
2018-03-12,44.46840286254883
2018-03-13,45.326629638671875
2018-03-14,43.999366760253906
2018-03-15,43.600189208984375
2018-03-16,43.789798736572266
