Date,ACIC
2010-01-04,3.0428974628448486
2010-01-05,3.0428974628448486
2010-01-06,3.0428974628448486
2010-01-07,3.0428974628448486
2010-01-08,2.890751361846924
2010-01-11,2.8527159690856934
2010-01-12,2.9668240547180176
2010-01-13,2.9668240547180176
2010-01-14,2.9668240547180176
2010-01-15,2.9668240547180176
2010-01-19,2.9668240547180176
2010-01-20,2.9668240547180176
2010-01-21,2.9668240547180176
2010-01-22,2.9668240547180176
2010-01-25,2.8527159690856934
2010-01-26,2.700571060180664
2010-01-27,2.700571060180664
2010-01-28,2.8527159690856934
2010-01-29,3.080932855606079
2010-02-01,3.0428974628448486
2010-02-02,3.0428974628448486
2010-02-03,3.0428974628448486
2010-02-04,3.0428974628448486
2010-02-05,3.0428974628448486
2010-02-08,3.6134390830993652
2010-02-09,3.0428974628448486
2010-02-10,3.0428974628448486
2010-02-11,3.0428974628448486
2010-02-12,3.0428974628448486
2010-02-16,3.0428974628448486
2010-02-17,3.0428974628448486
2010-02-18,3.0428974628448486
2010-02-19,3.0428974628448486
2010-02-22,3.0428974628448486
2010-02-23,3.0428974628448486
2010-02-24,3.0428974628448486
2010-02-25,3.0428974628448486
2010-02-26,3.0428974628448486
2010-03-01,3.0428974628448486
2010-03-02,3.0428974628448486
2010-03-03,3.0428974628448486
2010-03-04,2.8527159690856934
2010-03-05,2.8527159690856934
2010-03-08,2.6625349521636963
2010-03-09,2.6625349521636963
2010-03-10,2.6625349521636963
2010-03-11,2.6625349521636963
2010-03-12,2.6625349521636963
2010-03-15,2.472353458404541
2010-03-16,2.472353458404541
2010-03-17,2.472353458404541
2010-03-18,2.472353458404541
2010-03-19,2.472353458404541
2010-03-22,2.6625349521636963
2010-03-23,2.6625349521636963
2010-03-24,2.6625349521636963
2010-03-25,2.6625349521636963
2010-03-26,2.6625349521636963
2010-03-29,2.701122283935547
2010-03-30,2.701122283935547
2010-03-31,2.701122283935547
2010-04-01,2.701122283935547
2010-04-05,2.701122283935547
2010-04-06,2.701122283935547
2010-04-07,2.701122283935547
