Date,FG
2022-11-22,15.605599403381348
2022-11-23,23.91615867614746
2022-11-25,23.29193687438965
2022-11-28,21.89441680908203
2022-11-29,20.496904373168945
2022-11-30,21.419261932373047
2022-12-01,17.822986602783203
2022-12-02,17.934789657592773
2022-12-05,17.990690231323242
2022-12-06,18.167709350585938
2022-12-07,17.748451232910156
2022-12-08,16.99379539489746
2022-12-09,17.720500946044922
2022-12-12,18.46584701538086
2022-12-13,18.354042053222656
2022-12-14,18.922367095947266
2022-12-15,18.40062713623047
2022-12-16,18.22360610961914
2022-12-19,18.326093673706055
2022-12-20,18.60559844970703
2022-12-21,18.857152938842773
2022-12-22,18.55901336669922
2022-12-23,18.84783172607422
2022-12-27,20.142864227294922
2022-12-28,18.55901336669922
2022-12-29,18.75466537475586
2022-12-30,18.642866134643555
2023-01-03,18.69876480102539
2023-01-04,18.586963653564453
2023-01-05,18.586963653564453
2023-01-06,18.633548736572266
2023-01-09,18.773298263549805
2023-01-10,18.680131912231445
2023-01-11,18.866464614868164
2023-01-12,18.568330764770508
2023-01-13,19.547096252441406
2023-01-17,19.848255157470703
2023-01-18,19.4623966217041
2023-01-19,19.490629196166992
2023-01-20,19.735321044921875
2023-01-23,19.763551712036133
2023-01-24,19.96118927001953
2023-01-25,20.083538055419922
2023-01-26,20.215293884277344
2023-01-27,19.94236946105957
2023-01-30,19.79178810119629
2023-01-31,20.196470260620117
2023-02-01,20.29999542236328
2023-02-02,20.657623291015625
2023-02-03,20.469398498535156
2023-02-06,20.375280380249023
2023-02-07,20.234113693237305
2023-02-08,20.356460571289062
2023-02-09,20.58233070373535
2023-02-10,22.41751480102539
2023-02-13,21.965782165527344
2023-02-14,21.63638687133789
2023-02-15,21.75873374938965
2023-02-16,20.450571060180664
2023-02-17,20.412931442260742
2023-02-21,19.114179611206055
2023-02-22,19.45298194885254
2023-02-23,19.914133071899414
2023-02-24,19.79178810119629
2023-02-27,19.509449005126953
2023-02-28,19.17064666748047
2023-03-01,19.189468383789062
2023-03-02,19.33064079284668
2023-03-03,19.236528396606445
2023-03-06,18.370695114135742
2023-03-07,18.333045959472656
2023-03-08,18.54950523376465
2023-03-09,17.937776565551758
2023-03-10,16.704910278320312
2023-03-13,16.987245559692383
2023-03-14,17.09076690673828
2023-03-15,16.215524673461914
2023-03-16,15.744963645935059
2023-03-17,14.737963676452637
2023-03-20,14.879134178161621
2023-03-21,15.688498497009277
2023-03-22,15.424982070922852
2023-03-23,15.81084156036377
2023-03-24,16.413162231445312
2023-03-27,17.297815322875977
2023-03-28,16.47903823852539
2023-03-29,16.676677703857422
2023-03-30,16.883724212646484
2023-03-31,17.05312728881836
2023-04-03,16.789608001708984
2023-04-04,16.610795974731445
2023-04-05,16.629621505737305
2023-04-06,16.5543270111084
2023-04-10,16.639028549194336
2023-04-11,17.26017189025879
2023-04-12,17.30722427368164
2023-04-13,17.30722427368164
2023-04-14,17.297815322875977
2023-04-17,17.58956527709961
2023-04-18,17.5142765045166
2023-04-19,17.702497482299805
2023-04-20,17.68367576599121
2023-04-21,17.853078842163086
2023-04-24,17.72132110595703
2023-04-25,16.733144760131836
2023-04-26,16.403749465942383
2023-04-27,16.629621505737305
2023-04-28,17.25075912475586
2023-05-01,17.22252655029297
2023-05-02,17.08135986328125
2023-05-03,16.987245559692383
2023-05-04,14.050945281982422
2023-05-05,15.170882225036621
2023-05-08,15.744963645935059
2023-05-09,15.349691390991211
2023-05-10,15.763790130615234
2023-05-11,16.00847816467285
2023-05-12,16.4508056640625
2023-05-15,16.91195297241211
2023-05-16,17.18488311767578
2023-05-17,17.49544906616211
2023-05-18,18.285993576049805
2023-05-19,18.77537727355957
2023-05-22,19.17064666748047
2023-05-23,19.25534439086914
2023-05-24,19.095359802246094
2023-05-25,18.878896713256836
2023-05-26,18.82243537902832
2023-05-30,19.208293914794922
2023-05-31,19.4623966217041
2023-06-01,19.085948944091797
2023-06-02,20.271759033203125
2023-06-05,19.99883460998535
2023-06-06,19.9517822265625
2023-06-07,21.071714401245117
2023-06-08,20.95878028869629
2023-06-09,21.61756134033203
2023-06-12,20.977602005004883
2023-06-13,21.259937286376953
2023-06-14,20.892898559570312
2023-06-15,20.45604705810547
2023-06-16,20.133161544799805
2023-06-20,20.3610782623291
2023-06-21,20.304100036621094
2023-06-22,20.2186336517334
2023-06-23,19.743791580200195
2023-06-26,19.76278305053711
2023-06-27,21.557674407958984
2023-06-28,22.269933700561523
2023-06-29,23.523509979248047
2023-06-30,23.533002853393555
2023-07-03,23.058162689208984
2023-07-05,22.573829650878906
2023-07-06,21.899559020996094
2023-07-07,22.52634620666504
2023-07-10,22.82074546813965
2023-07-11,23.086652755737305
2023-07-12,23.238601684570312
2023-07-13,23.086652755737305
2023-07-14,22.583324432373047
2023-07-17,23.419042587280273
2023-07-18,23.941360473632812
2023-07-19,23.988849639892578
2023-07-20,24.0648193359375
2023-07-21,23.99834632873535
2023-07-24,24.32123374938965
2023-07-25,24.32123374938965
2023-07-26,24.46368408203125
2023-07-27,25.03349494934082
2023-07-28,25.26141929626465
2023-07-31,24.881546020507812
2023-08-01,25.137958526611328
2023-08-02,24.97650909423828
2023-08-03,25.43235969543457
2023-08-04,26.144617080688477
2023-08-07,26.230087280273438
2023-08-08,26.71442222595215
2023-08-09,25.73625373840332
2023-08-10,26.163610458374023
2023-08-11,28.347867965698242
2023-08-14,29.212072372436523
2023-08-15,28.414344787597656
2023-08-16,27.759063720703125
2023-08-17,27.84453582763672
2023-08-18,27.873027801513672
2023-08-21,26.695432662963867
2023-08-22,26.325050354003906
2023-08-23,27.122785568237305
2023-08-24,27.474163055419922
2023-08-25,26.581464767456055
2023-08-28,26.74291229248047
2023-08-29,26.90435791015625
2023-08-30,27.825546264648438
2023-08-31,26.885364532470703
2023-09-01,26.48649787902832
2023-09-05,25.593801498413086
2023-09-06,25.270915985107422
2023-09-07,24.948020935058594
2023-09-08,25.54631805419922
2023-09-11,26.078136444091797
2023-09-12,26.420021057128906
2023-09-13,25.926189422607422
2023-09-14,26.586301803588867
2023-09-15,26.89244270324707
2023-09-18,27.265548706054688
2023-09-19,26.882875442504883
2023-09-20,26.318431854248047
2023-09-21,26.002723693847656
2023-09-22,27.609954833984375
2023-09-25,27.84912872314453
