Date,ODC
2010-01-04,5.20853853225708
2010-01-05,5.0813422203063965
2010-01-06,5.045466423034668
2010-01-07,5.1237406730651855
2010-01-08,5.19223165512085
2010-01-11,5.234630107879639
2010-01-12,5.250937461853027
2010-01-13,5.104170799255371
2010-01-14,5.0846028327941895
2010-01-15,5.1237406730651855
2010-01-19,5.113956451416016
2010-01-20,5.18244743347168
2010-01-21,5.100911617279053
2010-01-22,5.100911617279053
2010-01-25,5.175923824310303
2010-01-26,5.250937461853027
2010-01-27,5.228106498718262
2010-01-28,5.0813422203063965
2010-01-29,5.179187297821045
2010-02-01,5.195493698120117
2010-02-02,5.18244743347168
2010-02-03,5.120480537414551
2010-02-04,5.038941860198975
2010-02-05,5.045466423034668
2010-02-08,4.9900221824646
2010-02-09,5.156355381011963
2010-02-10,5.159617900848389
2010-02-11,5.312906742095947
2010-02-12,5.283549785614014
2010-02-16,5.299859523773193
2010-02-17,5.33936071395874
2010-02-18,5.507245063781738
2010-02-19,5.5368733406066895
2010-02-22,5.359112739562988
2010-02-23,5.329485893249512
2010-02-24,5.418367385864258
2010-02-25,5.566499710083008
2010-02-26,5.332776069641113
2010-03-01,5.424950122833252
2010-03-02,5.513827800750732
2010-03-03,5.59612512588501
2010-03-04,5.681713581085205
2010-03-05,5.796928882598877
2010-03-08,5.912143707275391
2010-03-09,5.892390251159668
2010-03-10,5.941766738891602
2010-03-11,5.9977288246154785
2010-03-12,5.91872501373291
2010-03-15,6.119528293609619
2010-03-16,6.14586067199707
2010-03-17,6.103066921234131
2010-03-18,6.132694244384766
2010-03-19,6.238032341003418
2010-03-22,6.15902853012085
2010-03-23,6.317038536071777
2010-03-24,6.297286033630371
2010-03-25,6.3729987144470215
2010-03-26,6.284117698669434
2010-03-29,6.415792942047119
2010-03-30,6.494797229766846
2010-03-31,6.36312198638916
2010-04-01,6.336788654327393
2010-04-05,6.297286033630371
2010-04-06,6.563926696777344
2010-04-07,6.567218780517578
