Date,HUN
2010-01-04,7.123458385467529
2010-01-05,7.43790864944458
2010-01-06,7.214166164398193
2010-01-07,7.298826217651367
2010-01-08,7.413722038269043
2010-01-11,7.341153144836426
2010-01-12,7.2746357917785645
2010-01-13,7.419767379760742
2010-01-14,7.498380661010742
2010-01-15,7.443953514099121
2010-01-19,7.613275527954102
2010-01-20,7.667697429656982
2010-01-21,7.5649003982543945
2010-01-22,7.316967964172363
2010-01-25,7.480238914489746
2010-01-26,7.486284255981445
2010-01-27,7.570944786071777
2010-01-28,7.4016242027282715
2010-01-29,7.371390342712402
2010-02-01,7.5830397605896
2010-02-02,7.55885124206543
2010-02-03,7.534660339355469
2010-02-04,6.966238498687744
2010-02-05,6.94204568862915
2010-02-08,6.827150344848633
2010-02-09,7.141600131988525
2010-02-10,6.917858123779297
2010-02-11,7.177883148193359
2010-02-12,7.4016242027282715
2010-02-16,7.419767379760742
2010-02-17,7.365342140197754
2010-02-18,7.480238914489746
2010-02-19,7.9579596519470215
2010-02-22,8.471957206726074
2010-02-23,8.163556098937988
2010-02-24,8.447772979736328
2010-02-25,8.465910911560059
2010-02-26,8.302640914916992
2010-03-01,8.308686256408691
2010-03-02,8.230072975158691
2010-03-03,8.054712295532227
2010-03-04,8.090993881225586
2010-03-05,8.326827049255371
2010-03-08,8.260313034057617
2010-03-09,8.078898429870605
2010-03-10,8.175649642944336
2010-03-11,8.193929672241211
2010-03-12,8.224387168884277
2010-03-15,8.084270477294922
2010-03-16,8.157373428344727
2010-03-17,8.187835693359375
2010-03-18,8.157373428344727
2010-03-19,7.779665470123291
2010-03-22,7.834489822387695
2010-03-23,8.072083473205566
2010-03-24,8.102546691894531
2010-03-25,7.828402519226074
2010-03-26,7.7370171546936035
2010-03-29,7.676095008850098
2010-03-30,7.529885768890381
2010-03-31,7.341026782989502
2010-04-01,7.5237932205200195
2010-04-05,7.743111610412598
2010-04-06,7.834489822387695
2010-04-07,7.706556797027588
2010-04-08,7.700466156005859
2010-04-09,7.694372653961182
2010-04-12,7.6456379890441895
2010-04-13,7.566439628601074
2010-04-14,7.633450508117676
2010-04-15,7.609082221984863
2010-04-16,7.353211879730225
2010-04-19,7.133896350860596
2010-04-20,7.176538944244385
2010-04-21,7.103434085845947
2010-04-22,7.176538944244385
2010-04-23,7.255736351013184
2010-04-26,7.182631015777588
2010-04-27,6.780553817749023
2010-04-28,6.871933937072754
2010-04-29,7.133896350860596
2010-04-30,6.951134204864502
2010-05-03,7.0486063957214355
2010-05-04,6.664801597595215
2010-05-05,6.42720890045166
2010-05-06,6.122600555419922
2010-05-07,6.043402194976807
2010-05-10,6.561234474182129
2010-05-11,6.25662899017334
2010-05-12,6.311458110809326
2010-05-13,6.378469467163086
2010-05-14,6.012943267822266
2010-05-17,5.8301777839660645
2010-05-18,5.574307441711426
2010-05-19,5.805810451507568
2010-05-20,5.3123459815979
2010-05-21,5.4829254150390625
2010-05-24,5.208779811859131
2010-05-25,5.592585563659668
2010-05-26,5.7936248779296875
2010-05-27,6.183521270751953
2010-05-28,6.079954624176025
2010-06-01,5.842360973358154
2010-06-02,6.104325771331787
2010-06-03,6.006848335266113
2010-06-04,5.665688991546631
