Date,WEC
2010-01-04,14.836204528808594
2010-01-05,14.642280578613281
2010-01-06,14.791446685791016
2010-01-07,14.761616706848145
2010-01-08,14.848124504089355
2010-01-11,15.068894386291504
2010-01-12,15.006246566772461
2010-01-13,15.107681274414062
2010-01-14,15.071885108947754
2010-01-15,15.000279426574707
2010-01-19,15.128561019897461
2010-01-20,15.07486629486084
2010-01-21,14.967467308044434
2010-01-22,14.62437629699707
2010-01-25,14.713878631591797
2010-01-26,14.618417739868164
2010-01-27,14.603495597839355
2010-01-28,14.588576316833496
2010-01-29,14.600508689880371
2010-02-01,14.657194137573242
2010-02-02,14.797408103942871
2010-02-03,14.639297485351562
2010-02-04,14.373779296875
2010-02-05,14.516976356506348
2010-02-08,14.352890968322754
2010-02-09,14.349907875061035
2010-02-10,14.361948013305664
2010-02-11,14.521385192871094
2010-02-12,14.401050567626953
2010-02-16,14.677820205688477
2010-02-17,14.638713836669922
2010-02-18,14.710918426513672
2010-02-19,14.981663703918457
2010-02-22,14.93955135345459
2010-02-23,14.771080017089844
2010-02-24,14.704901695251465
2010-02-25,14.63570785522461
2010-02-26,14.5695219039917
2010-03-01,14.834253311157227
2010-03-02,15.020774841308594
2010-03-03,14.996713638305664
2010-03-04,14.960614204406738
2010-03-05,15.023782730102539
2010-03-08,15.059880256652832
2010-03-09,14.999716758728027
2010-03-10,15.005725860595703
2010-03-11,15.08395004272461
2010-03-12,15.038832664489746
2010-03-15,15.105010032653809
2010-03-16,15.267462730407715
2010-03-17,15.399832725524902
2010-03-18,15.351701736450195
2010-03-19,15.210308074951172
2010-03-22,15.108013153076172
2010-03-23,15.144118309020996
2010-03-24,15.008739471435547
2010-03-25,14.921500205993652
2010-03-26,14.915484428405762
2010-03-29,14.954594612121582
2010-03-30,14.879380226135254
2010-03-31,14.86434268951416
2010-04-01,15.01475715637207
2010-04-05,15.168184280395508
2010-04-06,15.315596580505371
2010-04-07,15.19526195526123
2010-04-08,15.095985412597656
2010-04-09,15.186238288879395
2010-04-12,15.29453182220459
2010-04-13,15.33063793182373
2010-04-14,15.453983306884766
2010-04-15,15.32462215423584
2010-04-16,15.210308074951172
2010-04-19,15.273475646972656
2010-04-20,15.456990242004395
2010-04-21,15.541220664978027
2010-04-22,15.589360237121582
2010-04-23,15.637490272521973
2010-04-26,15.59837818145752
2010-04-27,15.306571960449219
2010-04-28,15.342671394348145
2010-04-29,15.70067024230957
2010-04-30,15.796932220458984
2010-05-03,16.076711654663086
2010-05-04,15.935321807861328
2010-05-05,15.821000099182129
2010-05-06,15.183233261108398
2010-05-07,15.095985412597656
2010-05-10,15.592368125915527
2010-05-11,15.694646835327148
2010-05-12,15.73405933380127
2010-05-13,15.54306411743164
2010-05-14,15.421801567077637
2010-05-17,15.506696701049805
2010-05-18,15.36723804473877
2010-05-19,15.342985153198242
2010-05-20,14.800329208374023
2010-05-21,14.766976356506348
2010-05-24,14.68209457397461
2010-05-25,14.615397453308105
2010-05-26,14.651775360107422
2010-05-27,14.851861953735352
2010-05-28,14.854893684387207
2010-06-01,14.64571762084961
2010-06-02,14.909455299377441
2010-06-03,14.930685043334961
2010-06-04,14.579018592834473
2010-06-07,14.44865894317627
2010-06-08,14.715442657470703
2010-06-09,14.551737785339355
2010-06-10,14.985252380371094
2010-06-11,15.067108154296875
2010-06-14,15.048916816711426
2010-06-15,15.342985153198242
2010-06-16,15.52487850189209
2010-06-17,15.75528335571289
2010-06-18,15.694646835327148
