Date,OSBC
2010-01-04,6.399972438812256
2010-01-05,6.26243782043457
2010-01-06,6.16157865524292
2010-01-07,6.390803337097168
2010-01-08,6.601691722869873
2010-01-11,6.537508964538574
2010-01-12,6.41831111907959
2010-01-13,6.399972438812256
2010-01-14,6.510000228881836
2010-01-15,6.510000228881836
2010-01-19,6.41831111907959
2010-01-20,6.28077507019043
2010-01-21,6.234930515289307
2010-01-22,6.189085960388184
2010-01-25,6.216592788696289
2010-01-26,5.9598588943481445
2010-01-27,5.9598588943481445
2010-01-28,5.758143424987793
2010-01-29,5.428059101104736
2010-02-01,5.3088603019714355
2010-02-02,5.17132568359375
2010-02-03,5.666451930999756
2010-02-04,5.5839314460754395
2010-02-05,5.8131561279296875
2010-02-08,5.767312049865723
2010-02-09,5.776480674743652
2010-02-10,5.776480674743652
2010-02-11,5.941522121429443
2010-02-12,6.143240451812744
2010-02-16,6.225762844085693
2010-02-17,6.234930515289307
2010-02-18,6.344958782196045
2010-02-19,6.207423210144043
2010-02-22,6.207423210144043
2010-02-23,6.124903202056885
2010-02-24,6.207423210144043
2010-02-25,6.26243782043457
2010-02-26,6.225762844085693
2010-03-01,6.225762844085693
2010-03-02,6.2991156578063965
2010-03-03,6.2991156578063965
2010-03-04,6.326621055603027
2010-03-05,6.601691722869873
2010-03-08,6.592523097991943
2010-03-09,6.592523097991943
2010-03-10,6.510000228881836
2010-03-11,6.537508964538574
2010-03-12,6.473324775695801
2010-03-15,6.15241003036499
2010-03-16,6.16157865524292
2010-03-17,6.143240451812744
2010-03-18,6.134072303771973
2010-03-19,6.253269195556641
2010-03-22,5.950692176818848
2010-03-23,6.014875411987305
2010-03-24,5.941410541534424
2010-03-25,5.923043251037598
2010-03-26,5.93222713470459
2010-03-29,5.913861274719238
2010-03-30,5.93222713470459
2010-03-31,6.051606178283691
2010-04-01,5.8954973220825195
2010-04-05,6.0975213050842285
2010-04-06,6.005691051483154
2010-04-07,5.978141784667969
2010-04-08,5.913861274719238
2010-04-09,6.125071048736572
2010-04-12,5.941410541534424
2010-04-13,5.959777355194092
2010-04-14,6.106705188751221
2010-04-15,6.069971561431885
2010-04-16,5.867947101593018
2010-04-19,5.748568058013916
2010-04-20,5.766933917999268
2010-04-21,5.7944817543029785
2010-04-22,5.83121395111084
2010-04-23,6.152618408203125
2010-04-26,6.170984745025635
2010-04-27,6.033239841461182
2010-04-28,5.730201244354248
2010-04-29,5.555724620819092
2010-04-30,5.252683639526367
2010-05-03,5.15167236328125
2010-05-04,4.922095775604248
2010-05-05,4.885363578796387
2010-05-06,4.7108869552612305
2010-05-07,4.536409378051758
2010-05-10,4.453760623931885
2010-05-11,4.426214694976807
2010-05-12,4.4996771812438965
2010-05-13,4.453760623931885
2010-05-14,4.260918140411377
2010-05-17,4.169089317321777
2010-05-18,4.086441993713379
2010-05-19,4.132357120513916
2010-05-20,3.9578795433044434
2010-05-21,3.9027810096740723
2010-05-24,4.049709796905518
2010-05-25,3.930330276489258
2010-05-26,3.7558529376983643
2010-05-27,3.8752317428588867
2010-05-28,3.7834019660949707
2010-06-01,3.7466695308685303
