Date,ATYR
2015-05-07,209.3000030517578
2015-05-08,269.7799987792969
2015-05-11,290.5
2015-05-12,301.9800109863281
2015-05-13,274.260009765625
2015-05-14,288.1199951171875
2015-05-15,281.82000732421875
2015-05-18,278.6000061035156
2015-05-19,281.3999938964844
2015-05-20,320.32000732421875
2015-05-21,336.0
2015-05-22,345.94000244140625
2015-05-26,354.760009765625
2015-05-27,345.6600036621094
2015-05-28,335.7200012207031
2015-05-29,320.4599914550781
2015-06-01,328.7200012207031
2015-06-02,353.3599853515625
2015-06-03,390.32000732421875
2015-06-04,382.6199951171875
2015-06-05,362.17999267578125
2015-06-08,349.0199890136719
2015-06-09,309.9599914550781
2015-06-10,315.55999755859375
2015-06-11,303.239990234375
2015-06-12,311.2200012207031
2015-06-15,317.1000061035156
2015-06-16,307.29998779296875
2015-06-17,313.8800048828125
2015-06-18,309.260009765625
2015-06-19,305.4800109863281
2015-06-22,319.8999938964844
2015-06-23,307.1600036621094
2015-06-24,307.0199890136719
2015-06-25,274.3999938964844
2015-06-26,275.239990234375
2015-06-29,263.8999938964844
2015-06-30,259.2799987792969
2015-07-01,238.0
2015-07-02,230.86000061035156
2015-07-06,227.36000061035156
2015-07-07,226.24000549316406
2015-07-08,209.44000244140625
2015-07-09,214.6199951171875
2015-07-10,257.0400085449219
2015-07-13,272.29998779296875
2015-07-14,251.44000244140625
2015-07-15,244.86000061035156
2015-07-16,250.17999267578125
2015-07-17,237.72000122070312
2015-07-20,223.86000061035156
2015-07-21,221.1999969482422
2015-07-22,233.8000030517578
2015-07-23,233.3800048828125
2015-07-24,247.94000244140625
2015-07-27,245.27999877929688
2015-07-28,264.739990234375
2015-07-29,246.9600067138672
2015-07-30,253.9600067138672
2015-07-31,262.5
2015-08-03,272.8599853515625
2015-08-04,278.32000732421875
2015-08-05,291.8999938964844
2015-08-06,262.5
2015-08-07,259.2799987792969
2015-08-10,253.82000732421875
2015-08-11,238.83999633789062
2015-08-12,238.4199981689453
2015-08-13,206.63999938964844
2015-08-14,200.6199951171875
2015-08-17,225.39999389648438
2015-08-18,211.5399932861328
2015-08-19,204.67999267578125
2015-08-20,202.86000061035156
2015-08-21,196.55999755859375
2015-08-24,192.0800018310547
2015-08-25,192.22000122070312
2015-08-26,200.1999969482422
2015-08-27,217.6999969482422
2015-08-28,207.05999755859375
2015-08-31,202.72000122070312
2015-09-01,197.1199951171875
2015-09-02,203.13999938964844
2015-09-03,206.36000061035156
2015-09-04,201.74000549316406
2015-09-08,219.94000244140625
2015-09-09,216.02000427246094
2015-09-10,258.0199890136719
2015-09-11,237.44000244140625
2015-09-14,262.2200012207031
2015-09-15,268.6600036621094
2015-09-16,262.9200134277344
2015-09-17,259.0
2015-09-18,250.17999267578125
2015-09-21,231.6999969482422
2015-09-22,217.6999969482422
2015-09-23,214.6199951171875
2015-09-24,212.66000366210938
2015-09-25,185.77999877929688
2015-09-28,150.9199981689453
2015-09-29,138.17999267578125
2015-09-30,143.63999938964844
2015-10-01,143.36000061035156
2015-10-02,155.25999450683594
2015-10-05,158.33999633789062
2015-10-06,149.10000610351562
