Date,NKE
2010-01-04,13.351062774658203
2010-01-05,13.404176712036133
2010-01-06,13.322463035583496
2010-01-07,13.45321273803711
2010-01-08,13.426651954650879
2010-01-11,13.261168479919434
2010-01-12,13.242779731750488
2010-01-13,13.361273765563965
2010-01-14,13.277508735656738
2010-01-15,13.15493106842041
2010-01-19,13.220308303833008
2010-01-20,13.11202621459961
2010-01-21,13.001705169677734
2010-01-22,12.866869926452637
2010-01-25,13.007834434509277
2010-01-26,13.022136688232422
2010-01-27,13.0752534866333
2010-01-28,12.977188110351562
2010-01-29,13.024177551269531
2010-02-01,13.095683097839355
2010-02-02,13.060956001281738
2010-02-03,13.0752534866333
2010-02-04,12.685037612915039
2010-02-05,12.605361938476562
2010-02-08,12.523640632629395
2010-02-09,12.770848274230957
2010-02-10,12.797405242919922
2010-02-11,12.860739707946777
2010-02-12,12.766759872436523
2010-02-16,13.003750801086426
2010-02-17,13.173318862915039
2010-02-18,13.16514778137207
2010-02-19,13.146760940551758
2010-02-22,13.138587951660156
2010-02-23,13.101814270019531
2010-02-24,13.265254020690918
2010-02-25,13.516542434692383
2010-02-26,13.810739517211914
2010-03-01,13.94149398803711
2010-03-02,13.898587226867676
2010-03-03,13.818909645080566
2010-03-04,13.872236251831055
2010-03-05,14.013772010803223
2010-03-08,14.116332054138184
2010-03-09,14.138894081115723
2010-03-10,14.177872657775879
2010-03-11,14.307096481323242
2010-03-12,14.337859153747559
2010-03-15,14.438375473022461
2010-03-16,14.436315536499023
2010-03-17,14.538878440856934
2010-03-18,15.314229011535645
2010-03-19,15.080398559570312
2010-03-22,15.154239654541016
2010-03-23,15.279356956481934
2010-03-24,15.051674842834473
2010-03-25,15.090655326843262
2010-03-26,15.156286239624023
2010-03-29,15.172698020935059
2010-03-30,15.139876365661621
2010-03-31,15.07629108428955
2010-04-01,15.180907249450684
2010-04-05,15.201412200927734
2010-04-06,15.160388946533203
2010-04-07,15.094758987426758
2010-04-08,15.176799774169922
2010-04-09,15.420893669128418
2010-04-12,15.492681503295898
2010-04-13,15.488582611083984
2010-04-14,15.548067092895508
2010-04-15,15.515249252319336
2010-04-16,15.418839454650879
2010-04-19,15.502945899963379
2010-04-20,15.662932395935059
2010-04-21,15.736777305603027
2010-04-22,16.046510696411133
2010-04-23,15.9788236618042
2010-04-26,16.00343132019043
2010-04-27,15.740882873535156
2010-04-28,15.679335594177246
2010-04-29,15.911128997802734
2010-04-30,15.57063102722168
2010-05-03,15.95215129852295
2010-05-04,15.866008758544922
2010-05-05,15.427044868469238
2010-05-06,14.830151557922363
2010-05-07,14.483499526977539
2010-05-10,15.722419738769531
2010-05-11,15.677297592163086
2010-05-12,15.9685640335083
2010-05-13,15.496785163879395
2010-05-14,15.125520706176758
2010-05-17,15.102958679199219
2010-05-18,14.959368705749512
2010-05-19,14.819893836975098
2010-05-20,14.421958923339844
2010-05-21,14.643488883972168
2010-05-24,14.633233070373535
2010-05-25,14.955277442932129
2010-05-26,14.875273704528809
2010-05-27,15.158341407775879
2010-05-28,14.846556663513184
2010-06-01,14.600418090820312
2010-06-02,14.973729133605957
2010-06-03,15.159026145935059
2010-06-04,14.570208549499512
2010-06-07,14.327264785766602
2010-06-08,14.465206146240234
2010-06-09,14.41373348236084
2010-06-10,14.771976470947266
2010-06-11,14.891380310058594
2010-06-14,14.868736267089844
2010-06-15,15.23108196258545
2010-06-16,15.200200080871582
2010-06-17,15.352548599243164
2010-06-18,15.428733825683594
2010-06-21,15.307255744934082
2010-06-22,14.918143272399902
2010-06-23,14.930500984191895
2010-06-24,14.335504531860352
2010-06-25,14.436382293701172
2010-06-28,14.51462459564209
2010-06-29,14.034913063049316
2010-06-30,13.907266616821289
2010-07-01,14.014326095581055
2010-07-02,13.971098899841309
2010-07-06,13.837267875671387
2010-07-07,14.11521053314209
2010-07-08,14.469326972961426
2010-07-09,14.442561149597168
2010-07-12,14.372557640075684
